,otázka číslo,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
,Deutsch,,Es soll ein gesetzlicher flächendeckender Mindestlohn eingeführt werden.,"Eltern, deren Kinder nicht in die Kita gehen, sollen ein Betreuungsgeld erhalten.",Generelles Tempolimit auf Autobahnen!,Deutschland soll den Euro als Währung behalten.,Der Strompreis soll vom Staat stärker reguliert werden.,Die Videoüberwachung im öffentlichen Raum soll ausgebaut werden.,In Deutschland soll ein bedingungsloses Grundeinkommen eingeführt werden.,Nur ökologische Landwirtschaft soll finanzielle Förderung erhalten.,Alle Kinder sollen ungeachtet ihres kulturellen Hintergrundes gemeinsam unterrichtet werden.,Der Spitzensteuersatz soll erhöht werden.,Deutschland soll aus der NATO austreten.,Kein Neubau von Kohlekraftwerken!,"Die ""Pille danach"" soll rezeptpflichtig bleiben.",Alle Banken in Deutschland sollen verstaatlicht werden.,Deutschland soll mehr Flüchtlinge aufnehmen.,"Arbeitnehmerinnen und Arbeitnehmer sollen für die Zeit, in der sie Angehörige pflegen, staatliche Lohnersatzleistungen erhalten.",Verfassungswidrige Parteien sollen weiterhin verboten werden dürfen.,BAföG soll unabhängig vom Einkommen der Eltern gezahlt werden.,An allen deutschen Grenzen sollen wieder Einreisekontrollen durchgeführt werden.,In Aufsichtsräten und Vorständen von Unternehmen soll eine gesetzliche Frauenquote gelten.,Finanzstarke Bundesländer sollen schwache Bundesländer weniger unterstützen müssen.,Das gesetzliche Renteneintrittsalter soll wieder gesenkt werden.,Der Staat soll im öffentlichen Dienst verstärkt Menschen mit Migrationshintergrund einstellen.,Rüstungsexporte sollen verboten werden.,Das Ehegattensplitting soll beibehalten werden.,Deutschland soll sich für einen Beitritt der Türkei zur Europäischen Union einsetzen.,Abgeordnete des Bundestags sollen ihre Nebeneinkünfte auf den Euro genau offenlegen müssen.,Energieintensive Industrien sollen sich stärker als bisher an der Finanzierung der Energiewende beteiligen müssen.,"Hartz-IV-Empfängern und -Empfängerinnen sollen weiterhin Leistungen gekürzt werden, wenn sie Jobangebote ablehnen.",Der Staat soll weiterhin für Religionsgemeinschaften Kirchensteuer erheben.,Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.,In der Euro-Zone soll jeder Staat alleine für seine Schulden haften.,Auch gleichgeschlechtliche Lebenspartnerschaften sollen ein gemeinsames Adoptionsrecht erhalten.,"Keine Speicherung von Kommunikationsdaten (z.B. Telefon, Internet) ohne konkreten Anlass!",Bei Neuvermietungen soll der Mietpreis nur begrenzt angehoben werden dürfen.,Volljährige deutsche Staatsangehörige sollen keine weitere Staatsangehörigkeit besitzen dürfen.,Die Nutzung von Autobahnen soll kostenpflichtig sein.,Einführung von Volksentscheiden auf Bundesebene!
,česky - Google,,Je právnickou plošné minimální mzdy jsou zavedeny.,"Rodiče , jejichž děti nechodí do školky získat příspěvek na péči .",Obecné omezení rychlosti na dálnicích !,Německo je zachovat euro jako svou měnu.,Cena elektřiny by měla být přísněji regulovány státem .,Kamera ve veřejném prostoru by měl být rozšířen .,V Německu bezpodmínečný základní příjem by měl být zaveden .,Pouze ekologické zemědělství mělo získat finanční podporu .,"Všechny děti by měli být vzděláváni společně, bez ohledu na jejich kulturní pozadí.",Horní sazba daně by měla být zvýšena .,Německo opustit NATO.,Žádná výstavba nových uhelných elektráren !, Ráno po pilulky  by měla zůstat na předpis .,Všechny banky v Německu mají být znárodněny .,Německo by mělo mít větší množství uprchlíků .,"Pracovníci jsou za období, ve kterém péči o rodinné příslušníky , obdrží dávky státní sociální podpory vyplácené náhrady .",Protiústavní strany mohou být nadále zakázán .,Federální finanční podpora má být vyplacena bez ohledu na příjmu rodičů .,"Na všech německých hranic znovu vstupní kontroly , které mají být provedeny .",V dozorčích radách a správních radách podniků uplatňovat právní kvóty pro ženy.,Finančně silné státy budou muset podporovat slabé státy méně .,Zákonný věk odchodu do důchodu by měla být snížena .,Stát by měl zaměstnat více lidí ve veřejné službě z řad přistěhovalců .,Vývoz zbraní by mělo být zakázáno .,Příjem rozdělení by měl být zachován .,Německo je podporovat vstup Turecka do Evropské unie .,"Členové parlamentu jsou povinny zveřejňovat své další příjmy, které euro přesné .","Energeticky náročná odvětví bude muset být silnější , než se původně podílet na financování energetického přechodu .","Hartz IV příjemci a příjemci služeb by měly i nadále být snížena , pokud odmítnou nabídku pracovních míst .",Stát by měl i nadále shromažďovat církevní daně náboženských komunit.,Všichni občané by měli mít povinnost být pojištěn na veřejném zdravotním pojištění .,V eurozóně každý stát by měl být odpovědný za své vlastní dluhy.,Stejný - sexuální život Partnerství obdrží společnou práva přijetí .,"No uchovávání komunikačních údajů (např. telefon, internet ) pro nic za nic konkrétního důvodu !","U nových pronájmů , může nájemné zvýšit jen v omezené míře .",Celý rok němečtí státní příslušníci nesmí mít jinou státní příslušnost .,Použití dálnic se platí.,Zavedení referend na federální úrovni !
,English - Google,,It is a legal area-wide minimum wage are introduced.,Parents whose children do not go to the nursery to receive a care allowance .,General speed limit on highways !,Germany is to retain the euro as their currency.,The price of electricity should be more heavily regulated by the state.,The video surveillance in public space to be expanded .,In Germany for an unconditional basic income is to be introduced .,Only organic farming should receive financial support .,"All children should be educated together , regardless of their cultural background .",The top tax rate should be increased.,Germany to leave NATO .,No construction of new coal -fired power plants !,"The "" morning after pill "" should remain a prescription.",All banks in Germany are to be nationalized.,Germany should take more refugees.,"Workers are for the period in which they care for family members , receive state wage replacement benefits .",Unconstitutional parties may continue to be banned.,Federal financial aid to be paid regardless of parental income .,On all German borders again entry checks to be carried out .,In supervisory boards and management boards of companies to apply a legal quota for women .,Financially strong states will have to support weak states less.,The statutory retirement age should be lowered .,The state should recruit more people in the public service with an immigrant background .,Arms exports should be banned.,The income splitting should be retained.,Germany is to encourage the accession of Turkey to the European Union .,Members of parliament are required to disclose their additional income to the euro accurate.,Energy-intensive industries will have to be stronger than previously participate in the financing of the energy transition .,Hartz IV recipients and recipients of services should continue to be reduced if they refuse job offers.,The state should continue to collect church taxes for religious communities.,All citizens should have to be insured in public health insurance .,In the euro - zone every state should be liable for its own debts .,Same-sex life partnerships will receive a joint adoption rights .,"No retention of communications data (eg telephone , internet) for no specific reason !","For new leases , the rent may be increased to a limited extent.",Full year German nationals are not allowed to have another nationality.,The use of motorways is to be paid for.,Introduction of referendums at the federal level !
,česky,,Minimální mzdy by měly být celoplošně určeny zákonem.,"Rodiče, jejichž děti nechodí do školky, by měli obdržet příspěvek na péči.",Všeobecné omezení rychlosti na dálnicích.,Německo by mělo zachovat Euro jako svoji měnu.,Ceny elektřiny by měly být více regulovány státem.,Kamerový systém ve veřejném prostoru by měl být rozšířen.,V Něměcku by měl být zaveden bezpodmínečný základní příjem.,Finanční podporu by mělo dostávat pouze ekologické zemědělství.,"Vzdělání všech dětí by mělo probíhat společně, bez ohledu na jejich kulturní pozadí.",Horní sazba daně by měla být zvýšena.,Německo by mělo vystoupit z NATO.,Neměly by se stavět žádné nové uhelné elektrárny.,"""Pilulky poté"" by měly zůstat na předpis.",Všechny banky v Německu by měly být zestátněny.,Německo by mělo přijímat více uprchlíků.,"Zaměstnanci by měly dostávat státní příspěvky za dobu, kdy se starají o rodinné příslušníky.",Protiústavní strany by měly být nadále zakázány.,Federální finanční podpora na vzdělávání by měla být vyplácena bez ohledu na příjmy rodičů.,Na všech německých hranicích by měly být opět prováděny vstupní kontroly.,V dozorčích a správních radách podniků by měla být uplatňována zákonná kvóta pro zastoupení žen.,Finančně silné spolkové země by měly slabší státy méně podporovat.,Zákonný věk odchodu do důchodu by měl být snížen.,Ve veřejných služnách by měl stát zaměstnávat více přistěhovalců.,Měl by být zakázán export zbraní.,Rozdělení daně z příjmů manželů by mělo zůstat zachováno.,Německo by mělo podpořit vstup Turecka do EU.,Poslanci by měli povinně zveřejňovat své vedlejší příjmy.,Energeticky náročná odvětví se budou muset více než dříve podílet na financování transformace energetiky.,"Příjemcům podpory ve skupině Hartz-IV budou v případě, že odmítnou pracovní nabídku, sníženy dávky.",Stát by měl nadále vybírat církevní daně.,Všichni občané by měli být pojištěny ve veřejné zdravotní pojišťovně.,Každý stát eurozóny by měl být odpovědný za své vlastní dluhy.,Homosexuální partneři by měli mít stejná adopční práva jako heterosexuální páry.,"Zákaz uchovávání dat elektronické komunikace (např. telefonních, internetových) bez konkrétního důvodu.",U nových pronájmů může být nájem zvýšen jen v omezené míře.,Plnoletí němečtí občané nesmí mít jiné občanství.,Dálnice by měly být placené.,Zavedení referend na federální úrovni.
,English,,The minimum wage should be fully designated by law.,"Parents, whose children do not attend the nursery school, shall recieve care money.",General speed limit on highways.,Germany should keep the Euro as its currency. ,The price of electricity should be more strongly regulated by the state.,The video surveillance in public spaces should be extended. ,The unconditional basic income should be introduced in Germany. ,Only ecological agriculture should recieve financial support. ,"Despite their cultural background, all children should be educated together.",The highest tax rate should be increased. ,Germany shall withdraw from NATO. ,There should not be built any new coal power plants! ,"The need of a prescription for the ""morning after pill"" should be maintained. ",All banks in Germany should be nationalized. ,Germany should be accepting more refugees. ,"All employees should, for their time spent with taking care of family members, recieve a state contribution.",Unconstitutional parties shall remain banned. ,Federal financial aid for education shall not depend on the parental income. ,Border controls should return to the border crossings of Germany.,In the supervisory and management boards of companies should be enforced a statutory quota for women´s representation. ,Financially stronger lands should support those weaker ones less. ,Statutory retirement age shall decrease. ,The state should employ more immigrants in public services. ,Export of weapons should be banned. ,The distribution of the income tax should be retained. ,Germany shall support the accession of Turkey into the European Union. ,Members of Parliament are required to disclose all of their ancillary revenues. ,"Companies with high energy consumption should increase, in comparison to current situation, their participation on financing of the energy transition. ","The payment shall be cut down to those recipients of Hartz IV support, who turn down a job offer. ",The church tax for religious communities should be increased. ,All citizens should be compulsorily insured in the public health insurance system. ,Every member state of the eurozone should be responsible for its own debt. ,Same-sex couples will gain the same rights for adoption as heterosexual couples have. ,"Unless there is a reason, there will not be kept any communications data (e.g. from the Internet of phone calls).",The rent can be increased only to a limited extent for new leases. ,Full aged German citizens will not be allowed to have any other citizenship. ,The use of highways should be charged. ,The referendum should be introduced at the federal level!
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,0,0,-1,1,-1,1,-1,0,-1,1,1,-1,1,-1,-1,1,1,0,0
2,SPD,Sozialdemokratische Partei Deutschlands,1,-1,-1,1,1,0,-1,0,1,1,-1,-1,-1,-1,1,1,1,0,-1,1,-1,1,1,-1,0,1,1,0,1,1,1,0,1,-1,1,-1,-1,1
3,FDP,Freie Demokratische Partei,-1,0,-1,1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,1,-1,-1,-1,0,1,-1,1,0,-1,-1,1,0,-1,1,1,1,-1,-1,-1,1
4,DIE LINKE,DIE LINKE,1,-1,1,1,1,-1,0,0,1,1,1,1,-1,0,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1
5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,1,-1,1,1,0,-1,0,0,1,1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,0,-1,1,1,1,-1,0,1,-1,1,1,1,-1,0,1
