"Tabulka porovnání názorů politických stran";"ČPS (Piráti)";"ČSSD";"DSSS";"Foklor i společnost";"KDU-ČSL";"Konzervativní strana";"Koruna česká";"KSČM";"Moravané";"Nezávislí";"NEZávislí DEMokraté";"NS-LEV 21";"ODS";"REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA";"Sdružení nestraníků";"SPO Zemanovci";"SSO (Strana svobodných občanů)";"Strana soukromníků České republiky";"Suverenita";"SZ (Strana Zelených)";"TOP09 a Starostové";"Volte Pravý Blok";"VV (Věci veřejné)"
"1. Elektronická forma státní správy by měla být jednoznačně preferována.";"no_response_yet";"no_response_yet";"disagree";"agree";"agree";"agree:important";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"none";"agree";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"2. Počet krajských zastupitelů by měl být snížen z nynějších 65 na minimální počet 45.";"no_response_yet";"no_response_yet";"agree";"agree";"disagree";"agree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"disagree";"agree";"no_response_yet";"no_response_yet";"agree";"none";"no_response_yet";"disagree"
"3. Kraj by neměl samostatně podnikat.";"no_response_yet";"no_response_yet";"disagree";"disagree";"disagree";"agree:important";"no_response_yet";"no_response_yet";"disagree";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"agree:important";"no_response_yet";"no_response_yet";"agree";"disagree";"no_response_yet";"disagree"
"4. Kraj by měl hospodařit s vyrovnaným rozpočtem i za cenu omezení některých investic.";"no_response_yet";"no_response_yet";"agree";"agree";"agree:important";"agree:important";"no_response_yet";"no_response_yet";"agree:important";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"agree:important";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"5. Kraj by měl daně používat především na zajištění infrastruktury a ochranu obyvatel, dotace by měly být omezeny.";"no_response_yet";"no_response_yet";"agree";"agree";"disagree";"agree:important";"no_response_yet";"no_response_yet";"agree:important";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree:important";"agree";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"none"
"6. Krajské zastupitelstvo by mělo v rámci své zákonodárné iniciativy navrhnout snížení hranice počtu hlasů pro vyvolání krajského referenda a prosazení jeho závaznosti.";"no_response_yet";"no_response_yet";"agree";"agree";"none";"disagree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"no_response_yet";"no_response_yet";"agree:important";"disagree";"no_response_yet";"agree"
"7. Všechna hlasování krajského zastupitelstva by měla být veřejná.";"no_response_yet";"no_response_yet";"agree";"agree";"agree";"none";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"agree:important";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree:important";"agree";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"8. Krajské zastupitelstvo by mělo v rámci své zákonodárné iniciativy navrhnout zákon, podle kterého by krajský úřad disponoval určitou mírou daňové autonomie.";"no_response_yet";"no_response_yet";"agree:important";"agree";"agree";"disagree";"no_response_yet";"no_response_yet";"agree:important";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree";"agree:important";"no_response_yet";"no_response_yet";"agree";"agree";"no_response_yet";"agree"
"9. Krajské zakázky, jejich dokumentace, smlouvy i účetnictví kraje by měly být zveřejňovány na internetu.";"no_response_yet";"no_response_yet";"agree:important";"agree";"agree";"agree";"no_response_yet";"no_response_yet";"agree";"no_response_yet";"agree:important";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"agree:important";"agree:important";"no_response_yet";"no_response_yet";"agree:important";"agree";"no_response_yet";"agree"
"10. Krajské nemocnice by měly být privatizovány.";"no_response_yet";"no_response_yet";"disagree:important";"disagree";"disagree";"none";"no_response_yet";"no_response_yet";"disagree:important";"no_response_yet";"disagree:important";"no_response_yet";"no_response_yet";"no_response_yet";"no_response_yet";"disagree";"no_response_yet";"no_response_yet";"no_response_yet";"disagree";"disagree";"no_response_yet";"disagree"
