,,,,,,,Číslo,20,37,19,3,9,24,18,21,27,33,35,25,14,8,15,17,36,4,34,28,1,10,13,11,38,2,29,32,39,5,6,26,12,23,30,22,16,7,31,,
,,,,,,,ID hlasování,55996,57199,56243,57397,52608,53844,54157,54250,54278,54316,54321,54455,54460,55396,55604,55731,55929,56012,56118,56237,56326,56619,56985,57516,58140,58180,58215,58281,58296,52506,53121,53351,54228,54529,55209,55672,57238,57607,57763,,
Marek,Benda,ODS,Občanská demokratická strana,Hlavní město Praha,m,4,4,1,-1,1,1,1,1,1,1,1,1,0,0,-1,1,1,1,1,1,-1,1,1,1,-1,1,-1,0,1,,,1,-1,-1,-1,-1,-1,-1,1,-1,1,,
Václav,Klučka,ČSSD,Česká strana sociálně demokratická,Moravskoslezský,m,68,68,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,1,-1,1,1,1,0,0,-1,1,1,1,1,1,,,1,1,-1,0,1,1,1,-1,1,0,,
Petr,Nečas,ODS,Občanská demokratická strana,Zlínský,m,111,111,1,-1,1,-1,-1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,-1,0,0,,,-1,1,0,-1,0,0,-1,1,-1,0,,
Hana,Orgoníková,ČSSD,Česká strana sociálně demokratická,Královéhradecký,f,122,122,-1,1,1,1,0,1,-1,-1,0,0,0,-1,-1,0,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1,,,1,1,-1,1,0,1,1,-1,0,0,,
Milada,Emmerová,ČSSD,Česká strana sociálně demokratická,Plzeňský,f,211,211,1,0,1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,-1,1,1,-1,-1,-1,0,0,0,0,0,0,,,1,0,-1,1,1,1,1,0,0,0,,
Petr,Hulinský,ČSSD,Česká strana sociálně demokratická,Hlavní město Praha,m,216,216,1,1,1,1,-1,1,-1,0,0,0,0,-1,-1,0,0,-1,1,1,0,-1,-1,-1,1,1,1,0,0,,,1,1,-1,0,1,1,1,-1,1,-1,,
Ladislav,Skopal,ČSSD,Česká strana sociálně demokratická,Jihomoravský,m,235,235,-1,1,1,-1,-1,0,-1,0,0,0,0,0,0,0,1,0,1,1,-1,1,-1,0,1,0,1,1,1,,,1,0,-1,1,0,1,0,-1,0,0,,
Bohuslav,Sobotka,ČSSD,Česká strana sociálně demokratická,Jihomoravský,m,237,237,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,1,1,1,-1,0,0,0,1,1,0,,,1,1,1,1,0,1,1,-1,0,-1,,
Zdeněk,Škromach,ČSSD,Česká strana sociálně demokratická,Zlínský,m,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,,
Lubomír,Zaorálek,ČSSD,Česká strana sociálně demokratická,Moravskoslezský,m,252,252,-1,1,1,1,0,0,0,-1,0,0,0,-1,0,0,0,-1,1,1,0,-1,-1,0,0,1,1,1,1,,,1,1,0,1,0,0,0,-1,0,0,,
Zdeňka,Horníková,ODS,Občanská demokratická strana,Královéhradecký,f,261,261,1,-1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,,,-1,0,-1,-1,-1,0,0,0,-1,0,,
Jiří,Papež,ODS,Občanská demokratická strana,Plzeňský,m,269,269,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,-1,1,1,,,-1,0,0,0,0,-1,-1,1,0,0,,
Jaroslav,Plachý,ODS,Občanská demokratická strana,Zlínský,m,273,273,1,-1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,1,-1,1,1,,,-1,-1,-1,-1,-1,-1,-1,1,-1,0,,
Jan,Vidím,ODS,Občanská demokratická strana,Středočeský,m,280,280,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,1,-1,0,0,,,-1,-1,-1,-1,0,-1,-1,1,0,1,,
Vojtěch,Filip,KSČM,Komunistická strana Čech a Moravy,Jihočeský,m,303,303,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,,,1,0,-1,1,1,0,1,-1,1,0,,
Miroslav,Grebeníček,KSČM,Komunistická strana Čech a Moravy,Jihomoravský,m,305,305,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,1,1,1,1,-1,0,0,0,1,0,0,,,1,1,-1,1,0,0,0,-1,0,1,,
Pavel,Kováčik,KSČM,Komunistická strana Čech a Moravy,Vysočina,m,309,309,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,0,-1,1,1,1,0,,,1,1,-1,1,1,1,0,-1,1,0,,
Zuzka,Bebarová-Rujbrová,KSČM,Komunistická strana Čech a Moravy,Jihomoravský,f,312,312,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,1,-1,1,1,1,1,-1,-1,1,0,1,1,1,,,1,1,-1,1,1,1,1,-1,0,1,,
