id	short name of question en	short name question RU	question cs	question en	question RU	weight 2 (order 2)
26	Introduction of national referendums	Представление национальных референдумов	Měla by existovat možnost vypsání celostátního referenda na základě petice.	There should exist the possibility to held a national referendum based on the petition.	Должна существовать возможность проведения национального референдума на основе ходотайства	1
2	Keeping the Senate	Сохранение Сената	Senát by měl být i nadále zachován.	The Senate should be kept.	Сенат должен быть сохранен	2
5	Direct presidential elections	Прямые президентские выборы	Prezident by měl být i nadále volen přímo občany.	The President of the Czech Republic should continue to be elected directly by citizens.	Президент Чешской Республики должен по-прежнему избираются непосредственно гражданами	3
10	Presidential pardon	Президентская амнистия	Prezident by měl mít i nadále možnost udělovat milost.	The right of the President to grant pardons should remain.	Право президента на помилование должно сохраниться	4
12	State institutions situated throughout the Czech Republic	Государственные учреждения расположены по всей Чешской Республике	Státní instituce by měly být rozmísťovány rovnoměrně po celém území ČR.	State institutions should be equally distributed throughout the whole territory of the Czech Republic.	Государственные учреждения должны быть равномерно распределены по всей территории Чешской Республики	5
7	Dissmisal without any given reason	Увольнение без аргументирования	Zaměstnavatel by měl mít možnost dát výpověď bez udání důvodu.	Employers should have the right to dismiss employees without having to provide a particular reason	Работодатель должен иметь право на увольнение работников без указания конкретной причины	7
9	Adopting the Euro	Введение евро	ČR by měla i nadále usilovat o přijetí eura.	The Czech Republic should go on with plans to adopt the Euro.	Чешская Республика должна продолжать стремиться к переходу на евро	8
20	Stop church restitutions	Прекращение церковной реституции	Vydávání majetku církvím v rámci tzv. církevních restitucí by mělo být zastaveno.	Returning of church properties within the frame of so-called church restitutions should be stopped.	Возвращение церковной собственности в рамках так называемой реституции церкви должна быть остановлена	9
29	Tax on unhealthy food	Налог на нездоровую пищу	Zdraví škodlivé potraviny (např. limonády, cukrovinky, hranolky) by měly mít vyšší sazbu DPH.	Unhealthy food (e.g. soft drinks, sweets, french fries) should be taxed with a higher VAT rate.	Нездоровая пища (например, безалкогольные напитки, сладости, картофель фри) должны облагаться налогом с более высокой ставкой НДС	10
27	Maintainance of blank media tax	Плата за чистые носители информации	Poplatek za prázdná paměťová média by měl být zachován.	The fee (tax) paid for blank media should be maintained.	Плата (налог) за чистые информационные носители должна быть сохранена	11
34	Ownership structure published on the internet	Публикация структуры собственности в Интернете	Vlastnická struktura všech akciových společností by měla být dohledatelná na internetu.	The ownership structure of all joint stock companies should be easily traceable on the internet.	Структура собственности всех акционерных обществ должна легко прослеживаеться в Интернете.	12
102	Progressive tax	Прогрессивный налог	Měla by být zavedena progresivní daň z příjmů pro fyzické osoby.	Income tax on individuals should be progressive.	Налог на прибыль с физических лиц должен быть прогрессивными	12.1
106	VAT on food	НДС на продукты питания	Sazba DPH na základní potraviny by měla být nejvýše 10 %.	VAT on basic food should be no more than 10 %.	НДС на основные продукты питания должен быть не более 10%	12.2
112	Privatization of Budweiser Budvar	Приватизация Budweiser Budvar	Národní podnik Budějovický Budvar by měl být privatizován.	The state-owned brewery Budweiser Budvar should be privatized.	Государственная пивоварня Budweiser Budvar должня быть приватизирована	12.3
44	Medical care fees	Регулирование медицинских плат	Regulační zdravotnické poplatky by měly být zachovány.	The so-called regulatory medical fees should continue.	Так называемые нормативные медицинские расходы должны быть сохранены	13
47	Increasing the minimum wage	Повышение минимальной заработной платы	Minimální hrubá mzda by měla být nejméně 10 000 Kč měsíčně.	The minimum gross wage should be increased up to at least 10 000 CZK (~400 €) per month.	Минимальная заработная плата должна быть увеличена, по крайней мере, до 10 000 крон (~ 400 €) в месяц.	15
55	Keeping the second pillar	Ведение второго столпа	Tzv. 2. pilíř důchodového systému by měl být zachován.	The so-called second pillar of the pensions system should continue.	Так называемый второй столп пенсионной системы должен быть сохранен	17
30	Introduction of cash registers	Введение кассовых аппаратов	Měly by být zavedeny tzv. registrační pokladny.	The so-called cash registers should be obligatory.	Так называемые кассовые аппараты должны быть обязательными	18
56	Open tenders	Открытые тендеры	Na pozice v dozorčích a správních radách obchodních společností s vlastnickou účastí veřejné správy by měla být vypisována otevřená výběrová řízení.	Open tenders should be set for positions in supervisory and management boards of companies partially owned by the public administration.	На должности в надзорных и управленческих предприятиях с долей государственного управления должна быть открытые тендеры	19
120	Judges for life	Пожизненные судьи	Soudci by nadále měli být jmenováni do funkce doživotně	Judges should continue be appointed for life.	Судьи должны по-прежнему назначаться на пожизненный срок	20
63	Obligation to publish contracts on the internet	Обязательная публикация контрактов в Интернете	Platnost smluv uzavřených veřejnou správnou by měla být podmíněna jejich zveřejněním v registru smluv.	Validity of contracts entered into by the public administration should be conditioned by their publication in the public contracts register.	Срок действия контрактов, заключенных органами государственного управления, должен быть обусловлен их публикацией в государственном реестре контрактов	21
40	The possibility to confiscate properties of dubious origin	Возможность конфискации имущества сомнительного происхождения	Měla by existovat povinnost prokázat původ určitého majetku s možností zabavení neprokázaného majetku.	A legal duty to prove the origin of certain properties should be introduced, with the possibility of confiscation if not fulfilled.	Правовая обязанность подтверждения происхождения определенного имущества должна быть введена с возможностью конфискации при невыполнении	22
60	Maintainance of bio-components in fuels	Обязательное добавление био-компонентов в топливо	Povinné přidávání biosložek do paliv by mělo být i nadále zachováno.	Compulsory adding of bio-components into fuels should be maintained.	Обязательство по добавлению био-компонентов в топливо должно быть сохранено	23
119	University fees	Оплата за обучение в университетах	Studium na veřejných vysokých školách by mělo být zpoplatněno.	Public universities should be paid.	Государственные университеты должны быть платными	23.1
118	Kindergarten	Детский сад	Všechny děti od 3 let by měly mít místo ve veřejné školce nebo jejich rodiče dostat příspěvek na zajištění péče jiným způsobem.	All 3 years children and older should have a place in a public kindergarten on their children should get support to pay for the care in other way.	Все дети от 3 лет должны иметь место в государственном детском саду. В противном случае, их родители должны получать пособие на уход за детьми другим способом	23.2
62	Voluntary vaccination	Добровольная вакцинация	Očkování by mělo být vždy dobrovolné.	Vaccination should always be voluntary.	Вакцинация должна всегда быть добровольной	24
23	Adoption by same-sex couples	Усыновление однополыми парами	Homosexuální páry by měly mít stejná práva na adopci dětí jako heterosexuální páry.	Same-sex couples' rights to adopt should be equal to those of heterosexual ones.	Права однополых пар на усыновление должны быть приравнены к правам гетеросексуальных пар	25
13	Roma assistants	Цыганские ассистенты	Stát by měl finančně podporovat vznik sítě romských asistentů prevence kriminality.	The state should financially support the creation of a network of Roma assistants to help prevent crime.	Госдарство должно финансово поддерживать возникновение сети цыганских ассистентов предотвращающих преступления	27
17	Smoking ban in restaurants	Запрет на курение в ресторанах	Kouření v restauracích by mělo být zakázáno.	Smoking should be banned in restaurants.	Курение должно быть запрещено в ресторанах	28
31	Legalization of marihuana	Легализации марихуаны	Marihuana by měla být legalizována.	Marihuana should be legalized.	Марихуана должна быть легализована	29
39	Compulsory Czech food products	Обязательные чешские продукты	Obchodní řetězce by měly nabízet povinně předepsaný podíl potravin od českých výrobců.	Chain stores should be obliged to offer a specific amount of food products from Czech producers.	Сети магазинов должны быть обязаны предложить определенный ассортимент продуктов питания от чешских производителей	30
37	Guaranteed internet connection	Гарантированный доступ в интернет	Stát by měl garantovat základní připojení k internetu pro všechny občany.	The state should guarantee basic internet connection to all its citizens.	Государство должно гарантировать подключение к Интернету для всех своих граждан	31
24	Maintainance of coal mining limits	Ограничение объёма добычи угля	Limity těžby uhlí v ČR by měly být zachovány.	Coal mining limits in the Czech Republic should be maintained.	Ограничение объёма добычи угля в Чешской Республике должно быть сохранено	33
25	Membership in NATO	Членство в НАТО	ČR by měla být i nadále členem NATO.	The Czech Republic should stay in NATO.	Чешская Республика должна оставаться в НАТО	34
35	Membership in the EU	Членство в ЕС	ČR by měla být i nadále členem EU.	The Czech Republic should stay in the EU.	Чешская Республика должна оставаться в ЕС	35
