name,year,link
Kraje 2020 (13x),2020,cs/kraje-2020
Senát 2020,2020,cs/senat-2020
Senát Teplice 2020,2020,cs/senat-2020-teplice
Evropský parlament,2019,cs/evropsky-parlament-2019
Inventory of Votes EP 2014-2019,2019,https://electioncalculator.org/en/inventory-of-votes-european-parliament-2014-2019/
Inventura hlasování Evropský parlament 2014-2019,2019,cs/inventura-hlasovani-evropsky-parlament-2014-2019
Brno,2018,cs/brno-2018
Děčín,2018,cs/decin-2018
Hackathon,2018,cs/hackathon-2018
Jihlava,2018,cs/jihlava-2018
Olomouc,2018,cs/olomouc-2018
Plzeň,2018,cs/plzen-2018
Praha,2018,cs/praha-2018
Prezidentské volby,2018,cs/prezidentske-volby-2018
Prezidentské volby ultimate,2018,cs/prezidentske-volby-2018-ultimate/
Senát,2018,cs/senat-2018
Czech Elections,2017,https://electioncalculator.org/en/czech-election-2017/
Inventura hlasování 2013-2017,2017,cs/inventura-hlasovani-2017/
Poslanecká sněmovna,2017,cs/volby-2017/
Poslanecká sněmovna ultimate,2017,cs/volby-2017-ultimate/
Senát,2016,senat-2016
USA,2016,usa-2016
Inventory of Votes CZ,2015,inventory-of-votes-czech-parliament-2015/
Inventory of Votes EP 2014-2015,2015,inventory-of-votes-european-parliament-2014-2015/
Inventura hlasování,2015,inventura-hlasovani-2015
Inventura hlasování 1. pololetí 2015,2015,inventura-hlasovani-2015-1-pololeti
Inventura hlasování Evropský parlament 2014-2015,2015,inventura-hlasovani-evropsky-parlament-2014-2015
Kluczowe glosowania 2011-2015,2015,https://electioncalculator.org/kluczowe-glosowania-2011-2015/
Velká Británie,2015,velka-britanie-2015
Bohumín,2014,bohumin-2014
Brno,2014,brno-2014
České Budějovice,2014,ceske-budejovice-2014
Děčín,2014,decin-2014
European Parliament,2014,european-parliament-2014
Evropský parlament,2014,evropsky-parlament-2014
Inventory of Votes,2014,inventory-of-votes-2014
Inventura hlasování,2014,inventura-hlasovani-2014
Inventura hlasování Evropský parlament 2009-2014,2014,inventura-hlasovani-evropsky-parlament-2009-2014
Karlovy Vary,2014,karlovy-vary-2014
Kluczowe glosowania Polska,2014,kluczowe-glosowania-2014
Liberec,2014,liberec-2014
Liberec 2010-2014,2014,liberec-2010-2014
Liberec 2010-2014 EN,2014,liberec-2010-2014-en
Olomouc,2014,olomouc-2014
Ostrava,2014,ostrava-2014
Pardubice,2014,pardubice-2014
Plzeň,2014,plzen-2014
Praha,2014,praha-2014
Prostějov,2014,prostejov-2014
Senát,2014,senat-2014
Senát 1,2014,senat-2014-1
Senát 2.kolo,2014,senat-2014-1-2-kolo
Senate,2014,senate-2014
Serbija,2014,glasanje-2014
Trutnov,2014,trutnov-2014
Žďár nad Sázavou,2014,zdar-nad-sazavou-2014
Czech Elections,2013,czech-elections-2013
Czech Elections – Inventory of Votes,2013,czech-elections-2013-inventory-of-votes
Inventura hlasování,2013,poslanecka-snemovna-2013-inventura-hlasovani
Německo,2013,nemecko-2013
Poslanecká sněmovna,2013,poslanecka-snemovna-2013
Poslanecká sněmovna – ultimate,2013,poslanecka-snemovna-2013-ultimate
Poslanecká sněmovna iInfo,2013,poslanecka-snemovna-2013-iinfo
Volba prezidenta ČR,2013,volba-prezidenta-cr-2013
Volba prezidenta ČR 2. kolo,2013,volba-prezidenta-cr-2-kolo-2013
Volba rektora UK,2013,volba-rektora-univerzita-karlova-2013
Чешский избирательный калькулятор,2013,cheskij-izbiratelnyj-kalkulyator-2013
Jihočeský kraj,2012,jihocesky-kraj-2012
Jihomoravský kraj,2012,jihomoravsky-kraj-2012
Karlovarský kraj,2012,karlovarsky-kraj-2012
Královéhradecký kraj,2012,kralovehradecky-kraj-2012
Liberecký kraj,2012,liberecky-kraj-2012
Moravskoslezský kraj,2012,moravskoslezsky-kraj-2012
Olomoucký kraj,2012,olomoucky-kraj-2012
Pardubický kraj,2012,pardubicky-kraj-2012
Plzeňský kraj,2012,plzensky-kraj-2012
Senát,2012,senat-2012
Senát 2.kolo,2012,senat-2-kolo-2012
Středočeský kraj,2012,stredocesky-kraj-2012
Ústecký kraj,2012,ustecky-kraj-2012
Vysočina,2012,vysocina-2012
Zlínský kraj,2012,zlinsky-kraj-2012
Inventúra hlasovaní NRSR 2008-2012,2012,https://web.archive.org/web/20120229232557/http://test.kohovolit.eu/
Predvolebný názorový test,2012,https://web.archive.org/web/20120229232557/http://test.kohovolit.eu/
Názorová kalkulačka,2009,#
"Janotův balíček" 24.-25.9.2009,2009,https://web.archive.org/web/20120115022157/http://kohovolit.eu/cz/psp/vote?dig=4
Zelená parlamentní kalkulačka 2006-2009,2009,https://web.archive.org/web/20100425004742/http://kohovolit.eu/cz/psp/vote?dig=2
Parlamentní kalkulačka,2009,https://web.archive.org/web/20090910054617/http://kohovolit.eu/en/cz/psp/hlasovat
Koho volit? EP 2009,2009,https://web.archive.org/web/20090520184043/http://kohovolit.eu/eu
Koho volit? Senát 2008,2008,https://web.archive.org/web/20090529075358/http://kohovolit.eu/czsenat/hlasovani.php
Koho voliť?,2006,https://web.archive.org/web/20060701132809/http://www.kohovolit.eu/sk/index.php
Koho volit?,2006,https://web.archive.org/web/20060702012337/http://www.kohovolit.eu/cz/
