id	jméno otázky	otázka	popis	pořadí	další poznámky atd	
1	Otevírací doba parku P.Bezruče	Chcete aby byl park P. Bezruče veřejně přístupný i po 22 hodině?		1	Dlouhé roky byl pakr otevřen no-stop, před několika měsíci radnice vydala vyhlášku, která park uzavřela, strhla se bouřlivá diskuze, měštaně se rozdělili na ty, kteří jsou pro a proti. Park je ve večerních hodinách stále uzavřen.	
2	Rafinerský lesík	Chcete, aby byl z Rafinérského lesíka znovu les a současné zábavní atrakce byly přesunuty na vhodnější místo?		2	Rafinerský lesík byl založen v hlubokých dobách komunismu aby izoloval továrny od obyvatelné zóny, později se  něj stal malý prales, plný zvěře a lesního ovoce, před lety radnice slíbila, že lesík vyčistí od odpadků - nakonec část lesíka vykácela, zavezla štěrkem a postavila tam hřiště a lavičky. Od těch dob se ve čtvrti práší z továren, děti i dospělí hluší často až do brzkých ranních hodin a povalují se tam bezdomovci a opilci z nedalekých hospod. Někteří lidé si neustále stěžují a chtějí zrušit volnočasovou zónu, další na zónu nedají dopustit.	
3	Lesopark Na Panském	Chcete, aby v lokalitě "Na Panském" vznikl regulérní les pro zvěř místo plánovaného volnočasového lesoparku pro lidi?		3	Na panském se nachází les, rybník a polnosti jedná se o myslivecký revír, radnice plánuje vytvořit lesopar podobného rázu jako je Rafinerský lesík, část obyvatel to chválí, někteří to považují za vyhazování peněz a pro myslivce je to neštěstí.	
4	Meandry řeky Odry	Mělo by se město zasadit o větší ochranu Meandrů řeky Odry a rozšíření chráněné zóny ?		4	Výzamná přírozní lokalita, stále více narušovaná turisty. 	
5	Aleje a stromořadí	Jste pro obnovu alejí a stromořadí ve městě?		5		
6	Světelné znečištění	Mělo by se investovat do pouličního osvětlení neprodukujícího světelné znečištění i za cenu vyšších pořizovacích nákladů?		6	Světelný smog narušuje životní procesy drobných živočichů ale ovlivňuje například i zdravý spánek lidí	
7	Antošovice	Měl by se vyčistit Mžikov v Antošovicích?		7	Tato vodní plocha se nachází na území města Ostravy, občané města Bohumín však přispívají k jeho znečištění stejnou ne-li větší měrou než Ostravští, měli by se tedy podílet na jeho vyčištění od odpadků a sinic?	
8	Útulek pro psy	Měl by se modernizovat útulek pro psy ?		8		
9	Recyklační tašky	Chcete, aby městský podnik BM servis a.s. distribuoval tašky na recyklaci stejně jako OZO v Ostravě ?		9	podle průzkumů OZa začalo 14 % těch co nerecyklovali recyklovat a ti co už recyklovali začali recyklovat ještě více	
10	Nádoby na odpad	Chcete, aby se ve městě vyměnily recyklační nádoby za nádoby s odsouvatelným vrchem jako mají v Ostravě nebo jako běžně používáme na směsný odpad?		10		
11	Poplatky za odpad	Chcete, aby město odpustilo poplatky za odpad těm domům, které sníží svůj směsný odpad na minimum?		11		
