id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce  (určí se až při finálním výběru otázek) 	Další poznámky, atd.
1	Hl. nádraží v centru	Hlavní nádraží by mělo být v centru.		1	
2	Privatizace bytů	Město by mělo privatizovat většinu bytů ve svém vlastnictví.		2	
3	MHD dražší pro mimobrněnské	Město by mělo usilovat o to, aby MHD byla pro mimobrněnské dražší než pro obyvatele Brna.		3	
4	Podpora Grand Prix	Město by mělo nadále finančně podporovat Grand Prix Brna.		4	
5	Obnova přechodu	Má být obnoven přechod na Údolní?		5	
6	Sociální práce ve vyloučených lokalitách	Město by mělo více investovat do sociální práce v sociálně vyloučených lokalitách v okolí Cejlu.		6	
7	Mýtné v centru	Vjezd automobilů do centra by měl být zpoplatněn.		7	
8	Žádné finance Kometě	Město by mělo zastavit finanční podporu Kometě Brno (Kometa Group, a.s.)		8	
9	Žádné finance FC Zbrojovka	Město by mělo zastavit finanční podporu FC Zbrojovky Brno, a.s.			
10	Finance na nový stadion	Město by mělo finančně podpořít stavbu nového fotbalového stadionu.		10	
11	Vnitrobloky	Měl by platit zákaz zastavování vnitrobloků.		11	
12	Hl. nádraží na svém místě	Hlavní nádraží by mělo zůstat na svém místě.			
13	Finanční podpora namísto školek	Město by mělo finančně přispívat rodičům dětí od 3 let, kteří nemohou své děti dát do školky z důvodu nedostatečné kapacity školek v Brně.		13	
14	Bezdomovci pryč z centra	Město by mělo aktivně vytlačovat bezdomovce z centra.		14	
15	Licence na předzahrádky	Licence na hospodské předzahrádky by se měly vydávat na kratší doby, např. na měsíc (dnes je to na půl roku).			
16	Participativní rozpočet	Město by mělo vyčlenit část svého rozpočtu na jeho rozdělení přímo občany pomocí tzv. “participativního rozpočtu”.		16	
17	Úřední deska jako otevřená data 	Úřední deska Brna má být přístupná na internetu i ve formátu otevřených dat.			
18	Cyklisté v centru	Město by mělo povolit neomezený vjezd cyklistů na pěší zóny v centru.		18	
19	Zákaz heren	V Brně by měly být zakázány všechny herny.		19	
20	MHD zdarma při smogu	Jízdné v MHD by mělo být zdarma ve dnech, kdy je překročen zákonný limit pro jemné prachové částice.		20	
21	Zrušení Aktualizace územního plánu	Podporujete snahy o zrušení “Aktualizace stávajícího územního plánu”? 		21	
22	Parkovací místa v centru 	Počet parkovacích míst centru by měl narůst.		22	
23	Dozorčí rady kulturních organizací	V dozorčích radách městských kulturních organizací by měly převažovat akademici a umělci nad zástupci města.		23	
24	Nízkoemisní zóna	Centrum by mělo být tzv. “nízkoemisní zónou”. Auta, nesplňující nové normy znečišťování, by měly mít do centra vjezd zakázán.		24	
25	Displeje ukazující stav ovzduší	Magistrát by měl zavést po celém městě displeje ukazující aktuální stav ovzduší.			
26	Regulace nákupních center	Město má více regulovat vznik nákupních center.		26	
27	Zvýšení dotací na kulturu	Dotace města na kulturu by se měly zvýšit alespoň 2x (ze současných zhruba 13 milionů za rok).			
28	Kreativní centrum	Brno by mělo postavit Kreativní centrum v objektu bývalé káznice na Cejlu.		28	
29	Odvolání ředitelky TIC	Ředitelka Turistického informačního centra města Brna pí. Kačírková by měla být odvolána.		29	
30	Zveřejňování jmen kandidátů	Jména kandidátů na ředitele městských kulturních organizací (např. divadla, muzea) by měla být zveřejňována.			
31	Smlouvy na internetu	Město by mělo zveřejňovat všechny své smlouvy na internetu.		31	
32	Evropské město kultury 2028	Brno by mělo kandidovat na Evropské město kultury 2028.		32	
