Demise premiéra znamená i demisi celé vlády.	Dle Ústavy prezident přijímá demisi premiéra i vlády. Dle názoru předsedy Ústavního soudu Rychetského a jiných je demise premiéra jednoznačně automaticky demisí celé vlády. Nicméně prezident Zeman při oznámené demisi premiéra Sobotky v květnu 2017 chtěl odvolat jen jeho, nikoliv celou vládu.
Prezident má odvolat bez zbytečného odkladu ministra, pokud mu to premiér navrhne.	Dle Ústavy prezident odvolává ministry. V minulosti prezident Klaus váhal odvolat ministry Johna a Dobeše, prezident Zeman potom ministra Babiše. Tyto ministry chtěli premiéři Nečas a Sobotka odvolat.
Prezident může odmítnout jmenovat ministra.	Dle Ústavy prezident jmenuje ministry na návrh premiéra. Výklad je zatím nejednoznačný, zda prezident má jen stvrdit správnost procedury, nebo zda může premiérovi do procesu zasahovat. V minulosti prezident Klaus měl dodatečné podmínky před jmenováním ministrů Urbana nebo Ratha.
Prezident má po volbách pověřit jednáním o sestavení vlády vždy předsedu strany, která volby vyhrála.	V minulosti prezident Klaus nepověřil předsedu vítězné ČSSD Paroubka. Prezidenti Klaus v roce 2004 a Zeman v roce 2013 požadovali předem 101 podpisů poslanců před pověřením.
Prezident má mít i nadále možnost udělovat milost.	Prezident má dnes dle Ústavy právo odpouštět nebo zmírňovat tresty uložené soudem. tj. udělovat milosti.
Milost pro Kajínka byla správná.	Jiří Kajínek byl v roce 1998 odsouzen za dvojnásobnou vraždu na doživotí. 23. května 2017 mu prezident Zeman udělil milost. Prezident dle Ústavy má právo odpouštět nebo zmírňovat tresty uložené soudem.
Prezident má podepsat všechny nové zákony, které nevetuje.	Dle Ústavy podepisuje zákony prezident, předseda Sněmovny a premiér. V minulosti se několikrát stalo, že prezident Klaus nepodepsal některé zákony a přitom je ani nevrátil parlamentu. Zákony tak začaly platit.
Na výběr členů Bankovní rady České národní banky mají být vypisována veřejná výběrová řízení.	Prezident dle Ústavy jmenuje členy Bankovní rady ČNB, skupinu 7 dní, která českou národní banku řídí. Způsob jejich výběru je dnes zcela v jeho pravomoci. Dosavadní čeští prezidenti členy Bankovní rady vždy vybírali ad-hoc v procesu neotevřeném veřejnosti.
Výběr členů Bankovní rady České národní banky má být jen na prezidentovi.	Dnes dle Ústavy výběr všech 7 členů Bankovní rady ČNB, která banku řídí, závisí jen na prezidentovi. V roce 2015 např. vláda navrhovala, aby ke jmenování byl zapotřebí souhlas Senátu.
Prezident má na oficiálních státních návštěvách vždy reprezentovat postoj vlády.	Prezident dle Ústavy zastupuje stát navenek. Praktickou koncepci zahraniční politiky ČR ale tvoří Ministerstvo zahraničí a schvaluje vláda.
