id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce  (určí se až při finálním výběru otázek) 
1	Letiště	Magistrát města by měl věnovat více prostředků dostavbě letistě v Plané.		1
2	Herny	V Českých Budějovicích by měly být zakázány všechny herny.		2
3	Rejnok	Město by mělo usilovat o stavbu Koncertního a kongresového centra Antonína Dvořáka, tzv. Rejnoka.		3
4	Stromy na náměstí	Kolem kašny na Náměstí Přemysla Otakara II. by měly být vysázeny stromy, tak jako tomu bylo před druhou světovou válkou.		4
5	Smlouvy na internetu	Město by mělo zveřejňovat všechny své smlouvy na internetu.		5
6	Reklama	Mělo by město regulovat reklamu ve veřejném prostoru?	Zastánci zmiňují velkou míru vizuálního smogu, např. reklamu na fasádách domů s okny, odpůrci argumentují právem majitelů nemovitostí a svobodou podnikání.	6
7	Dálnice	Město České Budějovice má nadále aktivně podporovat přípravu a realizaci dálnice D3.		7
8	Rekonstrukce nádraží	Magistrát by měl vyčlenit prostředky na rekonstrukci budovy hlavního vlakového nádraží v Českých Budějovicích.		8
9	Majetkové přiznání zastupitelů	Mají členové zastupitelstva zveřejňovat majetková přiznání zahrnující všechny rodinné příslušníky?	Zastánci zveřejňování uvádějí, že tato povinnost je běžná u vysokých politiků státu, např. u poslanců a jedná se o protikorupční opatření, odpůrci uvádějí se jedná o přílišný zásah do práv, jde o populistický požadavek, který je nepřezkoumatelný.	9
10	Internet na náměstí	Město by mělo na náměstí Přemysla Otakara II. zřídit bezplatné připojení k internetu přes WiFi.		10
11	Koněspřežka	Město by mělo postavit alepoň část historické koněspřežky jako turistickou atrakci.		11
12	Náklady za odklid sněhu	Magistrát by měl obyvatelům města proplácet nádlady spojené s odklidem sněhu na chodníku.		12
13	Umění na náměstí	Město by nadále mělo na náměstí Přemysla Otakara II. pravidelně vystavovat předměty moderního umění.		13
14	Zrušení poplatků za odpad	Měl by být zrušit poplatek za svoz komunálního odpadu?	Zastánci se domnívají, že tento poplatek je zbytečný, jedná se o jakousi „skrytou“ daň, která by měla být zrušena. Podle odpůrců by to znamenalo velký zásah do rozpočtu města na úkor jiných důležitějších položek. Zrušení poplatků je pouze přenesením zátěže na město, což složitou situaci nijak neřeší. Důležitější je snižování celkových nákladů.	14
15	Tramvaj	Ve městě by měla některé linky autobusů a trolejbusů MHD nahradit tramvaj.		15
16	Auta v centru	Vjezd automobilů do centra by měl být zpoplatněn.		16
17	MHD	Město by mělo usilovat o to, aby MHD byla dražší pro lidi bez trvalého pobytu v Českých Budějovicích než pro Budějičáky.		17
18	Policejní kamery	Měl by se zvýšit počet kamer Městské policie.	Dohlížecí kamerový systém Městské Policie v současnosti zahrnuje 33 kamer rozmístěných po městě. Zastánci kamer argumentují že kamery pomáhají snižovat kriminalitu, odpůrci namítají přílišný zásah do osobních práv a přesun kriminality do jiných míst. 	18
19	Školní autobusy	Město by mělo usilovat o zřízení školních autobusů.		19
20	Letní kino	Mělo by město přispívat na letní kino?		20
21	Veřejně prospěšné práce	Mělo by město navýšit počet veřejně prospěšných pracovníků?	Zastánci uvádějí přínos pro dlouhodobě nezaměstnané, odpůrci namítají zvýšené náklady na tuto agendu.	21
22	Podpora turismu	Město by mělo uvolnit více prostředků na podporu turismu.		22
23	Podpora infrastruktury	Město by mělo prioritně financovat stavbu infrastruktury (např. silniční ohruh) na úkor jiných sektorů.		23
