id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce  (určí se až při finálním výběru otázek) 	Další poznámky, atd.
1	Městský architekt	Měla by být zřízena funkce městského architekta?	Podle zastánců by městský architekt dohlížel na jednotnou koncepci rozvoje města. Odpůrci zdůrazňují, že tato funkce nemá oporu v zákoně.	1	
2	Knihovna Václava Havla	Má být děčínská knihovna pojmenována po Václavu Havlovi?	Zastánci uvádějí zvýšení prestiže a prokázání pocty významné osobnosti ČR. Odpůrci namítají kontroverznost osobnosti a skutečnost, že Václav Havel neměl žádný vztah k tomuto městu.	2	
3	Děčínská kotva	Mělo by město v plné šíři obnovit pořádání hudebního festivalu Děčínská kotva?	Zastánci uvádějí, že jde o celostátně známou soutěž. Odpůrci namítají finanční náročnost a dále argumentují, že soutěže tohoto typu by město pořádat nemělo.	3	
4	Pravidla pro dotace	Mají být vytvořena jednotná pravidla na dotace pro kulturu a sport?	Zastánci při závazných pravidlech uvádějí nižší míru subjektivních preferencích hodnotitelů. Odpůrci namítají faktickou nemožnost nastavení jednotných pravidel u tak různorodých aktivit.	4	
5	Preferované sporty	Měla by být omezena podpora tzv. preferovaným sportům (tenis, hokej, basketbal) ve prospěch mládežnického sportu?	Zastánci omezení se domnívají, že by více peněz měly dostat mládežnické kluby, základní školy a amatérští sportovci. Podle odpůrců přináší tyto sporty městu propagaci.	5	
6	Městská policie	Mělo by být více městských policistů?	Zastánci uvádějí zvýšení pocitu bezpečí.  Odpůrci namítají, že aktuálně byl počet strážníků navýšen, ale doposud nebyla vyhodnocena efektivita tohoto opatření.	6	
7	Městské kamery	Měly by ve městě být instalovány další kamery?	Zastánci uvádějí zvýšení bezpečnosti problémových lokalit, odpůrci namítají přílišný zásah do osobních práv a přesun kriminality do jiných míst.	7	
8	Veřejně prospěšné práce	Mělo by město navýšit počet veřejně prospěšných pracovníků?	Zastánci uvádějí přínos pro dlouhodobě nezaměstnané, odpůrci namítají zvýšené náklady na tuto agendu.	8	
9	Prostupné bydlení	Má město vytvořit systém prostupného bydlení holobyt-ubytovna-nájemní byt?	Zastánci argumentují důležitostí motivace nepřizpůsobivých. Odpůrci namítají, že ve městě je velký počet volných ubytoven a bytů.	9	
10	Městské sběrny	Má město přijmout obecně závaznou vyhlášku o odpadech s možností odevzdávat kovový odpad pouze v městské sběrně?	Zastánci uvádějí snížení množství krádeží kovů. Odpůrci argumentují vznikem černých skládek a omezením podnikání.	10	
11	Podnikatelský inkubátor	Mělo by město spolufinancovat vznik centra pro začínající podnikatele a řemeslníky? 	Zastánci uvádějí přínos pro vznik drobného podnikání. Odpůrci argumentují finanční náročností projektu.	11	
12	Zákaz automatů	Na území města by měly být úplně zakázány hrací automaty.	Obce mohou přijmout vyhlášku, ve které by na svém území zakázaly hrací automaty. Příznivci zákazu argumentují sociálními problémy plynoucími z hazardu. Odpůrci zmiňují současnou regulaci a finance, které město na daních obdrží.	12	
13	Územní plán bez Pastýřské	Má zastupitelstvo z připravovaného územního plánu do konce roku 2014 vyjmout variantu dálničního přivaděče centrem – „Pastýřská“, k níž vydalo usnesení, že s ní nesouhlasí?	Zastánci argumentují potřebou jasného postoje zastupitelstva města vůči této variantě. Odpůrci chtějí ponechat tuto variantu tranzitní komunikace jako alternativní.	13	
14	Tranzit obchvatem	Má město Děčín aktivně vystupovat tak, aby byla přes odpor ŘSD prosazena čistě obchvatová varianta tranzitní silnice?	Podle zastánců by se tím snížily hodnoty znečištnění ovzduší, hluku a dopad na obyvatele Děčína. Podle odpůrců je toto čistě v kompetenci státu.	14	
15	Lávka na železničním mostě	Má město Děčín spolufinancovat výstavbu lávky pro pěší, umístěnou na těleso železničního mostu, jež by propojila Mariánskou louku s centrem Podmokel?	Zastánci hovoří o lepším propojení dvouměstí. Odpůrci argumentují výší nákladů a rolí státu.	15	
16	MHD zdarma	Měla by být městská hromadná doprava zdarma?	Zastánci zrušení jízdného argumentují zlepšením životního prostředí a umožněním dopravy zdarma jen osobám, které nedluží městu např. za svoz odpadu. Odpůrci tvrdí, že se jedná o populismus a nehospodárné nakládání s veřejnými prostředky.	16	
17	Transformace dopravního podniku	Měla by se změnit právní forma Dopravního podniku města Děčína a.s., na příspěvkovou organizaci?	Zastánci změny uvádějí možnou úsporu min. 3 mil. Kč ročně, odpůrci argumentují zhoršenou možností přivýdělku podnikáním dopravního podniku.	17	
18	Zeleň ve městě	Mělo by město investovat do obnovy alejí na okraji města a výsadby vzrostlých stromů v centru?	Zastánci uvádějí přínos pro životní prostředí. Odpůrci namítají finanční nákladnost při tak rozsáhlém katastru a překládce inženýrských sítí i těžkostmi při zaúčtování výsadby a péče  o stromy na cizích pozemcích.	18	
19	Kompostéry na bioodpad	Měl by magistrát zajistit pro zahrádkáře a majitele pozemků kompostéry na bioodpad?	Zastánci argumentují možností čerpání dotací od státu a snížením skládkovného v Malšovicích, odpůrci zdůrazňují další administrativní zátěž města při vydávání a půjčování kompostérů.	19	
20	Zrušení poplatku za odpad	Měl by být zrušen poplatek za svoz komunálního odpadu?	Zastánci se domnívají, že tento poplatek je zbytečný, jedná se o jakousi „skrytou“ daň, která by měla být zrušena. Podle odpůrců by to znamenalo velký zásah do rozpočtu města na úkor jiných důležitějších položek. Zrušení poplatků je pouze přenesením zátěže na město, což složitou situaci nijak neřeší. Důležitější je snižování celkových nákladů.	20	
21	Priority ze Strategie	Město za účasti veřejnosti vytvořilo Strategii města 2014-2020. Mělo by nové zastupitelstvo naplňovat priority, dle stanoveného pořadí?	Zastánci této koncepce uvádějí, že strategie prošla dvojím připomínkováním veřejnosti a město do ní investovalo nemalé finanční prostředky. Odpůrci zmiňují, že každá ze stran šla do voleb se svými prioritami, které by měla přednostně naplňovat.	21	
22	Nástěnky na visací zámky	Má město investovat do romantických míst, kde by bylo možné legálně uzamykat visací zámky lásky?	Zastánci argumentují možným vznikem svatební turistiky a tím, že za současného stavu je ničen Tyršův most. Odpůrci argumentují, že město má vynakládat finanční prostředky na důležitější věci.	22	
23	Majetkové přiznání primátora	Má primátor dobrovolně zveřejňovat majetkové přiznání zahrnující všechny rodinné příslušníky?	Zastánci zveřejňování uvádějí, že tato povinnost je běžná u vysokých politiků státu, např. u poslanců. Odpůrci argumentují, že se jedná o přílišný zásah do práv jednotlivce.	23	
24	Majetkové přiznání zastupitelů	Mají členové zastupitelstva zveřejňovat majetková přiznání zahrnující všechny rodinné příslušníky?	Zastánci zveřejňování uvádějí, že tato povinnost je běžná u vysokých politiků státu, např. u poslanců a jedná se o protikorupční opatření, odpůrci uvádějí se jedná o přílišný zásah do práv, jde o populistický požadavek, který je nepřezkoumatelný.	24	
25	Podklady pro jednání rady	Podklady pro jednání rady města by měly být zveřejněné na internetu už před jednáním.	Zastánci zmiňují transparentnost. Podle odpůrců je to administrativně a technicky náročné a zákon toto nepožaduje.	25	
26	Jmenovité hlasování členů rady	Má být zveřejňováno jmenovité hlasování členů rady města, podobně jako je tomu u zastupitelů?	Zastánci zmiňují transparentnost. Dle odpůrců je toto protiprávní, neboť jednání rady města je neveřejné.	26	
27	Rozklikávací rozpočet	Má magistrát města zveřejňovat rozklikávací rozpočet?	Zastánci uvádějí možnost laického seznámení s rozpočtem města. Odpůrci namítají neefektivnost tohoto opatření.	27	
