id,,,answer,Zeman,detail,,
3,Prezident může odmítnout jmenovat ministra.,"Dle Ústavy prezident jmenuje ministry na návrh premiéra. Výklad je zatím nejednoznačný, zda prezident má jen stvrdit správnost procedury, nebo zda může premiérovi do procesu zasahovat. V minulosti prezident Klaus měl dodatečné podmínky před jmenováním ministrů Urbana nebo Ratha.",1,Ano,"Zeman také uvedl, že nevylučuje, že odmítne některé kandidáty do vlády navržené Sobotkou. Ústava mu to prý dovoluje. - https://zpravy.idnes.cz/zeman-k-sobotkovi-a-sestavovani-vlady-dxj-/domaci.aspx?c=A131205_162946_domaci_hv","    Zeman také uvedl, že nevylučuje, že odmítne některé kandidáty do vlády navržené Sobotkou. Ústava mu to prý dovoluje.",https://zpravy.idnes.cz/zeman-k-sobotkovi-a-sestavovani-vlady-dxj-/domaci.aspx?c=A131205_162946_domaci_hv
4,"Prezident má po volbách pověřit jednáním o sestavení vlády vždy předsedu strany, která volby vyhrála.",V minulosti prezident Klaus nepověřil předsedu vítězné ČSSD Paroubka. Prezidenti Klaus v roce 2004 a Zeman v roce 2013 požadovali předem 101 podpisů poslanců před pověřením.,1,Ano,"Nárok na pokus sestavit vládu Zeman šéfovi ČSSD neupírá, sociální demokraté vyhráli poslední volby. Možnost sestavit kabinet by prý Sobotka dostal při prvním pokusu, kdyby chtěl. - http://www.ceskatelevize.cz/ct24/domaci/1084928-zeman-chce-101-podpisu-overenych-notarem-viroza-zasne-nemcova","Nárok na pokus sestavit vládu Zeman šéfovi ČSSD neupírá, sociální demokraté vyhráli poslední volby. Možnost sestavit kabinet by prý Sobotka dostal při prvním pokusu, kdyby chtěl.",http://www.ceskatelevize.cz/ct24/domaci/1084928-zeman-chce-101-podpisu-overenych-notarem-viroza-zasne-nemcova
7,"Prezident má podepsat všechny nové zákony, které nevetuje.","Dle Ústavy podepisuje zákony prezident, předseda Sněmovny a premiér. V minulosti se několikrát stalo, že prezident Klaus nepodepsal některé zákony a přitom je ani nevrátil parlamentu. Zákony tak začaly platit.",0,Nevíme,,,
11,Prezident má podepsat dojednané mezinárodní smlouvy bez ohledu na svůj osobní postoj.,Prezident dle Ústavy podepisuje mezinárodní smlouvy. V praxi Československa i ČR takové smlouvy vždy dojednávala vláda.,0,Nevíme,,,
14,Armáda ČR se má nadále zúčastňovat operací v Afghánistánu.,Armáda ČR je hlavní částí ozbrojených sil ČR a prezident je dle Ústavy jeijch vrchním velitelem. Ke konci roku 2017 bylo v Afghánistánu zhruba 400 českých vojáků.,1,Ano,Podepisoval další účast - https://www.blesk.cz/clanek/zpravy-politika/406022/zeman-na-summitu-nato-domlouval-praci-ceskym-vojakum-maji-cvicit-afghance.html,Podepisoval další účast,https://www.blesk.cz/clanek/zpravy-politika/406022/zeman-na-summitu-nato-domlouval-praci-ceskym-vojakum-maji-cvicit-afghance.html
16,Bratři Mašínové mají dostat státní vyznamenání.,"Bratři Mašínové byli součástí ozbrojené antikomunistické skupiny, která při svém útěku do Západního Berlína v roce 1953 zabila několik lidí.",-1,Ne,Nejmenoval,Nejmenoval,
17,Prezident má mít pravomoc odmítnout jmenovat soudce.,Prezident dle Ústavy jmenuje soudce. Také jmenuje předsedy některých vyšších soudů. Prezident Klaus v minulosti odmítl jmenovat některé soudce kvůli věku. Prezident Zeman odmítl jmenovat předsedu krajského soudu.,1,Ano,Již použil - https://zpravy.idnes.cz/zeman-odmitl-jmenovat-soudce-veseleho-dhf-/domaci.aspx?c=A140717_115329_domaci_jj,Již použil,https://zpravy.idnes.cz/zeman-odmitl-jmenovat-soudce-veseleho-dhf-/domaci.aspx?c=A140717_115329_domaci_jj
31,Hrad má zveřejňovat platy svých nejvyšších úředníků.,Kancelář prezidenta republiky za prezidenta Klause i prezidenta Zemana odmítala opakovaně zveřejnit platy svých vysokých úředníků.,-1,Ne,Odmítali opakovaně zveřejnit - https://www.irozhlas.cz/zpravy-domov/hrad-nechtel-zverejnit-platy-uredniku-stat-bude-muset-zaplatit-odskodneni-47-000_1710141742_pla,Odmítali opakovaně zveřejnit,https://www.irozhlas.cz/zpravy-domov/hrad-nechtel-zverejnit-platy-uredniku-stat-bude-muset-zaplatit-odskodneni-47-000_1710141742_pla
33,Prezident Havel byl lepším prezidentem než prezident Klaus.,Václav Havel byl prezidentem ČR v letech 1993 - 2003. Václav Klaus byl prezidentem ČR v letech 2003 - 2013.,0,Nevíme,,,
40,V ČR se má platit eurem.,"Euro je oficiální měnou Evropské unie. Dnes 19 z 28 zemí EU používá euro, včetně sousedních Německa, Slovenska a Rakouska. Euro nepoužívá Polsko.",1,Ano,"Česko by mělo přijmout společnou evropskou měnu euro, a to pokud možno první den poté, co z eurozóny odejde Řecko. - https://echo24.cz/a/isqMY/zeman-zavidim-euro-slovakum-u-nas-ho-chci-hned-jak-odejde-recko","Česko by mělo přijmout společnou evropskou měnu euro, a to pokud možno první den poté, co z eurozóny odejde Řecko.",https://echo24.cz/a/isqMY/zeman-zavidim-euro-slovakum-u-nas-ho-chci-hned-jak-odejde-recko
