id	name en	question en	description en	order	name cs	question cs	description cs
1	Data Protection	There should be a stronger common EU law on data protection.	Personal information are e.g. information about health, genetic samples or financial data, information about dealing, calls or web browsing. These data are used by policy, secrete policy or companies for business purpose.	3	Ochrana dat	Měly by být zpřísněny společné právní předpisy EU na ochranu dat.	Osobní data jsou např. data o zdravotním stavu, genetické vzorky nebo finanční údaje, informace o obchodních transakcích nebo o provedených telefonních hovorech a navštívených webových stránkách. Tyto údaje firmy používají pro svůj business nebo je shromažďuje policie či tajné služby.
2	Minimum Wage	The EU should promote the introduction of a minimum wage linked to the average salary in each member state.	Minimal wage in average throughout the EU is 40 % of average wage in each country. The lowest is in the Czech Republic (32 %) and the highest is in Slovenia and Greece (50 %). In some states such as Sweden the minimal wage is rather sectional than national.	4	Minimální mzda	V EU by se měla zavést minimální mzda navázaná na průměrný plat v jednotlivých státech EU.	Minimální mzda je v EU v průměru zhruba 40 % průměrné mzdy v dané zemi (nejméně 32 % v ČR, nejvíce 50 % ve Slovinsku a Řecku). V některých zemích (např. Švédsko) je minimální mzda stanovena spíše sektorově a ne celostátně. 
3	Legislative Initiative	The European Parliament should have the power to introduce laws without asking the European Commission.	European Parliament, in contrast to National parliament, can not propose new law-proposal without consent of European Commission, it can just approve these proposals. According to supporters of empowerment of European Parliament it lead to empowerment of european democracy. The opponents are worried about attrition of power of national parliaments.		Legislativní iniciativa	Evropský parlament by měl mít pravomoc iniciovat zákon bez nutnosti oslovení Evropské komise.	Evropský parlament, na rozdíl od národního parlamentu, nemůže předkládat sám nové zákony, pouze je schvaluje. Dle zastánců posilování pravomocí Evropský parlament přispívá k posilování evropské demokracie a měl by mít větší pravomoci. Kritici se ale obávají, že národní parlamenty ztratí část svých pravomocí.
4	CO2 Emissions	The EU should set stricter targets for CO2 reduction.	Within the EU there are established Emission Licenses for energetic companies which should help to limit CO2 emissions and defuse climatic problems. Some argue it’s not enough and the others argue it increases price of energy.	7	Emise CO2	EU by měla vymezit striktnější cíle pro regulaci CO2.	V EU jsou zavedeny emisní povolenky pro energetické firmy, pomocí nichž se limitují emise skleníkového plynu CO2 (oxidu uhličitého), což má zmírnit klimatické problémy. Někteří je kritizují jako nedostatečné, kritici naopak upozorňují, že takové regulace vedou ke zvýšení cen energií.
5	Nuclear Power	EU member states should not be allowed to subsidise nuclear power.	Supporters of atomic energy point out high effectiveness of exploitation of fuel and minimal emissions of CO2 in contrast to coal-fired energy or gas energy. Critics argue the atomic energy is not financially competitive and presents a potential risk.	11	Zákaz dotací jaderné energetika 	Státy EU by měly mít zakázáno dotovat jadernou energetiku.	Zastánci jaderné energetiky poukazují na vysokou efektivitu při spalování paliva a na velice nízké emise CO2 oproti jiné, např. uhelné či plynové energii. Kritici upozorňují, že jaderná energie není finančně konkurenceschopná a představuje bezpečnostní riziko.
6	Genetically-modified Crops	Growing genetically-modified crops should be allowed throughout the European Union.	Supporters of growing genetically-modified crops argue these crops increase yield and they are more resistant to pests, which means they don’t need chemical treatment. Opponents are worried about potential health risks, environmental impacts and dependence on the producers of these crops.	27	Geneticky upravené plodiny	Mělo by být povoleno pěstovat geneticky upravené plodiny v celé EU.	Zastánci pěstování geneticky upravených plodin argumentují, že tyto plodiny zvyšují výnos a jsou odolnější vůči škůdcům, není nutné je tolik chemicky ošetřovat. Odpůrci se obávají zdravotních rizik, dopadu na životní prostředí a závislosti na producentech takových plodin.
7	Import Taxes	Import taxes on agricultural products from developing countries should be lowered.	Supporters of import taxes that they protect and support economics of member states and protect european market against cheap agriculture products from developing countries. Opponents, on the other hand, criticize them because they limit development of countries, whose the major trade articles are just agriculture products. Another opinion is that they increase prices of these kind of products.  		Dovozní cla	Dovozní cla na zemědělské produkty z rozvojových zemí by měla být snížena.	Zastánci dovozních cel argumentují ochranou a podporou ekonomik členských států vůči ostatním, aby nedošlo k zaplavení evropského trhu levnými zemědělskými produkty z rozvojových zemí. Kritici upozorňují, že cla limitují rozvoj zemí, jejichž důležitým obchodním artiklem jsou právě zemědělské produkty, a také, že zdražují potraviny pro zákazníky v EU.
8	Direct Election of the Commission President	The President of the European Commission should be elected by citizens of the EU in direct elections. 	According to supporter the directly election of  president of European commission could increase interest of citizens in the EU. Opponent argue it doesn’t solve any of actual problems as well as it doesn’t increase credibility of the EU.		Přímá volba předsedy Evropské komise	Předseda Evropské komise by měl být volen v přímých volbách občany EU	Přímá volba předsedy komise by podle zastánců měla zvýšit úroveň demokracie v EU a zvýšit zájem občanů o EU. Její kritici argumentují, že přímá volba nepřináší žádné řešení současných problémů, ani nezvyšuje důvěryhodnost EU.
9	Minimum Rate for Corporate Taxes	A minimum corporation tax rate should be introduced throughout the EU.	The corporation tax rate throughout the EU is 10 - 35 % . Supporters of establishing minimal corporation tax throughout the EU criticize existence of the “tax heavens” within the EU (e.g. Cyprus), where companies can pay taxes instead of the country, where they really make a profit. Opponents point out the good rivalry among the countries.	8	Minimální sazba korporátní daně	Měla by být zavedena minimální sazba pro daně z příjmů u firem v celé EU.	Daně z příjmů je v EU mezi 10 % a 35 %. Zastánci minimální sazby kritizují existenci daňových rájů uvnitř EU (např. Kypr), kde mohou firmy platit daně namísto v zemi, kde zisk reálně vytvořili. Odpůrci upozorňují na zdravou soupeřivost mezi jednotlivými zeměmi. 
10	Internal Financial Assistance	There should be less financial assistance to poorer regions within the EU.	Almost 1/3 of EU’s budget is used as a subsidy for regional policy. Main object of this policy is to provide support for economically weak regions within the EU. The whole Czech Republic is on of them except for Prague	28	Nižší finanční pomoc regionům	Měla by se snížit finanční pomoc ekonomicky slabším regionům EU.	Zhruba 1/3 rozpočtu EU jde na regionální politiku. Hlavním cílem je podpora ekonomicky slabších regionů v EU, mezi něž se řadí celá ČR mimo Prahu.
