id	name cs	question cs	description cs	order	koef (0 je půl na půl)			další poznámky
1	Ochrana dat	Měly by být zpřísněny společné právní předpisy EU na ochranu dat.	Osobní data jsou např. data o zdravotním stavu, genetické vzorky nebo finanční údaje, informace o obchodních transakcích nebo o provedených telefonních hovorech a navštívených webových stránkách. Tyto údaje firmy používají pro svůj business nebo je shromažďuje policie či tajné služby.	3	17	1	data	
2	Minimální mzda	V EU by se měla zavést minimální mzda navázaná na průměrný plat v jednotlivých státech EU.	Minimální mzda je v EU v průměru zhruba 40 % průměrné mzdy v dané zemi (nejméně 32 % v ČR, nejvíce 50 % ve Slovinsku a Řecku). V některých zemích (např. Švédsko) je minimální mzda stanovena spíše sektorově a ne celostátně. 	4	-13	1	economy	
3	Legislativní iniciativa	Evropský parlament by měl mít pravomoc iniciovat zákon bez nutnosti oslovení Evropské komise.	Evropský parlament, na rozdíl od národního parlamentu, nemůže předkládat sám nové zákony, pouze je schvaluje. Dle zastánců posilování pravomocí Evropský parlament přispívá k posilování evropské demokracie a měl by mít větší pravomoci. Kritici se ale obávají, že národní parlamenty ztratí část svých pravomocí.		29	1	eu	
4	Emise CO2	EU by měla vymezit striktnější cíle pro regulaci CO2.	V EU jsou zavedeny emisní povolenky pro energetické firmy, pomocí nichž se limitují emise skleníkového plynu CO2 (oxidu uhličitého), což má zmírnit klimatické problémy. Někteří je kritizují jako nedostatečné, kritici naopak upozorňují, že takové regulace vedou ke zvýšení cen energií.	7	-16	1	enviro	Nahradit v textu otázky (ne ve vysvětlení) CO2 za "skleníkové plyny"? Tomu asi lidi spíš rozumí
5	Zákaz dotací jaderné energetika 	Státy EU by měly mít zakázáno dotovat jadernou energetiku.	Zastánci jaderné energetiky poukazují na vysokou efektivitu při spalování paliva a na velice nízké emise CO2 oproti jiné, např. uhelné či plynové energii. Kritici upozorňují, že jaderná energie není finančně konkurenceschopná a představuje bezpečnostní riziko.	11	-20	1	enviro	
6	Geneticky upravené plodiny	Mělo by být povoleno pěstovat geneticky upravené plodiny v celé EU.	Zastánci pěstování geneticky upravených plodin argumentují, že tyto plodiny zvyšují výnos a jsou odolnější vůči škůdcům, není nutné je tolik chemicky ošetřovat. Odpůrci se obávají zdravotních rizik, dopadu na životní prostředí a závislosti na producentech takových plodin.	27	-17	1	enviro	Jaké dopady na životní prostředí? Tady by asi bylo nutné dát příklad.
7	Dovozní cla	Dovozní cla na zemědělské produkty z rozvojových zemí by měla být snížena.	Zastánci dovozních cel argumentují ochranou a podporou ekonomik členských států vůči ostatním, aby nedošlo k zaplavení evropského trhu levnými zemědělskými produkty z rozvojových zemí. Kritici upozorňují, že cla limitují rozvoj zemí, jejichž důležitým obchodním artiklem jsou právě zemědělské produkty, a také, že zdražují potraviny pro zákazníky v EU.		6	0.5	economy	
8	Přímá volba předsedy Evropské komise	Předseda Evropské komise by měl být volen v přímých volbách občany EU	Přímá volba předsedy komise by podle zastánců měla zvýšit úroveň demokracie v EU a zvýšit zájem občanů o EU. Její kritici argumentují, že přímá volba nepřináší žádné řešení současných problémů, ani nezvyšuje důvěryhodnost EU.		-24	0.5	eu	
9	Minimální sazba korporátní daně	Měla by být zavedena minimální sazba pro daně z příjmů u firem v celé EU.	Daně z příjmů je v EU mezi 10 % a 35 %. Zastánci minimální sazby kritizují existenci daňových rájů uvnitř EU (např. Kypr), kde mohou firmy platit daně namísto v zemi, kde zisk reálně vytvořili. Odpůrci upozorňují na zdravou soupeřivost mezi jednotlivými zeměmi. 	8	-8	1	economy	http://www.podnikatel.cz/clanky/strasak-korporatni-dane-je-stale-na-blizku-jaky-by-mel-dopad-na-ceske-firmy/
10	Nižší finanční pomoc regionům	Měla by se snížit finanční pomoc ekonomicky slabším regionům EU.	Zhruba 1/3 rozpočtu EU jde na regionální politiku. Hlavním cílem je podpora ekonomicky slabších regionů v EU, mezi něž se řadí celá ČR mimo Prahu.	28	-28	1	economy	http://en.wikipedia.org/wiki/Regional_policy_of_the_European_Union#Convergence
