				1. odvolání Z.K.-28.4.2011	2. Změna úp v CHKO30.6.2011	3 .Daň z nemovitosi -29.9.2011	4. Hazard -26.4.2012-2.hl.v zápisu-plošný zákaz	5. školka Ruprechtice-navýšení 29.11.2012	6. záměr prodeje TSML-29.11.2012	7. prodej letiště 29.11.2012	8. Hospic-peníze z odměn z doz.rad 28.3.2013	9 .referendum Změna 27.6.2013	10. SWAP -narovnání s ČP28.11.2013
1	MUDr.Kateřina Absolonová	Změna pro Liberec	ZpL	proti	zdržel se	nepřítomen	pro	proti	proti	proti	pro	pro	zdržel se
2	PhDr. Jaromír Baxa, Ph.D	Změna pro Liberec	ZpL	proti	nepřítomen	nepřítomen	pro	zdržel se	proti	proti	pro	pro	proti
3	Ing. Karolína Hrbková	Změna pro Liberec	ZpL	proti	proti	nepřítomen	pro	proti	proti	proti	pro	pro	proti
4	MUDr. Vladislav Chvála	Změna pro Liberec	ZpL	proti	proti	zdržel se	pro	proti	proti	proti	nepřítomen	nepřítomen	zdržel se
5	Bc. Zuzana Kocumová	Změna pro Liberec	ZpL	zdržel se	zdržel se	nepřítomen	pro	proti	proti	proti	pro	pro	proti
6	Mgr. Jan Korytář	Změna pro Liberec	ZpL	proti	proti	zdržel se	pro	proti	proti	proti	pro	pro	zdržel se
7	Mgr. Květoslava Morávková	Změna pro Liberec	ZpL	nepřítomen	proti	proti	pro	proti	nehlasoval	proti	nepřítomen	pro	proti
8	Mgr.Ondřej Petrovský	Změna pro Liberec	ZpL								pro	pro	zdržel se
9	Prof. Josef Šedlbauer, Ph.D	Změna pro Liberec	ZpL	proti	proti	zdržel se	pro	proti	proti	proti	pro	pro	proti
10	Mgr. Zuzana Tachovská	Změna pro Liberec	ZpL				pro	proti	proti	proti	pro	pro	proti
11	MUDr.Andrea Dzanová	Změna pro Liberec	ZpL	proti	proti	nepřítomen							
12	Josef Jadrný	Změna pro Liberec	ZpL	nehlasoval	nepřítomen	zdržel se	pro	proti	nepřítomen	nepřítomen			
13	Ing. Pavel Bernát	Občanská demokratická strana	ODS	pro	pro	zdržel se	proti	pro	pro	pro	nepřítomen	zdržel se	pro
14	Ing. Ondřej Červinka	Občanská demokratická strana	ODS	pro	pro	pro	proti	pro	pro	pro	nehlasoval	zdržel se	pro
15	Bc. Michael Dufek	Občanská demokratická strana	ODS	pro	pro		zdržel se	pro	pro	pro	nehlasoval	zdržel se	pro
16	Ing. Tomáš Hampl	Občanská demokratická strana	ODS	pro	pro	pro	proti	pro	pro	pro	nehlasoval	zdržel se	pro
17	Naděžda Jarošová	Občanská demokratická strana	ODS										
18	Naděžda Jozífková	Občanská demokratická strana	ODS	nepřítomen	nepřítomen	nepřítomen	proti	nepřítomen	nepřítomen	nepřítomen	nehlasoval	zdržel se	pro
19	Ing. Jiří Kittner	Občanská demokratická strana	ODS	pro	pro	nepřítomen	proti	pro	pro	pro	proti	zdržel se	pro
20	Bc. Hana Konšelová	Občanská demokratická strana	ODS	pro	pro	zdržel se	proti	pro	nepřítomen	nepřítomen	nehlasoval	zdržel se	pro
21	Ing. Petr Olyšar	Občanská demokratická strana	ODS	zdržel se	pro	zdržel se	zdržel se	nepřítomen	nepřítomen	nepřítomen	proti	zdržel se	pro
22	Ing. Mgr. Petr Černý	Věci Veřejné	VV	pro	pro	pro	zdržel se	proti	pro	pro	zdržel se	proti	pro
23	Ing. Bohuslav Kabátek	Věci Veřejné	VV	nepřítomen	pro	pro	zdržel se	proti	pro	pro	proti	proti	pro
24	Ing. Milan Šulc	Věci Veřejné	VV	pro	pro	pro	zdržel se	zdržel se	pro	nehlasoval	proti	nepřítomen	pro
25	Ladislav Dušek	Liberec občanům a jejich dětem	LO	zdržel se	pro	pro	pro	pro	pro	pro	proti	pro	pro
26	Lukáš Pohanka	Liberec občanům a jejich dětem	LO	pro	pro	pro	proti	pro	pro	pro	proti	zdržel se	nehlasoval
27	Mgr. Věra Rosenbergová	Liberec občanům a jejich dětem	LO	zdržel se	pro	pro	zdržel se	pro	pro	pro	proti	nepřítomen	pro
28	Kamil Jan Svoboda	Liberec občanům a jejich dětem	LO	pro	pro	pro	zdržel se	pro	pro	pro	proti	zdržel se	pro
29	Mgr. Jiří Šolc	Liberec občanům a jejich dětem	LO	pro	pro	pro	zdržel se	pro	pro	pro	proti	zdržel se	pro
30	Doc. David Václavík, Ph.D.	Liberec občanům a jejich dětem	LO	pro	zdržel se	pro	pro	pro	pro	pro	proti	nepřítomen	pro
31	MUDr. Ladislav Dzan	Unie pro sport a zdraví	USZ	pro	nepřítomen	pro	nepřítomen	pro	pro	pro	proti	zdržel se	nepřítomen
32	Ing. Jiří Rutkovský	Unie pro sport a zdraví	USZ	pro	pro	pro	zdržel se	zdržel se	pro	pro	nehlasoval	zdržel se	pro
33	Ing. František Hruša	Česká strana sociálně demokratická	ČSSD	pro	pro	pro	zdržel se	pro	pro	pro	proti	zdržel se	pro
34	Jana Kašparová	Česká strana sociálně demokratická	ČSSD	pro	pro	pro	proti	pro	pro	pro	proti	zdržel se	pro
35	Lukáš Martin	Česká strana sociálně demokratická	ČSSD	pro	pro	pro	zdržel se	pro	pro	pro	proti	nehlasoval	nehlasoval
36	Mgr. Martina Rosenbergová	Česká strana sociálně demokratická	ČSSD	pro	nepřítomen	pro	proti	pro	pro	pro	proti	zdržel se	pro
37	Martin Sepp	Česká strana sociálně demokratická	ČSSD	pro	pro	pro	zdržel se	pro	pro	pro	nepřítomen	nepřítomen	nehlasoval
38	Milan Šír	Česká strana sociálně demokratická	ČSSD	pro	pro	pro	proti	pro	nehlasoval	pro	proti	proti	pro
39	Roman Šotola	Česká strana sociálně demokratická	ČSSD	pro	pro	pro	zdržel se	pro	pro	pro	proti	zdržel se	pro
40	Mgr. Dana Lysáková	Komunistická strana Čech a Moravy 	KSČM	zdržel se	zdržel se	proti	pro	nehlasoval	proti	proti	proti	zdržel se	zdržel se
41	Ing. Jaroslav Morávek	Komunistická strana Čech a Moravy 	KSČM	zdržel se	pro	proti	pro	pro	proti	proti	proti	pro	nepřítomen
42	Mgr. Věra Skřivánková	Komunistická strana Čech a Moravy 	KSČM	nepřítomen	pro	proti	pro	pro	proti	proti	proti	pro	zdržel se
