id,order,name_cs,name_en,question_cs,question_en,description_cs,description_en,lower_vote_event_id,lower_bill_id,lower_polarity,lower_vote_event_link,upper_vote_event_id,upper_bill_id,upper_polarity,upper_vote_event_link,document_link
10,10,Ztráta mandátu,Loss of the parliamentary seat,Měl by poslanec ztratit svůj mandát za přeběhlictví nebo při odsouzení do vězení? ,Should a MP lose his seat after committing a crime or leaving his political party?,"Podle zastánců je obtížné, aby poslanec vykonával mandát z vězení. Jsou také proti změně stran u poslanců než za jakou byli zvoleni, neboť ti byli zvoleni s volebním programem dané strany. Podle odpůrců by mohl vést k účelovému stíhání poslanců s cílem odstranit je ze Sněmovny. V otázce přeběhlictví by měl mít poslanec právo opustit stranu, která podle jeho uvážení příliš odbočila od předvolebních slibů.","Proponents say that it is hard to imagine, for example, members of parliament exercising their parliamentary mandate while in prison. Also they are against members switching parties in the middle of their term of office. Opponents say that it could be easily misused to criminalize members of parliament in order to strip them of their mandate and that, if a party has turned against its manifesto, members of parliament should be free to turn agaist the party.",60616,188,-1,http://www.psp.cz/sqw/hlasy.sqw?g=60616,,,,,http://www.psp.cz/sqw/historie.sqw?T=188
11,11,Poplatky za odvoz odpadu,Garbage collection fees,"Hlasovali byste pro to, aby se poplatky za odvoz odpadu netýkaly dětí a seniorů v domovech?",Would you vote for an exemption of children's and seniors' homes from the garbage collection fee?,"Příslušný návrh ruší povinnost platit poplatky za odvoz odpadu za osoby v dětských domovech a domovech pro seniory a zdravotně postižené. Odpovědnost za hrazení poplatků za děti mají nově nést rodiče. Nemá tedy být např. možné, aby dítě po dovršení 18 let čelilo exekuci kvůli poplatkům za odpad. Podle zastánců návrh zmírní sociální dopady poplatků, podle odpůrců by výběr poplatků měly řešit jednotlivé obce.","The corresponding bill excerpts children's and seniors' homes from paying the garbage collection fee. Also, the responsibility for paying the fee is newly transferred to parents. This prevents children from facing seizures of property for unpaid garbage collection fees after reaching adulthood. Proponents say that it will decrease negative social impact of the fee, opponents say that this should be regulated by individual municipalities.",60815,219,1,http://www.psp.cz/sqw/hlasy.sqw?g=60815,15334,78/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15334,http://www.psp.cz/sqw/historie.sqw?T=219
14,14,Daň z nemovitostí,Property tax,Měla by být daň z nemovitostí placena kupujícím?,Would you vote for a transfer of the obligation to pay the property tax to buyers?,"Příslušný návrh převádí povinnost platit tuto daň na kupujícího. Dosud daň platil prodávající, pokud se smluvní strany nedohodly jinak. Podle zastánců pomůže návrh omezit daňové úniky, podle odpůrců může vést ke zdražení nemovitostí.","The corresponding bill transfers the obligation to pay the property tax to the buyer. Previously, it was the seller who was obliged to pay the tax unless the contracting parties agreed otherwise. Proponents say it will help to prevent tax evasions, opponents say that it will increase prices of accommodation.",60335,292,1,http://www.psp.cz/sqw/hlasy.sqw?g=60335,15067,100/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15067,http://www.psp.cz/sqw/historie.sqw?T=292
9,9,Kurzarbeit,Kurzarbeit,Měla by být zavedena možnost tzv. kurzarbeitu?,Would you vote for introduction of so-called kurzarbeit (state-supported part time employment)?,"Příslušný návrh zavádí možnost spoluúčasti státu na financování mezd některých firem ve výjimečných případech (hospodářská krize, přírodní katastrofy, atd.). Firmy by hradily 50 % plné mzdy a vláda dalších 20 %. Podle zastánců návrh ušetří veřejné finance, neboť zaměstnanci nebudou muset být propuštěni a pobírat sociální dávky. Podle odpůrců nejsou pravidla dostatečně jasná a mohou být zneužita.","The corresponding bill allows the government to co-finance salaries of certain companies during emergency situations (economic crises, natural disasters etc.). The companies would pay 50 % of full salaries while the state would pay extra 20 %. Proponents say that it will save public money because it will prevent employees who would collect unemployment benefits from being fired. Opponents say that related regulations are too vague and that this procedure could be easily misused.",61038,296,1,http://www.psp.cz/sqw/hlasy.sqw?g=61038,15402,95/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15402,http://www.psp.cz/sqw/historie.sqw?T=296
15,15,Posuzování vlivu na životní prostředí,Environmental Impact Assessment Bill,Hlasovali byste pro novelu zákona o posuzování vlivů na životní prostředí?,Would you vote for the Environmental Impact Assessment Bill?,"Podle zastánců tento návrh umožňuje větší zapojení veřejnosti do procesu povolování velkých staveb a zlepší ochranu životního prostředí. Podle odpůrců povede k průtahům, zvýšení byrokracie a ohrožení čerpání peněz z EU, protože některé stavby placené z těchto peněz se nemusí stihnout postavit včas.","Proponents say that the bill will increase public control of large construction projects and help to protect the environment. Opponents say that it will delay construction, increase bureaucracy and compromise receiving EU funds because some projects funded by the EU might not be completed on time.",60406,299,1,http://www.psp.cz/sqw/hlasy.sqw?g=60406,15115,19/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15115,http://www.psp.cz/sqw/historie.sqw?T=299
8,8,Investiční pobídky,Investment incentives,Hlasovali byste pro rozšíření investičních pobídek pro velké firmy?,Would you vote for an expansion of investment incentives for large companies?,"Příslušný návrh umožní vznik ekonomických zón pro velké investory s vyšší státní podporou pro zaměstnavatele na pracovní místo. Na pobídky by měla nově dosáhnout data centra a call centra. Podle zastánců návrh pomůže zvýšit konkurenceschopnost a zaměstnanost. Odpůrci argumentují, že návrh zvýší výdaje státního rozpočtu a že z hlediska ekonomického růstu je výhodnější podporovat drobné podnikatele.",The corresponding bill allows the government to establish economic zones with increased employment subsidies for large companies. Data centres and call centres are newly eligible for the subsidies. Proponents say that it will help to increase economic competitiveness and employment. Opponents say that it will increase public spending and that the economic growth should instead be stimulated by supporting small businesses.,60431,302,1,http://www.psp.cz/sqw/hlasy.sqw?g=60431,15201,33/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15201,http://www.psp.cz/sqw/historie.sqw?T=302
7,7,Přímá volba starostů,Direct elections of mayors,Mají být starostové obcí voleni přímou volbou?,Should mayors be elected directly?,"Podle zastánců by tento návrh zvýšil možnosti občanů rozhodovat o vedení obce, podle kritiků by hrozilo nebezpečí populismu. Pokud by navíc voliči v nějaké obci zvolili starostou představitele jiného politického tábora, než je většina zastupitelstva obce, mohlo by to vést k faktickému zablokování rozhodování v obci.","Proponents say that this proposal would increase people's ability to choose leadership of their municipality. Opponents say that it would lead to populism. Moreover, if a mayor and a majority of the municipal assembly belonged to opposing political blocks it could de facto cripple decision-making processes.",60462,319,-1,http://www.psp.cz/sqw/hlasy.sqw?g=60462,,,,,http://www.psp.cz/sqw/historie.sqw?T=319
19,19,Ochrana manželů v exekuci,Protection of spouses during seizures of property,Hlasovali byste pro větší ochranu nezadlužené osoby v manželství při exekuci?,Would you vote for an increase of protection of the debt-free spouse during seizures of property?,"Cílem příslušného návrhu je ochrana nezadlužené manžela či manželky při exekuci, např. se z exekuce vyjímá polovina peněz na jeho bankovním účtu, nejméně dvojnásobek životního minima.","The goal of the corresponding bill is to protect the debt-free spouse during seizures of property conducted in order to pay for a debt. For example, a half of deposits on spouses' bank accounts are left out of the seizure.",60606,337,1,http://www.psp.cz/sqw/hlasy.sqw?g=60606,15236,64/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15236,http://www.psp.cz/sqw/historie.sqw?T=337
13,13,Reklama na nepovolené loterie,Promotion of illegal lotteries,Mělo by být zakázáno šíření reklamy na nepovolenou loterii?,Would you vote for criminalization of illegal lotteries promotion?,"Příslušný návrh zakazuje zadání, zpracování i šíření propagace na nepovolené loterie. Podle zastánců pomůže v boji proti hazardu, podle odpůrců je pro média velmi těžké odhalit, jestli je loterie, kterou propagují, povolena nebo ne.","The corresponding bill criminalizes  of illegal lotteries. Proponents say that it will help to combat gambling, opponents say that it is difficult for media to find out whether certain lottery is legal or not.",61048,363,1,http://www.psp.cz/sqw/hlasy.sqw?g=61048,15392,87/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15392,http://www.psp.cz/sqw/historie.sqw?T=363
3,3,Lesní školky,Outdoor kindergartens,Měly by nadále existovat tzv. lesní školky?,Should outdoor kindergartens continue to exist?,"Příslušný návrh fakticky umožňuje školkám v přírodě další existenci zejména tím, že je vyjímá z povinnosti plnit přísné hygienické předpisy platné pro ""kamenné"" školky.",The corresponding bill de facto allows outdoors kindergartens to keep existing by exempting them from strict hygienic regulations that apply to indoor kindergartens.,60698,366,1,http://www.psp.cz/sqw/hlasy.sqw?g=60698,15255,66/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15255,http://www.psp.cz/sqw/historie.sqw?T=366
