id,order,name_cs,name_en,question_cs,question_en,description_cs,description_en,lower_vote_event_id,lower_bill_id,lower_polarity,lower_vote_event_link,upper_vote_event_id,upper_bill_id,upper_polarity,upper_vote_event_link,document_link
1,1,Evidence tržeb,Database of receipts,Měl by být zaveden povinný systému elektronické evidence tržeb (EET),Would you vote for a mandatory database of receipts?,Příslušný návrh zadává pro osoby a firmy vydávající účtenky (např. živnostníky) povinnost odesílat elektronické údaje o každé transakci veřejné správě. Podle zastánců návrh zvýší příjmy státního rozpočtu a pomůže v boji proti šedé ekonomice. Podle odpůrců zvýší náklady firem a živnostníků a vytvoří možnost pro zneužití zasílaných dat.,"The corresponding bill creates a mandatory centralized database of all financial transactions by companies and individual businessmen. Proponents say that it will prevent tax evasions, opponents say that it will expand bureaucracy and that the data will be easily exploitable.",61282,513,-1,http://www.psp.cz/sqw/hlasy.sqw?g=61282,,,,,http://www.psp.cz/sqw/historie.sqw?T=513
2,2,Povinné očkování,Mandatory vaccination,Do školky by měly být přijímány pouze očkované děti.,Should kindergartens only accept vaccinated kids?,"Podle dosavadní úpravy nesmí do školky docházet neočkované dítě (pokud není imunní nebo mu očkování škodí). Příslušný návrh tuto povinnost ruší, čímž fakticky oslabuje povinnost očkovat. Podle zastánců povinné očkování chrání zdraví dětí, podle odpůrců jde o zásah do svobody rodičů.","According to current law, a child cannot attend kindergarten without certain mandatory vaccination (unless the child is immune or contraindicated for vaccination). The corresponding proposal abolishes this restriction and replaces it with an obligation of parents to inform the kindergarten about the child’s vaccination. The proposal therefore de facto weakens mandatory vaccination.",61326,270,1,http://www.psp.cz/sqw/hlasy.sqw?g=61326,15307,87/10,-1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15307,http://www.psp.cz/sqw/historie.sqw?T=270
3,3,Zaměstnávání učitelů,Employment of teachers,Školy by měly mít povinnost zaměstnávat učitele i přes prázdniny,Should schools be required to keep teachers employed during summer holidays?,"Příslušný návrh zakazuje zaměstnávat učitele jen na deset měsíců v roce, tzn. před prázdninami je propustit a opět je přijmout až na začátku školního roku. Podle zastánců návrh zlepší životní podmínky učitelů, podle odpůrců zvýší výdaje škol.","The corresponding bill removes a possibility to only hire teachers for 10 months, i.e. firing them before summer holidays and re-hiring them afterwards. Proponents say it will improve living standards of teachers, opponents say it will increase spending of schools.",61457,407,1,http://www.psp.cz/sqw/hlasy.sqw?g=61457,15562,133/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15562,http://www.psp.cz/sqw/historie.sqw?T=407
4,4,Podpora biopaliv,Biofuel subsidies,Výroba biopaliv by měla být i nadále finančně podporována,Would you vote for continuation of biofuels subsidies?,"Příslušný pozměňovací návrh vypouští ze zákona o spotřebních daních podporu tzv. biopaliv. Podle zastánců podpory biopaliv pomáhají chránit ovzduší, podle zastánců slouží jako zdroj příjmů pro skupinu Agrofert. Odpověď ANO znamená hlasování PROTI podpoře biopaliv. Odpověď NE znamená hlasování PRO podporu biopaliv.",The corresponding amendment removes biofuel subsidies from the Consumption Tax Act. Proponents of the subsidies say they help to protect the environment. Opponents say that they exist mainly to provide a source of income for the Agrofert corporation which is often accused of high-level political corruption.,61770,418,-1,http://www.psp.cz/sqw/hlasy.sqw?g=61770,,,,,http://www.psp.cz/sqw/historie.sqw?T=418
5,5,Vyhoštění cizinců,Deportation of foreigners,Stát by měl mít možnost vyhostit cizince kvůli spáchání trestného činu,Should there be a possibility to deport a foreigner who committed a crime?,"Příslušný návrh zavádí možnost zrušit povolení k dlouhodobému pobytu cizincům, kteří spáchali úmyslný trestný čin. Podle zastánců návrh pomůže zbavit se nežádoucích cizinců, podle odpůrců návrh prohlubuje dvojí standard práva pro cizince a občany ČR, což je překážkou integrace cizinců do společnosti.","The corresponding bill allows deportation of a foreigner who committed an intentional crime. Proponents say it will help remove undesirable immigrants, opponents say that it will deepen a divide between foreigners and citizens which will further complicated their integration into the society.",61521,463,1,http://www.psp.cz/sqw/hlasy.sqw?g=61521,15549,136/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15549,http://www.psp.cz/sqw/historie.sqw?T=463
6,6,Zvýšení důchodu,Increase of state pensions,Starobní důchod by se měl jednorázově zvýšit o 600 Kč,Would you vote for a one-off increase in state pensions of 600 CZK (20 EUR)?,"Příslušný návrh podle zastánců pomůže zvýšit životní úroveň starobních důchodů, podle odpůrců je nesystémový a zvyšuje výdaje státního rozpočtu.",Everyone above a certain age receive a state pension. It constitutes almost the entire income of most of elderly people. A median state pension is currently 390 EUR. Proponents say the one-off increase will improve living standards of pension recipients. Opponents say that it will increase public spending.,61777,526,1,http://www.psp.cz/sqw/hlasy.sqw?g=61777,15625,157/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15625,http://www.psp.cz/sqw/historie.sqw?T=526
7,7,Zveřejňování smluv,Repository of contracts,Smlouvy uzavírané veřejnou správou by měly být povinně zveřejňovány na internetu,Should contracts signed by the public sector be mandatorily published online?,Příslušný návrh ukládá veřejné správě povinnost uveřejňovat plné znění všech smluv v elektronickém registru. Na smlouvy nezveřejněné v určené lhůtě se pohlíží jako na neplatné. Podle zastánců zvyšuje návrh transparentnost a pomáhá v boji proti korupci. Podle odpůrců povede ke zvýšení byrokracie.,The corresponding bill mandates that full texts of all contracts signed by the public sector must be published in an online repository. Contracts not published in a deadline will be considered invalid. Proponents say the bill will help to fight corruption. Opponents say it will expand bureaucracy.,61825,42,1,http://www.psp.cz/sqw/hlasy.sqw?g=61825,15512,126/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15512,http://www.psp.cz/sqw/historie.sqw?T=42
8,8,Velký pátek,Good Friday,Velký pátek by měl být státním svátkem,Should the Good Friday become an official public holiday?,,,61685,491,1,http://www.psp.cz/sqw/hlasy.sqw?g=61685,15587,148/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15587,http://www.psp.cz/sqw/historie.sqw?T=491
9,9,Dohoda s Ukrajinou,Agreement with Ukraine,Evropská unie by měla posílit ekonomické a právní vazby s Ukrajinou,Should EU strengthen economic and legal cooperation with Ukraine?,"Příslušná asociační dohoda mimo jiné sbližuje legislativu Ukrajiny a EU, stanovuje pravidla pro výměnu informací v oblasti justice, umožňuje Ukrajině přístup k financím Evropské investiční banky či zakládá zónu volného obchodu. Podle zastánců dohoda pomůže modernizovat zemi, podle odpůrců zhorší vztahy EU s Ruskem.","The corresponding association agreement for example harmonizes the law, creates rules for exchange of judicial information, grants access to the European Investment Bank funds and creates a free trade area. Proponents say it will help to modernize Ukraine, opponents say that it will worsen relations with Russia.",61385,310,1,http://www.psp.cz/sqw/hlasy.sqw?g=61385,15009,333/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15009,http://www.psp.cz/sqw/historie.sqw?T=310
10,10,Zdražení cigaret,Cigarette prices,Cigarety by měly zdražit v důsledku vyšší spotřební daně,Should cigarette prices increase due to a higher consumption tax rate?,"Příslušný návrh zvyšuje spotřební daň tabákových výrobků, což podle odhadů zdražit cigarety o tři až čtyři koruny za krabičku. Podle zastánců vyšší ceny cigaret zvyšují příjmy státního rozpočtu, podle odpůrců snižují životní úroveň lidí, kteří jsou na cigaretách závislí.","The corresponding bill increases consumption tax rate which will increase cigarette prices by estimated 3-4 CZK (0.1-2 EUR, some 5 % of a total price) per a pack. Proponents say that higher prices discourage people from smoking. Opponents say they decrease living standards of people addicted to cigarettes.",61494,512,1,http://www.psp.cz/sqw/hlasy.sqw?g=61494,15557,134/10,1,http://www.senat.cz/xqw/xervlet/pssenat/hlasy?G=15557,http://www.psp.cz/sqw/historie.sqw?T=512
