"V1"	"V2"
"1"	"1"	"0.201951376614799"
"2"	"2"	"0.0787142247246347"
"3"	"3"	"0.17400471574556"
"4"	"4"	"0.0501851971359709"
"5"	"5"	"-0.209492272567452"
"6"	"6"	"-0.228228294325768"
"7"	"7"	"-0.249558227698138"
"8"	"8"	"-0.2324852965791"
"9"	"9"	"-0.208584103927157"
"10"	"10"	"-0.164292412289463"
"11"	"11"	"0.0158872368804216"
"12"	"12"	"0.0326558492504933"
"13"	"13"	"-0.0144309940170526"
"14"	"14"	"-0.228407637422304"
"15"	"15"	"-0.226262765743093"
"16"	"16"	"-0.162602997974398"
"17"	"17"	"-0.239121446058019"
"18"	"18"	"-0.160317064717625"
"19"	"19"	"-0.00702837621142826"
"20"	"20"	"-0.218170416853195"
"21"	"21"	"-0.0251730190973649"
"22"	"22"	"-0.268670316768188"
"23"	"23"	"-0.203630234227932"
"24"	"24"	"-0.268670316768188"
"25"	"25"	"0.00242700473896599"
"26"	"26"	"-0.11402231059531"
"27"	"27"	"-0.236515549874637"
"28"	"28"	"-0.232083601478857"
"29"	"29"	"-0.0784285628790113"
"30"	"30"	"-0.245221145039086"
