id,order,name_hu,name_en,question_hu,question_en,description_hu,description_en,votewatcht_link,vote_event_link
1,1,Menekültkvóták,Quotas for refugees,Egyetért a kötelező menekültkvóták bevezetésével?,Do you agree with introduction of mandatory quotas for refugees?,"Egy a bevándorlási krízis kapcsán az Európai Parlament által elfogadott, nem kötelező erejű határozat menekültkvóták bevezetésére kérte fel az Európai Bizottságot. Ennek értelmében a déli tagállamokkal szolidaritást vállalva elosztanák a menekülteket a tagállamok között. Magyarországnak eszerint 307 menekültet kellene befogadnia.","Part of the non-binding resolution about the immigration crisis that was adopted by the European Parliament is also call for introduction of mandatory quotas for redistribution of refugees around European countries as an expression of solidarity with Southern European countries. The Czech Republic would have to accept 1,328 refugees.",http://www.votewatch.eu/en/term8-report-of-the-extraordinary-european-council-meeting-23-april-2015-the-latest-tragedies-in-the-medit-7.html,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2015-0367&language=
2,2,Juncker befektetésösztönző terve,Juncker investment plan,Támogatná Juncker befektetésösztönző tervet?,Would you support Juncker investment plan?,"Az Európai Bizottság elnöke 2014 novemberében, az Európai Parlament ülésén ismertette 300 milliárd eurós befektetésösztönző csomagtervét. Eszerint egy új európai stratégiai beruházási alapot hoznának létre, amely legalább 315 milliárd eurónyi befektetést mobilizálna az elkövetkező három évben.",The plan was introduced by the president of the European Commission in November 2014. The new European fund for strategic investments will be created. It should mobilize investments of at least €315 billion in next three years.,http://www.votewatch.eu/en/term8-european-fund-for-strategic-investments-draft-legislative-resolution-vote-legislative-resolution-ord.html,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0139&language=
3,3,A feldolgozott hústermékek származási országának feltüntetése,Labeling country of origin of processed meat,"Egyetért azzal, hogy a feldolgozott élelmiszereken kötelező legyen feltüntetni a benne lévő hús származási helyét?",Do you agree with mandatory country of origin labelling of meat in processed foods?,"A származási ország kötelező feltüntetése a friss húsra vonatkozott volna az EU-n belül. Az EP-képviselők azonban egy olyan határozatot fogadtak el, amely kiterjeszti a szabályozást a feldolgozott élelmiszerekre (pl. kolbászfélék). Az ötlet támogatói azzal érveltek, hogy mindez növelheti a fogyasztói tudatosságot, az ellenzők azonban az áremelkedés veszélyére figyelmeztettek.","Mandatory country of origin labelling applies for fresh meat only in the EU. However, MEPs agreed on a resolution that expand the obligation also for processed food (e.g. in sausages). Supporters of this idea argue that it will increase awareness of consumers, opponents, on the other hand, warn about the risk of increase of prices.",http://www.votewatch.eu/en/term8-country-of-origin-labelling-for-meat-in-processed-foods-motion-for-resolution-vote-resolution.html,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2015-0097&language=
4,4,Európai energiabiztonsági stratégia,European energy security strategy,Támogatná az európai energiabiztonsági stratégia bevezetését?,Would you support an adoption of the European energy security strategy?,"A múlt évben az Európai Bizottság az európai energiaszolgáltatás biztonsága erősítése céljából egy új európai energiabiztonsági stratégiát fogadott el. Ennek több pontja az uniós egységes energiapiac fejlesztése érdekében tesz lépéseket, amely a szolgáltatók diverzifikálását (a monopóliumok letörését), az energiahatékonyság fejlesztését, az infrastruktúra korszerűsítését foglalja magában. A stratégia képviselők által leginkább vitatott részei az energiahatékonyság javításának ambiciózus kötelező célkitűzései és a palagáz-kitermelésre javasolt moratórium voltak.","Last year the European Commission introduced new European energy security strategy aiming at strengthening security of European energy supplies. Main points of the strategy are completing single energy market in the EU, diversification of energy supplies, improving energy efficiency or modernization of infrastructure. The most controversial parts of the strategy are, according to some MEPs, too ambitious binding targets for energy efficiency or proposed moratorium on extraction of shale gas.",http://www.votewatch.eu/en/term8-european-energy-security-strategy-motion-for-resolution-vote-resolution.html,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0164&language=
5,5,A stratégiai partnerség felbontása Oroszországgal,End of strategy partnership with Russia,Felül kell bírálni az EU stratégiai partnerségét Oroszországgal?,Should the EU reconsider its strategic partnership with Russia?,"Az Európai Parlament Krím félsziget annektálásával és a kelet-ukrajnai orosz katonai agresszióval kapcsolatos állásfoglalása Oroszországot egyértelműen támadó félként tünteti fel, ezért indítványozza az Unió kétoldalú kapcsolatainak újragondolását. Az elfogadott szöveg szerint Oroszország már nem tekinthető stratégiai partnernek az Európai Unió számára.","Resolution adopted in the European Parliament in relation with annexation of Crimea and military aggression in the east of Ukraine clearly describe Russia as aggressor and suggest that EU should reconsider its mutual relations. According to adopted text, Russia cannot be considered as strategic partner any more.",http://www.votewatch.eu/en/term8-state-of-eu-russia-relations-motion-for-resolution-vote-resolution.html,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0162&language=
6,6,Első generációs bioüzemanyagok termelésének korlátozása,Limitation of production of 1st generation biofuels,Egyetért az első generációs bioüzemanyagok termelésének korlátozásával?,Do you agree with the limitation of production of 1st generation biofuels?,"Az Európai Parlament döntött az első generációs bioüzemanyagok korlátozásáról. Az elfogadott szöveg célul tűzi ki, hogy a hagyományos bioüzemanyagok részarányát 2020-ra 7% alá kell szorítani. Ez a hulladékból és algából készült üzemanyagok magasabb részarányát biztosítja. Ezek az európai képviselők szerint kevésbé károsak a környezetre.","European parliament decided about the limitation of 1st generation biofuels. According to adopted text, its share should be under seven percent in 2020. This should guarantee higher representation of fuels made from waste and seaweeds. MEPs argue that these new types of biofuels are better for the environment.",http://www.votewatch.eu/en/term8-fuel-quality-directive-and-renewable-energy-directive-draft-legislative-resolution-text-as-a-whole-b.html#/,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0025&language=
7,7,CIA-kínzásokkal kapcsolatos állásfoglalás,Criticism of the CIA's counter-terrorism program,Elítéli a CIA terrorizmusellenes programja során alkalmazott eljárásokat?,Do you condemn the methods of CIA's counter-terrorism program?,"Azt követően, hogy az Egyesült Államok Szenátusa nyilvános jelentést adott ki arról, hogy a CIA a terrorizmusellenes program során kínzást is felhasznált a vallatás során, az Európai Parlament határozatot fogadott el. Ebben elítéli ezeket az eljárásokat, és felszólítja a tagállamokat, vizsgálják ki: voltak-e titkos CIA börtönök az EU területén.","Resolution was adopted in the European Parliament following the revelation of US Senate about using torture as method in CIA’s counter-terrorism program. It clearly condemns using these methods and call to member states for investigate, whether there were secret CIA prisons inside EU.",http://www.votewatch.eu/en/term8-us-senate-report-on-the-use-of-torture-by-the-cia-joint-motion-for-resolution-vote-resolution.html,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2015-0123&language=
8,8,A kártyás fizetések díjának maximalizálása,Capping fees for card-based payments,Egyetért a kártyás fizetések díjának maximalizálásával?,Do you agree with capping fees for card-based payments?,"Az Európai Parlament döntésével a betéti kártyák esetén a kifizetett összeg 0.2%-ának, hitelkártya esetében 0.3%-ának mértékében maximalizálta a kártyás tranzakciók díját. A képviselők a fogyasztók oldalán évi 730 millió, a kereskedők oldalán évi 6 milliárd euró megtakarításra számítanak.",European parliament decided about capping fees for transactions made by debit cards to 0.2 % from the payed amount and to 0.3 % for transactions made by credit cards. MEPs expect annual saving amounting € 730 million on the consumer side and € 6 billion on the merchant side.,http://www.votewatch.eu/en/term8-interchange-fees-for-card-based-payment-transactions-draft-legislative-resolution-vote-legislative-r.html,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0022&language=
9,9,Internetes monopóliumok korlátozása - Digitális egységes piac,Restriction of monopoly on the internet - Digital Single Market,Egyetért a digitális egységes piac bevezetésével az Unióban?,Do you agree with the introduction of the digital single market within the EU?,"Az Európai Parlament egy állásfoglalásban felszólította a tagállamokat és az Európai Bizottságot, hogy tárja fel és szüntesse meg azokat az akadályokat, amelyek az uniós digitális egységes piac növekedésének útjában állnak. Az előterjesztésektől a fogyasztói jogok hatékonyabb érvényesítését, a gazdasági növekedés elősegítését, a túlzott mértékű piaci koncentráció és a gazdasági erőfölénnyel való visszaélés megakadályozását várják. Az EP kezdeményezése úgy is tekinthető, mint egy felhívás a Bizottság felé, hogy az képviseljen keményebb álláspontot a Google-el és annak domináns pozíciójával szemben az internetes keresőmotorok piacán.","The European Parliament adopted a resolution calling on member states and the Commission to focus on the obstacles that hinder the development of a digital single market and try to eliminate them. The proposal should support the rights of consumers, contribute to the economic growth, and prevent an excessive market concentration and abuse of dominance on the market. This initiative of the European Parliament is also seen as a call for the European Commission to take a tougher stance against Google and its dominant position in Internet search.",http://www.votewatch.eu/en/term8-digital-single-market-joint-motion-for-resolution-vote-resolution.html,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=
10,10,Pénzügyi támogatás Ukrajna számára,Financial aid for Ukraine,Egyetért az Ukrajnának nyújtott pénzügyi támogatással?,Do you agree with financial assistance to Ukraine?,"Az ukrán gazdaság komoly és fájdalmas válságon megy keresztük, melyet régóta húzódó strukturális problémák idéztek elő, mindezt csak elmélyítette az ország keleti részében zajló fegyveres konfliktus. 2014 februárjában a frissen kinevezett ukrán kormány nagyszabású makrogazdasági és strukturális reformprogramot indított, melyhez az IMF és két Uniós makroszintű pénzügyi alap nyújtott támogatást. A Bizottság javaslatára az EP és a Tanács további 1.8 milliárd euró értékű pénzügyi támogatást szavazott meg Ukrajna számára.","Ukrainian economy undergoing painful and serious crisis, the cause of which lies in the long-term structural problems and this situation is exacerbated by armed conflict in the east of the country. In February 2014, the newly appointed Ukrainian government launched its ambitious program of macroeconomic and structural reforms. The program has been supported by financial assistance from the IMF and two EU macro financial aid operations. The proposal of an additional financial assistance submitted by the Commission to the European Parliament and the Council was approved by the European Parliament in the amount of EUR 1.8 billion.",http://www.votewatch.eu/en/term8-macro-financial-assistance-to-ukraine-draft-legislative-resolution-vote-legislative-resolution-ordin.html,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0056&language=
