Timestamp	ČSSD	Jiří Dietz	135416	1. Důchodci a děti do 15 let by měli cestovat autobusy MHD zadarmo.	Případný komentář k otázce 1	2. Město by mělo více investovat do oprav ulic.	Případný komentář k otázce 2	3. Město by mělo více investovat do okrajových čtvrtí.	Případný komentář k otázce 3	4. Město by mělo více investovat do rozvoje a údržby zeleně.	Případný komentář k otázce 4	5. Město by mělo zakázat všechny herny.	Případný komentář k otázce 5	6. Cizojazyčné nápisy na provozovnách a reklamních panelech by měly být povinně menší nebo stejné jako české.	Případný komentář k otázce 6	7. Radnice by měla aktivně snažit, aby počet obyvatel města neklesal.	Případný komentář k otázce 7	8. Město má aktivně usilovat o zápis Karlových Varů na seznam světového dědictví UNESCO.	Případný komentář k otázce 8	9. Podmínky pro vjezd automobilů do lázeňské zóny by měly být méně přísné.	Případný komentář k otázce 9	10. Radnice by měla nechat volnou ruku developerům při zástavbě plochy Dolního nádraží.	Případný komentář k otázce 10	11. Radnice by se měla zasadit o vybudování levných městských bytů zejména pro mladé lidi.	Případný komentář k otázce 11	12. Město by mělo prodat budovu Alžbětiných lázní.	Případný komentář k otázce 12	13. Město by se mělo aktivně snažit, aby byli potrestáni lidí odpovědní za nepodařené výběrové řízení na stavbu KV Areny, za takzvanou “karlovarskou losovačku”.	Případný komentář k otázce 13	14. Hlasovali byste pro přímou volbu primátora v rámci komunálních voleb?	Případný komentář k otázce 14	15. Město by mělo zveřejňovat všechny své smlouvy na internetu.	Případný komentář k otázce 15	16. Město by mělo méně než dnes finančně podporovat hokejový klub HC Energie Karlovy Vary, s.r.o.	Případný komentář k otázce 16	17. Ve městě by měly být instalovány další kamery městské policie.	Případný komentář k otázce 17	18. Poplatek za svoz komunálního odpadu by měl být zrušen.	Případný komentář k otázce 18	19. Město by mělo mít transparentní účty, do kterých lze veřejně nahlížet.	Případný komentář k otázce 19	20. Město by mělo zakázat pití alkoholu na veřejnosti i mimo kolonádu.	Případný komentář k otázce 20	21. Městská policie se dostatečně stará o udržení veřejného pořádku a bezpečnosti ve městě.	Případný komentář k otázce 21
9/22/2014 3:43:19	test	Test	123456	Ano		Ano		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Nevíme / nemáme jednotný názor		Ne		Ne		Ne		Ne		Ne	
9/22/2014 3:47:25	Test	Test	123456	Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Ano		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor	
9/22/2014 12:27:02	KVC	März	361950	Ano	V průběhu 2-3 let, zpočátku pouze rozšíříme levnější tarif i pro středoškoláky do 18 let a soustředíme se na razantní zlevnění MHD pro dospělé. Tento krok je možné za současného stavu financovat z rozpočtu.	Ano		Ano	Chtěli bychom prověřit i možnost přenosu části administrativy blíže k občanům do okrajových částí	Ano	Myslíme, že současný stav je poměrně dobrý, rozhodně by město mělo být v této oblasti alespoň stejně aktivní.	Nevíme / nemáme jednotný názor	Zodpovědně říkáme, že k této otázce se můžeme vyjádřit až s kompletními informacemi o přínosech do rozpočtu, umístění heren atd. Rozhodně jsme minimálně pro regulaci a přísné kontroly dodržování pravidel.	Ano	Na prvním místě jednoznačně české nápisy, cizojazyčné až jako druhé v pořadí, menší.	Ano	Zajištění startovacího bydlení pro mladé, možnosti studia a pracovní příležitosti. Oslovení okolních malých obcí s nabídkou připojení k městu a aktivní práce v tomto směru.	Ne		Ne		Ne	Radnice by měla být v této otázce aktivní, ale ne despotická.	Ano		Ano		Ano		Ano		Ano		Ne		Ano		Ano		Ano		Ano		Ne	
9/22/2014 12:39:03	ALTERNATIVA	manager, J.Kotek	468610	Ano	Cenovým zvýhodněním dopravy ve městě sledujeme snížení dopravního zatížení ve městě automobilovou osobní přpepravou.	Ano	Nastavený trend z roku 2010 v Karlových Varech přinesl uspokojivý stav. Do oprav byl zaveden systém a zejména otevřené transparentní zadávání zakázek. To umožnilo o 40 % zvýšit výkonnost.	Ne	Investice nastavit vyváženě a systémově, nikoliv na úkor okrajových částí. 	Ano	Opět se je třeba zaměřit na efektivitu již uvolněných finančních prostředků do konceptu údržby a rozvoje zeleně - precizovat zadání.	Ano	Ano, nulová tolerance hazardu je v této fázi programovým piliřem. 	Ano	Jednoznačě. Řadu let to je velmi latetntně řešené téma.	Ano	Město je vyprázdněné v mnoha oblastech, což lidi z města žene jinam. Mladým chybí práce i jiné možnopsti motivace - je to velmi zanedbané a náprava je cestou na dlouho.	Ano	Tento proces je v běhu již řadu let.	Ne	Naopak by měly být dodržované. Cestu "závor" nepokládáme za dobrou.  	Ano	Ano i ne. Jedná se o rozsáhlou část centra města, které mu dá novou tvář. Je třeba zajistit dlouhodobé funkčnosti (zejména dopravní a relaxační s ochranou pobřežní zeleně). Obzvláště, bude-li financování projektu z veřejných dotačních prostředků.	Ano	Jasně nastavit podpůrné a motivační projekty.	Nevíme / nemáme jednotný názor	Je třeba nalézt cestu pro jeho funkční využití primárně v oblasti poskytování lázeňské péče. Smyluplné jsme v minulosti ai nadále vidíme hledání řešení v koordinaci s privatizací LS Thermal.	Ano	Ano a je to pouze díl v korupčním kolýáči posledních let, kdy byly za naprosto nepřijatelných a také nezákonných procesů vyvedeny majetky města ve zlomkových cenách vybranému okruhu kmotrů.	Nevíme / nemáme jednotný názor	Ano i ne. Má to svá aktiva i negativa. Oddělený primátor od populistických vítězných volebních uskupení by byl pouze bezmocnopu figurou. Propojení funkce primátora s vítěznou stranou se jeví efektivnější a funkčnější.	Ano	... toto jsme v době vlastního působení ve funkci náměstka realizovali v roce 2010/11.	Ano	Primárně je třeba narovnat neprůhledný systém zneužívání dotací vydávaných za "podporu mládežnickému hokeji" a dostat ho do standardního a průhledného systému rozdělování dotací do sportu obecně - tedy nastavit transparentní, srovnatelný a předvídatelný proces.	Ne	Nemyslím, že tento trend má nějaký valný efekt. Navíc tento okruh zásahu do soukromí osob je obecně velmi citlivým problémem, který ba měl snést širší debatu a nastavit parametry pro takovýto monitorovací systém. 	Ano	Ano s možnou debatou na toto téma. Nic zadarmo nemůže efektivně fungovat. Nicméně vyhodnoscení systému třídění odpadu je lukrativním obchodem, který by měl výrazně přispět na stanovení přijatelné výše konečné ceny pro občany.	Ano	Bez jakékoliv diskuse ano.	Nevíme / nemáme jednotný názor	Nemáme signály, že by tento problém nějak vybočil z únosných mezí.	Ne	S ohledem na vnímanopu relaitu, nekonečné stížnosti a poukazy občanů na neutěšený stav v tomto ohledu, nelze vyhodnotit dotaz pozitivně. Stačí krátký výlet do sousedního Bavorska, procházka jakýmkoliv městem a návazné korzo městem K.vary, v kterékoliv jeho části. Srovnání neuspěje, ale MP sama není příčinou ani důslkedkem takového stavu.  
9/22/2014 13:25:41	STAN	Jaroslav Růžička	120470	Ano		Ano		Ano		Ano		Nevíme / nemáme jednotný názor		Ano		Ano		Ano		Ano		Ne		Nevíme / nemáme jednotný názor		Ne		Ano		Ano		Ano		Nevíme / nemáme jednotný názor		Ne		Ne		Ano		Nevíme / nemáme jednotný názor		Ne	
9/23/2014 8:19:09	KSČM	Bartůňková	836109	Ano	Již teď platí obě jmenované skupiny v K.Varech 1,-- Kč denně! U důchodců by sleva mohla začít platit od nástupu do důchodu.	Ano	V posledních letech se tak i stalo, opravilo se mnoho chodníků i silnic, ale pořád je to málo.	Ano	Vždyť nejvíc občanů bydlí právě v okrajových částech - střed města jsou lázně a víceméně bez karlovaráků.	Ne	Myslím, že díky organizacím, které spravují městskou zeleň jsou na tom K. Vary poměrně dobře.	Ano	K tomu není co dodat, snad jen v mezinárodních lázních ponechat kasina.	Ano		Ano	Otázka je jak. Musela by se zde najít práce pro mladé, pro absolventy, ... byty, které budou vyhovující a zároveň finančně dostupné.	Nevíme / nemáme jednotný názor	Nevím, zda nebude zápis svazující až moc!	Ano	Vždyť je stejně většina obchází. Povolenku dostane navíc každý, kdo si zažádá a nějakým způsobem zdůvodní. 	Ne	Developeři se představili s návrhem dalšího "mrtvého města". Postavit zde restaurace, drahé byty a galerie či výstavní prostory je možná pěkné, ale když  není ve městě kupní síla, těch pár návštěvníků za rok to nezaplatí.	Ano	Ano, to by mělo být jako jeden z hlavních bodů všech kandidujících.	Ne		Ano	Ano, nechť jsou trestáni zodpovědní a nikoliv město!!	Ano	Myslím si, že komunální politika je především o lidech. A K.Vary jsou vesnice s teplou vodou (tento termín používám velmi ráda), kde se skoro všichni znají.	Ano	Ono už je asi 3 roky zveřejňuje a mne by zajímala návštěvnost těchto stránek když i zastupitelé se často táží na věci, které jsou zde zveřejněné.	Ano	Hokej není jediný sport. 	Nevíme / nemáme jednotný názor	Stačí, když se budou využívat stávající, ale i s těmi dopady. Ne aby uprostřed města byl nehorázný nepořádek, který vzniká pod dohledem kamer! Mám na mysli okolí Tržnice.	Ne	Neumím si představit z jakých finančních zdrojů se bude platit skládkovné a samotný svoz!	Ano	Klidně, jen nevím kdo do nich bude nahlížet. Pokud to bude jak se smlouvami, je to ztráta času lidí, kteří to na stránky zadávají.	Ne	To si pak nedáte pivo ani na zahrádce před restaurací. 	Ne	Doklad je právě výše zmíněná Tržnice a její okolí. Zde se schází denně parta bezdomovců, obtěžují, jsou sprostí, pijí, močí i kálí v okolí, zůstávají po nich prázdné obaly od alkoholu a MP nic nezmůže. 
9/23/2014 12:23:44	Úsvit přímé demokracie	Václav Török	604508	Ano		Ano		Ano		Ano		Ne		Ano		Ano		Ano		Ne		Ne		Ano		Nevíme / nemáme jednotný názor		Ano		Ano		Ano		Ano		Ano		Ne		Ano		Ano		Ano	
9/25/2014 18:26:43	TOP 09 Karlovy Vary	Roman Maleček	783027	Ne	Stávající cena celoroční předplatné jízdenky v K.Varech pro tyto kategorie obyvatel 365 Kč ročně - tzn. 1 Kč denně je určitě dostupná a rádi bychom ji zachovali i nadále.	Ano	Ano - ovšem je nutno vycházet z finančních možností města, přesto se v posledním volebním období podařilo prosadit jeden z největších objemů financí do této oblasti za porevoluční období.	Ano	Ano - ale je to opět spjato s finančními možnostmi města. V tomto ohledu je nutno se co nejvíce zaměřit na získávání dotačních financí ač už státních nebo evropských fondů - tak jak se to například naposledy povedlo s dotací do obnovy čtvrtě Stará Role.	Ano	Ano - vždyť K.Vary jsou lázeňským městem posazeným do krásné přírody a rozvoj a údržba zeleně patří k profilu města. Nicméně i zde je nutno říci, že v této oblasti již město nezanedbatelné prostředky vynakládá.	Ne	Úplný zákaz hazardu není tak jednoduchý. Na jedné straně by okamžitý zákaz heren byl zřejmě příčinou přechodu těchto aktivit do nekontrolovatených soukromých klubů a na straně druhé jsou příjmy z hazardu nezanedbatelnou složkou městského rozpočtu přičemž na těchto penězích je dnes závislé množství sportovních klubu a kulturních a institucí. Pokud by o peníze přišly, musely by některé z nich ukončit činnost. Je otázkou, zda by se tak neotevřel prostor pro závislosti daleko horší a to především u mládeže	Ano	Téma cizojazyčných nápisů hýbe Karlovými Vary již řadu let. Asi nenaleznete stranu, která by tento nešvar schvalovala. Doposud však magistrát neměl v ruce žádný účinný nástroj, který by umožnil situaci řešit. Není žádným tajemstvím, že právě TOP 09  byla v červnu letošního roku prostřednictvím svých poslanců předkladatelkou novely zákona o reklamě, který by mohl být konečně tím účinným nástrojem pro regulaci cizojazyčných nápisů obecně. 	Ano	Aby zejména mladí lidé neopouštěli město potřebují zejména rozumné bydlení, slušnou práci za odpovídající peníze a dostatečné vyžití. Na to, aby si mladí mohli pronajmout, nebo koupit byt, jsou zase třeba peníze. Čímž se dostáváme zpět k dostatku slušné práce. Město nová místa nemůže vytvořit, ale může připravovat podmínky k tomu, aby je vytvořil soukromý sektor. Město musí vytvářet podmínky pro firmy a podnikatele, aby mohli zřizovat nová pracovní místa a pro všechny občany rozumné kulturní, sportovní a další vyžití, samozřejmě včetně dostatku předškolních a školních míst a dalších služeb, které městu musí zařizovat. 	Ano	Ano - a může to městu do budoucna přinést nový marketinkový a ekonomický přínos.	Ne	Díky specifikaci dopravní obslužnosti lázeňského území je nutno zamezit narůstání vjezdu automobilů. Řešením do blízké budoucnosti by mohlo být konečně vybudování parkovacích domů v uvedených lokalitách.	Ne	Radnice určitě nemůže nařizovat co má developer a za kolik postavit, nicméně musí výstavbu korigovat v návaznosti na územní plán, architekturu daného území, dopravní obslužnost atd.	Nevíme / nemáme jednotný názor	Na stranu jednu by bylo dobré aby se město podílelo na výstavbě tzv. startovacích bytů - zejména pro mladé. Na stranu druhou musíme vycházet z finančních možností města a také možnosti úpravy stávajícího bytového fondu města.	Ne	Strategické rozhodnutí, že si chce město AL ponechat a zachovat tak přístup k lázeňské péči i občanům města, již bylo v tomto volebním období učiněno.  Aby se podařilo zastavit propad AL do červených čísel a dále AL provozovat a rozvíjet je nutné v nejbližší době sehnat strategického partnera nebo zajistit dotaci z evropských nebo státních fondů. Na základní tezi se již v nedávné době začalo pracovat. 	Ano	Ano a město již některé kroky v rámci svým pravomocí a možností učinilo.	Ano		Ano	Rozhodně ano a myslíme si to od samého počátku co vznikla v K.Varech TOP 09. V této oblasti jsme byli velmi aktivní a vše se v Karlových Varech již čtyři roky dělá. Šli jsme daleko dál a zveřejňujeme i informace o přidělených dotacích do sportu, kultury a  v dalších oblastech. V této činnosti chceme pokračovat i v následujícím volebním období. 	Nevíme / nemáme jednotný názor	Víme že HC Energie je v současné době top sportovním klubem v K.Varech a zejména na utkání extraligy mužů se chodí bavit velké množství obyvatel města a je proto dobře, že město tento klub podporuje. Nicméně jestli je stávající výše podpory vysoká a je nutno snížit se vedou velké diskuze např. i s ohledem na dotace ostatních sportovních klubů v K.Varech.	Ano	V případě že to dovolí městský rozpočet i úřad na ochranu osobních dat.	Ne	Náklady na sběr a svoz komunálního odpadu město stojí  35 milionů  ročně. „Technicky je samozřejmě možné, aby je uhradilo město a ne občané – znamená to ale najít v rozpočtu dalších pětatřicet milionů korun.  Kromě toho, do budoucna se má nakládání s odpadem razantně změnit, bude maximálně omezeno skládkování odpadů a bude muset být nahrazeno jejich recyklací, či spalováním. 	Ano		Ano	Pokud je to v pravomoci města nejsme určitě proti.	Ano	Myslíme si, že ano, nicméně každopádně není tato starost 100% a je třeba  pracovat na dalším vylepšování služeb MP.
9/28/2014 10:36:55	PRO Svobodné Vary	Lukáš Bernat	491721	Ne	Skrze veřejné prostředky nesmíme nikoho diskriminovat. 	Ano	Město by mělo alokovat více zdrojů do údržby ulic na úkor jiných výdajů (např. dotací).	Ano	Město by mělo investovat do všech čtvrtí rovným dílem. 	Ano	Bude-li se město nadále rozvíjet, mělo by být pamatováno i na rozvoj a údržbu zeleně. Současný stav je uspokojivý a další investice nepotřebuje. 	Ne	O případném plošném zákazu mohou rozhodnout pouze sami občané v referendu. 	Ne	Jediný, kdo o tomto pravidlu rozhoduje, je trh. Je rizikem každého podnikatele, jaké komunikační prostředky používá. 	Ano	Snížíme poplatky a daň z nemovitosti, abychom zlevnili život ve městě. 	Nevíme / nemáme jednotný názor	O vstupu do UNESCO by měla být vedena diskuse a rozhodnout by měli samotní občané. 	Ano	Přísná regulace brzdí rozvoj lázní.	Ano	Investují své peníze, tak by si o nich také měli rozhodovat.	Ne	Město není realitka a jeho účelem není nikomu zřizovat bydlení.	Ano	Město by nemělo držet nemovitosti, pro které nemá využití.	Ano	Město není orgán činný v trestním řízení ani nezávislý soud, tak se nemůže více snažit, než že poskytne všechny podklady k tomuto výběrovému řízení a zveřejní je. 	Ano		Ano		Ano		Ano	Ano, ale nesmí suplovat práci strážníků. Měly by být podporou na nebezpečných místech.	Ne		Ano		Ne		Ne	Strážníci se zbytečně věnují udělování pokut a působí spíše jako hlídači parkovišť než strážci bezpečnosti a pořádku.
10/6/2014 11:48:51	KOA	Petr Kulhánek	963264	Ano		Ano		Ano		Ano		Ne	Karlovy Vary jsou lázeňskou a turistickou destinací, kasina (registrovaná ministerstvem financí) do města historicky patří jako ďoplňková služba návštěvníků a lázeňských hostů.	Ano	Stačí, když budou všechny jazyky, včetně češtiny, rovnocené.	Ano	Má k tomu však velmi omezené prostředky.	Ano	Současné vedení města je lídrem přístupových jednání v rámci 16 evropských měst. Tento vstřícný přístup přišel teprve po volbách 2010, dříve byl přístup města zdrženlivý až negativní.	Ne	Naopak, lázeňské území je dopravně přetíženou a potřebuje účinnou regulaci.	Ne		Ano		Ne		Ano		Ano		Ano		Ano		Ano		Ne		Ano		Ne	Takové opatření nemá účinek, půjde pouze proti takovým vrstvám občanům, na kterých je jakákoliv sankce nevymahatelná.	Ano	
