id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce  (určí se až při finálním výběru otázek) 	Další poznámky, atd.
1	Městská hromadná doprava zdarma	Důchodci a děti do 15 let by měli cestovat autobusy MHD zadarmo.		1	
2	Údržba komunikací na území města	Město by mělo více investovat do oprav ulic.		2	
3	Péče o okrajové čtvrti ve městě	Město by mělo více investovat do okrajových čtvrtí.		3	
4	Údržba zeleně	Město by mělo více investovat do rozvoje a údržby zeleně.		4	
5	Zákaz heren	Město by mělo zakázat všechny herny.		5	
6	Cizojazyčné nápisy	Cizojazyčné nápisy na provozovnách a reklamních panelech by měly být povinně menší nebo stejné jako české.		6	
7	Demografie, počet obyvatel	Radnice by se měla aktivně snažit, aby počet obyvatel města neklesal.		7	
8	Zápis do seznamu UNESCO	Město má aktivně usilovat o zápis Karlových Varů na seznam světového dědictví UNESCO.		8	
9	Vjezd do lázeňské zóny	Podmínky pro vjezd automobilů do lázeňské zóny by měly být méně přísné.		9	
10	Developerské záměry	Radnice by měla nechat volnou ruku developerům při zástavbě plochy Dolního nádraží.		10	
11	Bytová politika	Radnice by se měla zasadit o vybudování levných městských bytů zejména pro mladé lidi.		11	
12	Alžbětiny lázně	Město by mělo prodat budovu Alžbětiných lázní.		12	
13	Odpovědnost za KV Arenu	Město by se mělo aktivně snažit, aby byli potrestáni lidí odpovědní za nepodařené výběrové řízení na stavbu KV Areny, za takzvanou “karlovarskou losovačku”.		13	
14	Přímá volba primátora	Hlasovali byste pro přímou volbu primátora v rámci komunálních voleb?		14	
15	Smlouvy na internetu	Město by mělo zveřejňovat všechny své smlouvy na internetu.		15	
16	Menší podpora Energii	Město by mělo méně než dnes finančně podporovat hokejový klub HC Energie Karlovy Vary, s.r.o.		16	
17	Více kamer	Ve městě by měly být instalovány další kamery městské policie.		17	
18	Poplatek za odpad	Poplatek za svoz komunálního odpadu by měl být zrušen.		18	
19	Transparentní účty	Město by mělo mít transparentní účty, do kterých lze veřejně nahlížet.		19	
20	Zákaz pití alkoholu na veřejnosti	Město by mělo zakázat pití alkoholu na veřejnosti i mimo kolonádu.		20	
21	Městská policie	Městská policie se dostatečně stará o udržení veřejného pořádku a bezpečnosti ve městě.		21	
