id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce (určí se až při finálním výběru otázek)	odkaz na hlasování	ok?		
1	Odvolání Zuzany Kocumové	Měla být odvolána Zuzana Kocumová z pozice náměstkyně primátora?	Na jaře 2011 byl odvolán z funkce primátora Jan Korytář. Dle jeho názoru proto, že chtěl zastavit a znovu soutěžit dvě velké zakázky z fondů EU (přestavby lázní a bazénu, přes 500 mil Kč), dle jeho odpůrců pro jeho nekomunikativnost s koaličními partnery. Proti této změně se postavila Zuzana Kocumová a to dle ní vedlo k jejímu odvolání z postu náměstkyně primátora pro sport, dopravu a cestovní ruch. Důvodová zpráva naopak uvádí jako důvod změny kompetencí náměstků a zrušení této funkce. (28.4.2011) 	1			Během března a dubna 2011 primátor Jan Korytář (Změna pro Liberec) odmítl podepsat zakázky na přestavbu lázní a bazénu, u nichž nezávislé posudky od dvou právních kanceláří a Transparency International ukazovaly, že jsou účelově předražené. Následně se koaliční partneři Změny pro Liberec (ČSSD, Starostové pro Liberecký kraj/Liberec občanům, část USZ) dohodli s Věcmi veřejnými (dnes Nový směr) a hlavně opoziční ODS na mensšinové vládě. Proti tomu se postavila Zuzana Kocumová,následně byla odvolána.	
3	Zvýšení daně z nemovitosti	Mělo se zvýšení daně z nemovitosti podmínit prošetřením korupčních kauz a zavedením protikorupčních opatření?	Vedení města navrhlo zvýšení daně z nemovitosti, která se několik let nezvyšovala. Opozice předložila návrh, aby zvýšení daně bylo podmíněno prošetřením některých kauz a smluv z minulosti a zavedením konkrétních protikorupčních opatření. (29.9.2011)	2		ok		
4	Zákaz hazardu	Měl se v Liberci plošně zakázat hazard?	Aktuálně je ve městě téměř 100 heren. Odpůrci hazardu upozorňují na související sociální problémy a majektovou kriminalitu a navrhují jeho plošný zákaz. Vedení města argumentuje tím, že příjmy z hazardu jsou pro rozpočet města těžko postradatelné a plošný zákaz by měl za následek vznik tzv. černých heren. (26.4.2012)	3		s úpravou ok	Svou roli jistě hraje i skutečnost, že někteří politici nebo některé vlivné firmy vlastní ve městě nemovitosti, kde je hazard provozován [zdroj - nasliberec.cz + katastr nemovistosí].	
2	Změna územního plánu	Měla se schválit změna územního plánu, která legalizovala černou stavbu dvou podnikatelů ve 3. zóně CHKO Jizerské hory?	Dva podnikatelé získali od městské společnosti několik hektarů pozemků na okraji města. Město je předtím prodalo ze svého majektu za 3,30 Kč/m2.  Podnikatelé pak bez stavebního povolení začali na pozemku stavět. Město jim černou stavbu dodatečně legalizovalo tím, že změnilo územní plán. Podnikatelé výměnou vrátili menší část těchto pozemků městu. (30.6.2011)	4			Klusáčkovi	
9	Referendum	Mělo se referendum spojit s připravovanými parlamentními volbami, aby účast v něm byla vyšší?	Pořadatelé referenda navrhovali spojit termín jeho konání s termínem parlamentních voleb. Většna zastupitelů to odmítla a stanovila termín na tři týdny před konáním těchto voleb. Zákon pro platnost referenda vyžaduje, aby se ho zúčastnilo alespoň 35 % voličů. To je v praxi ve velkých městech v ČR obtížně dosažitelné, pokud referendum neprobíhá zároveň s volbami. (27.6.2013)	5			Prodej letiště a technických služeb byl v rozporu s předvolebními sliby stran radniční koalice [Vyhodit, uživatelé pak hlasují podle politických stran a ne podle tématu.]. K referendu přišlo 14 tsicí lidí, zejména naštvaných proto, že jim před volbami slibovali letiště zachránit!	
7	Prodej letiště	Schválili byste prodej libereckého letiště z majetku města?	Letiště mělo být prodáno bez jasného plánu na využití za zhruba 100 mil. Kč. Vedení města argumentovalo potřebou získat peníze do rozpočtu. Koalice má ale ve svém programovém prohlášení, že majetek města nebude prodávat, ale spíše dlouhodobě pronajímat. Opozice kritizovala jak nízkou cenu, tak i samotný záměr prodeje. (29.11.2012)	6			 V rozporu se sliby z roku 2010 stran vládní koalice. /tohle tam snad  být musí, že v roce 2010 lidem lhali nebo nemá kalkulačka konkretizovat  politické kroky? [Ne, volební kalkulačka neslouží k tomu, aby  popisovala, kdo splnil nebo nesplnil předvolební sliby]/ [Vyhodit,  uživatelé se pak rozhodují podle politické strany a ne podle tématu]  Nemá kalkulačka sloužit k orientaci voliče, aby ho provedla i  předvolební sítí lží?	
10	Narovnání s Českou spořitelnou ve věci neplatné smlouvy	Mělo město schválit narovnání s Českou spořitelnou ve sporu o platnost významné smlouvy?	Zastupitelstvo Liberce na podzim roku 2013 schválilo dohodu o narovnání s Českou spořitelnou. Byla to reakce na spor o platnost smlouvy o úrokovém zajištění dluhu města v hodnotě 2 miliard. Tu podle některých zastupitelů neplatně uzavřel bez vědomí zastupitelstva bývalý primátor Jiří Kittner v červenci 2010 a město podle nich mělo jít spíše do soudního sporu.  (28.11.2013) 	7			Podle dohody o narovnání má však město zaplatit České spořitelně stále asi o desítky milionů více, než jsou obvyklé úrokové sazby [zdroj?] [Má tahle otázka smysl? Lze si představit někoho, kdo odpoví "ano"? - Tohle je prostě diskutovaná veřejná zakázka, to tam má být nějaká, která nikoho nezajímá?Tam jde právě o to, že to bývalý primátor podepsal BEZ vědomí rady i zastupitelstva. Te´d městu hrozí navýšení úrokové sazby a tím pár set mil. navíc!!!	http://docs.liberec.cz/Odb_KT/podklady%20k%20projedn%C3%A1n%C3%AD%20na%20zastupitelstvu%20m%C4%9Bsta/2013/WEB%2020131128/WEB%2015.%20Dohoda%20o%20narovnani%20mezi%20SML%20a%20Ceskou%20sporitelnou,%20a.%20s.pdf
5	Školka v Ruprechticích	Schválili byste výstavbu a způsob financování kontejnerové školky v Ruprechticích?	Výstavba nové kontejnerové školky v Ruprechticích měla zmenšit nedostatek míst ve školkách v Liberci.  Do výběrového řízení se přihlásily pouze dvě firmy. Firma Syner a firma AWEA.  Původní cena z projektu v soutěži neklesla, ale naopak se ještě zvýšila. Zastánci výstavby argumentovali potřebou nových míst, kritici zvolené varianty poukazovali na zmanipulovanou zakázku a její předražení. (29.11.2012)   	8			Kontejnerová školka v Ruprechticích za 33 milionů, původně měla stát 25 milionů. Zakázku získala firma bratra náměstka Jiřího Rutkovského, která s podobným typem staveb neměla zkušenosti [zastupitelstvo města, ale nemusí to tam být?]. Během zakázky byl podle samotného kontrolního výboru zastupitelstva porušován zákon o veřejných zakázkách. [Má tahle otázka smysl? Lze si představit někoho, kdo odpoví "ano", možná ne, ale takhle ta veřejná zakázka proběhla a lidi zajímá nebo chcete nějakou nekonfliktní?] Tohle je prostě diskutovaná veřejná zakázka, to tam má být nějaká, která nikoho nezajímá?	
6	Prodej TSML	Hlasovali byste pro prodej Technických služeb města Liberce?	V listopadu 2012 se projednával návrh na prodej městké společnosti Technické služby města Liberce (TSML). Zastánci prodeje tvrdili, že město potřebuje peníze a TSML fungují špatně, odpůrci navrhovali změnu vedení  TSML a ponechání v majetku města jako strategického podniku. (29.11.2012)	9			V rozporu s předvolebními sliby [Vyhodit, irelevantní -CO je na tom irelevantního? dnes , prřed volbami jsou proti prodeji opět všichni] byl ohlášen záměr prodeje Technických služeb města Liberce [březen 2014]. Ty donedávna byly v zisku, po obsazení manažerských pozic politiky, se propadly do ztráty [Vyhodit, manipulativní-CO je na tom manipulativního, tak hovoří čísla]. Záměr prodeje technických služeb je v rozporu s předvolebními sliby z roku 2010 u stran současné koalice [Vyhodit, Lhaní voličům je irelevantní,?].	
8	Hospic a odměny zastupitelů	Měly se snížit odměny zastupitelům za funkci v liberecké teplárně?	Při projednávání finanční podpory pro hospic primátorka Martina Rosenbergová nedoporučila podporu 350 000 Kč z důvodu finanční tísně města. Poté padl návrh, aby tato částka byla pokryta snížením odměn zastupitelů za činnost v představenstvu Teplárny Liberec z 35.000 měsíčně na 10.000 Kč. (28.3.2013)	10	Měli si zastupitelé snížit odměny, aby bylo na provoz hospice?		Zastupitelstvo odmítlo snížit odměny ve společnostech města, kde sedí politici. Snížení odměn mělo pokrýt příspěvek na provoz hospice - zařízení pro dlouhodobě umírající [O čem bylo konkrétní hlasování? Bylo to formulováno takto? Nebo se hlasovalo jen o snížení odměn?]. / - tak ještě jednou, ač sjte to měl popsáno: vedení města odmítlo příspěvek na hospic 350 tisíc, padl návrh: snižte si odměny, pak 350 tisíc nebude problém: zamítnuto/	
