id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce (určí se až při finálním výběru otázek)	odkaz na hlasování	ok?		
1	Odvolání Zuzany Kocumové	Měla být odvolána Zuzana Kocumová z pozice náměstkyně primátora?	Na jaře 2011 byl odvolán z funkce primátor p. Korytář. Dle jeho názoru proto, že chtěl zastavit a znovu soutěžit dvě velké zakázky z fondů EU (přestavby lázní a bazénu, přes 500 mil Kč), dle jeho odpůrců pro jeho nekomunikativnost s koaličními partnery. Proti této změně se postavila pí. Kocumová a to dle ní vedlo k jejímu odvolání z postu náměstkyně primátora pro sport, dopravu a cestovní ruch. Důvodová zpráva naopak uvádí jako důvod změny kompetencí a zrušení této funkce. (28.4.2011) 	1			Během března a dubna 2011 primátor Jan Korytář (Změna pro Liberec) odmítl podepsat zakázky na přestavbu lázní a bazénu, u nichž nezávislé posudky od dvou právních kanceláří a Transparency International ukazovaly, že jsou účelově předražené. Následně se koaliční partneři Změny pro Liberec (ČSSD, Starostové pro Liberecký kraj/Liberec občanům, část USZ) dohodli s Věcmi veřejnými (dnes Nový směr) a hlavně opoziční ODS na mensšinové vládě. Proti tomu se postavila Zuzana Kocumová,následně byla odvolána.	
3	Zvýšení daně z nemovitosti	Mělo se zvýšení daně podmínit prošetřením korupčních kauz a prověřením smluv města?	Návrh na zastupitelstvu, že navýšení daně z nemovitosti z roku 2011 má být podmíněno prošetřením některých smluv a vyšetřením dotovaných akcí jako MS v lyžování 2009. (29.9.2011)	2		ok		
4	Zákaz hazardu	Měl se v Liberci plošně zakázat hazard?	Vedení města některá místa, kde se může provozovat hazard zakazuje, ale stávající počet heren se nesnížil. Počet heren v Liberci se pohybuje kolem stovky. Podle odpůrců plošného zákazu jsou příjmy z hazardu potřebné pro rozpočet města a plošný zákaz by měl za následek vznik tzv. černých heren. (26.4.2012)	3		s úpravou ok	Svou roli jistě hraje i skutečnost, že někteří politici nebo některé vlivné firmy vlastní ve městě nemovitosti, kde je hazard provozován [zdroj - nasliberec.cz + katastr nemovistosí].	
2	Změna územního plánu	Měla se schválit změna územního plánu, která legalizovala černou stavbu bratří Klusáčků v CHKO Jizerské hory?	V rámci směn nemovitostí skrze městskou akciovou společnost Sportovní areál Ještěd nabyli podnikatelé pozemky v CHKO Jizerské hory. Zde bez stavebního povolení začaly stavět. Město jim černou stavbu dodatečně legalizovalo. Podnikatelé se výměnou vzdali částí pozemků. (30.6.2011)	4			Klusáčkovi	
9	Referendum	Mělo se referendum spojit s probíhajícími volbami, aby jeho účast byla vyšší?	Vedení města odmítalo spojit referendum o prodeji letiště, technických služeb a strategického majetku s podzimními volbami v roce 2013. Zákon vyžaduje pro platnost referenda, aby se ho zúčastnilo alespoň 35 % voličů. To je v praxi ve velkých městech v ČR obtížně dosažitelné, pokud referendum neprobíhá zároveň s volbami. (27.6.2013)	5			Prodej letiště a technických služeb byl v rozporu s předvolebními sliby stran radniční koalice [Vyhodit, uživatelé pak hlasují podle politických stran a ne podle tématu.]. K referendu přišlo 14 tsicí lidí, zejména naštvaných proto, že jim před volbami slibovali letiště zachránit!	
7	Prodej letiště	Schválili byste prodej libereckého letiště?	Letiště mělo být prodáno bez jasného plánu na využití. (29.11.2012)	6			 V rozporu se sliby z roku 2010 stran vládní koalice. /tohle tam snad  být musí, že v roce 2010 lidem lhali nebo nemá kalkulačka konkretizovat  politické kroky? [Ne, volební kalkulačka neslouží k tomu, aby  popisovala, kdo splnil nebo nesplnil předvolební sliby]/ [Vyhodit,  uživatelé se pak rozhodují podle politické strany a ne podle tématu]  Nemá kalkulačka sloužit k orientaci voliče, aby ho provedla i  předvolební sítí lží?	
10	Narovnání s Českou spořitelnou ve věci neplatné smlouvy	Mělo se schválit narovnání s Českou spořitelnou?	Zastupitelstvo Liberce na podzim roku 2013 schválilo dohodu o narovnání s Českou spořitelnou. Byla to reakce na smlouvu o úrokovém zajištění dluhu města v hodnotě 2 miliard, kterou pravděpodobně neplatně uzavřel primátor p. Kittner v červenci 2010. Kritici uváděli, že i toto narování je pro město finančně nevýhodné při srovnání s jinými městy. (28.11.2013) 	7			Podle dohody o narovnání má však město zaplatit České spořitelně stále asi o desítky milionů více, než jsou obvyklé úrokové sazby [zdroj?] [Má tahle otázka smysl? Lze si představit někoho, kdo odpoví "ano"? - Tohle je prostě diskutovaná veřejná zakázka, to tam má být nějaká, která nikoho nezajímá?Tam jde právě o to, že to bývalý primátor podepsal BEZ vědomí rady i zastupitelstva. Te´d městu hrozí navýšení úrokové sazby a tím pár set mil. navíc!!!	http://docs.liberec.cz/Odb_KT/podklady%20k%20projedn%C3%A1n%C3%AD%20na%20zastupitelstvu%20m%C4%9Bsta/2013/WEB%2020131128/WEB%2015.%20Dohoda%20o%20narovnani%20mezi%20SML%20a%20Ceskou%20sporitelnou,%20a.%20s.pdf
5	Školka v Ruprechticích	Měla se schválit výstavba a způsob financování kontejnerové školky v Ruprechticích?	Výstavba školky v Ruprechticích měla reagovat na nedostatek míst ve školkách v Liberci. Kritici zvolené varianty uváděli, že stavba měla být výrazně předražená. (29.11.2012)	8			Kontejnerová školka v Ruprechticích za 33 milionů, původně měla stát 25 milionů. Zakázku získala firma bratra náměstka Jiřího Rutkovského, která s podobným typem staveb neměla zkušenosti [zastupitelstvo města, ale nemusí to tam být?]. Během zakázky byl podle samotného kontrolního výboru zastupitelstva porušován zákon o veřejných zakázkách. [Má tahle otázka smysl? Lze si představit někoho, kdo odpoví "ano", možná ne, ale takhle ta veřejná zakázka proběhla a lidi zajímá nebo chcete nějakou nekonfliktní?] Tohle je prostě diskutovaná veřejná zakázka, to tam má být nějaká, která nikoho nezajímá?	
6	Prodej TSML	Hlasovali byste pro prodej Technických služeb?	Na jaře roku 2012 se projednával návrh na privatizaci Technických služeb města Liberce. (29.11.2012)	9			V rozporu s předvolebními sliby [Vyhodit, irelevantní -CO je na tom irelevantního? dnes , prřed volbami jsou proti prodeji opět všichni] byl ohlášen záměr prodeje Technických služeb města Liberce [březen 2014]. Ty donedávna byly v zisku, po obsazení manažerských pozic politiky, se propadly do ztráty [Vyhodit, manipulativní-CO je na tom manipulativního, tak hovoří čísla]. Záměr prodeje technických služeb je v rozporu s předvolebními sliby z roku 2010 u stran současné koalice [Vyhodit, Lhaní voličům je irelevantní,?].	
8	Hospic a odměny zastupitelů	Měly se snížit odměny zastupitelům za funkci v liberecké teplárně?	Při projednávání finanční podpory pro hospic primátorka pí. Rosenbergová nedoporučila hospicu podporu 350 000Kč. Padl poté návrh, aby tato částka byla pokryta snížením odměn zastupitelů za činnost v Teplárně Liberec. (28.3.2013)	10	Měli si zastupitelé snížit odměny, aby bylo na provoz hospice?		Zastupitelstvo odmítlo snížit odměny ve společnostech města, kde sedí politici. Snížení odměn mělo pokrýt příspěvek na provoz hospice - zařízení pro dlouhodobě umírající [O čem bylo konkrétní hlasování? Bylo to formulováno takto? Nebo se hlasovalo jen o snížení odměn?]. / - tak ještě jednou, ač sjte to měl popsáno: vedení města odmítlo příspěvek na hospic 350 tisíc, padl návrh: snižte si odměny, pak 350 tisíc nebude problém: zamítnuto/	
