id	Strana název	Strana zkratka	Link na logo- jenom i těch menších ,místních stran	code	Jméno	Pozice	E-mail	Telefon	Jméno	Pozice	E-mail	Telefon	Zdroj	Note		
1	Nový směr	NOS	368213	http://www.strananos.cz/	cerny@strananos.cz, sekretariat@strananos.cz											 
2	Česká strana sociálně demokratická	ČSSD	593114	http://www.cssdliberecko.cz/	press@cssdliberecko.cz, KVV.Liberecko@cssd.cz											
3	Starostové pro Liberecký kraj	SLK	931535	http://www.starostoveprolibereckykraj.cz/	mala.slk@centrum.cz											
4	Změna pro Liberec	ZPL	567770	www.zmenaproliberec.cz	info@zmenaproliberec.cz, korytar.jan@email.cz											
5	Úsvit přímé demokracie	Úsvit	441570	http://www.hnutiusvit.cz/komunalni-volby/liberecky-kraj/	liberecky@hnutiusvit.cz											
6	KDU-ČSL a nezávislí	KDU-ČSL	920706	www.kdu.cz	svoboda.kamil.jan@magistrat.liberec.cz											
7	Strana pro otevřenou společnost	SOS	951689	http://www.stranaos.com/	1sarema@seznam.cz											
8	TOP 09	TOP 09	424685	http://www.top09.cz/regiony/liberecky-kraj/regionalni-organizace/liberec/	ro-liberec@lib.top09.cz											
9	Liberec ještě žije	LJŽ	597525	https://www.facebook.com/liberecjestezije	roman.sotola@centrum.cz											
10	Strana svobodných občanů	Svobodní	463301	http://www.svobodni-liberec.cz/	forbelsky@svobodni.cz											
11	Komunistická strana Čech a Moravy	KSČM	655835	http://www.kscm-liberec.cz/	lysakova@kscm-liberec.cz											
12	Občanská demokratická strana	ODS	780202	http://www.ods.cz/os.liberec/ms.liberec	cervinka.ondrej@gmail.com											
13	ANO 2011	ANO	981619	http://www.anobudelip.cz/liberecky-kraj	liberec@ano2011.cz											
14	SPOZ	SPOZ	648910		jaroslav.masopust@spoz-lbk.cz											
15	Pro sport a zdraví	PSZ	295112	http://www.usz.cz/	rutkovsky.jiri@magistrat.liberec.cz											
