id	jméno otázky	otázka (max. 20 slov)	popis	pořadí
1	Bikesharing	Město by mělo finančně přispívat na provoz tzv. bikesharingu (sdílení jízdních kol).		1
2	Transparentní účty	Bankovní účty města by měly být transparentní, tj. veřejnost by měla mít možnost do nich online nahlížet.		2
3	Parkovací místa	Počet parkovacích míst ve městě by se měl zvýšit.		3
4	Tramvaj na Nové Sady	Město by mělo i nadále investovat do rozšiřování své tramvajové sítě směrem na Nové Sady.		4
5	Světelné znečištění	Město by mělo investovat do pouličního osvětlení neprodukujícího světelné znečištění i za cenu vyšších pořizovacích nákladů.		5
6	Kamerové systémy	Město by mělo pořídit další bezpečnostní kamery do kamerového systému městské policie.		6
7	Výškové budovy	Město by nemělo povolovat výstavbu výškových budov v blízkosti historického centra.		7
8	Bezdomovci v centru	Město by mělo aktivně vytlačovat bezdomovce z centra.		8
9	Bezplatná MHD	Město by mělo zavést bezplatnou MHD.		9
10	Zákaz herních automatů	Město by mělo zakázat provoz herních hracích automatů na svém území.		10
11	Podpora sportovních týmů	Město by mělo finančně podporovat profesionální sportovní týmy.		11
12	Hlasování ve výborech	Město by mělo zveřejňovat jmenovité výsledky hlasování členů na schůzích výborů a komisí.		12
13	Registr smluv	Město by mělo dobrovolně zveřejňovat všechny své smlouvy v registru smluv.		13
14	Náklady pro developery	Náklady na veřejné vybavení vyvolané výstavbou (přístupové cesty, kanalizace, MHD) by měli nést developeři namísto města.		14
15	Podpora AFO	Město by mělo nadále finančně podporovat festival Academia Film Olomouc.		15
16	Otevřený software	Město by mělo využívat na svých počítačích otevřený a bezplatný software (Linux, OpenOffice atd.).		16
17	Podpora Letního kina	Město by mělo finančně podpořit obnovu areálu Letního kina.		17
18	Participativní rozpočet	Město by mělo zavést tzv. participativní rozpočtování, kdy o využití předem vymezené části rozpočtu rozhodují přímo občané.		18
19	Zimní stadion	Město by mělo modernizovat stávající zimní stadion namísto výstavby nového stadionu na jiném místě.		19
20	Středoevropské fórum	Město by mělo podporovat stavbu tzv. Středoevropského fóra na Denisově ulici.		20
21	Oprava Jihoslovanského mauzolea	Město by mělo usilovat o převedení Jihoslovanského mauzolea v Bezručových sadech do svého vlastnictví a investovat do jeho opravy.		21
22	Oprava Botanické zahrady	Město by mělo investovat do opravy Botanické zahrady u Korunní pevnůstky.		22
23	Semafor u hlavního nádraží	Semafor u hlavního nádraží by měl být trvale vypnutý.		23
24	Nízkoemisní zóna v centru	Centrum by mělo být tzv. “nízkoemisní zónou”. Auta, nesplňující nové normy znečišťování, by měly mít do centra vjezd zakázán.		24
25	Noční MHD	Město by mělo provozovat noční hromadnou autobusovou dopravu.		25
26	Zachování letiště na Neředíně	Město by mělo usilovat o zachování letiště na Neředíně.		26
