id	Kandidátka	zkratka	Kód		E-maily
1	ANO 2011	ANO	iqsjaikk		prchalova@anobudelip.cz, feranec@anobudelip.cz
2	Česká strana sociálně demokratická	ČSSD	mxxykvbk		ovv.olomouc@cssd.cz
3	Komunistická strana Čech a Moravy	KSČM	uvathmeo		ovkscm.olomouc@email.cz, ov.olomouc@kscm.cz, josef.madr@seznam.cz
4	Koruna Česká (monarchistická strana Čech, Moravy a Slezska)	KČ	fawpcydd		pavel.andrs@kcolomouc.cz
5	Křesťanská a demokratická unie - Československá strana lidová	KDU-ČSL	vvffkirh		kducslol@seznam.cz, kt.olomoucky@kdu.cz
6	Občané pro Olomouc	Občané pro Olomouc	kgwrwzwf		dominika.kovarikova@seznam.cz, martin.skabraha@zeleni.cz, obcane.pro.olomouc@gmail.com, vojtech.pikal@pirati.cz, jakub.nepejchal@pirati.cz, pavel.bednarik@zeleni.cz
7	Občanská demokratická strana	ODS	wxdnmwwi		os.olomouc@ods.cz, region.olomoucky@ods.cz
8	Patrioti PRO Olomouc	Patrioti PRO Olomouc	gwcbpefa		https://www.facebook.com/PATRIOTIcz
9	Pro Olomouc	Pro Olomouc	cchxntcy		info@proolomouc.cz
10	Republikánská strana Čech, Moravy a Slezska	RSČMS	fhevrwch		doktor60@email.cz, repmaslik@seznam.cz, roman.slama@mail2me.cz
11	Strana Práv Občanů	SPO	sxnfuvmk		olomouckykraj@spoz2013.cz, spoz.olomouc@seznam.cz 
12	Strana svobodných občanů	Svobodní	jfjtzpib		janaff@seznam.cz, nepsinsky@svobodni.cz, hruskovabrenova@gmail.com, zboril@svobodni.cz
13	TOP 09	TOP 09	gtspanbr		ales.jakubec@upol.cz, petr.navratil@sano.cz, snajdrova@top09.cz
14	Úsvit přímé demokracie	Úsvit	ithqckau		olomoucky@hnutiusvit.cz, pavel.foretnik@radiohana.cz
