id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce  (určí se až při finálním výběru otázek) 	Další poznámky, atd.
1	MHD zdarma	Uživání městské hromadné dopravy by mělo být zdarma.		1	
2		Město by mělo více investovat do podpory cyklistiky.			
3		Počet parkovacích míst v centru města by měl být omezen.			
4		Parkování na celém území města by mělo být zdarma.			
5	Pěší zóny v centru	Počet pěších zón v centru města by se měl zvýšit.		2	
6	Půjčovny kol	Město by mělo finančně podpořit vznik sítě půjčoven jízdních kol.		3	
7		Pěší zóna Masarykova náměstí by měla být průjezdná pro cyklisty.			
8	Most pro cyklisty	Podél Svinovských mostů by měl vzniknout most pro cyklisty (spoj mezi mezi Porubou a Mariánskými Horami).		20	
9	Místní referenda	O závažných otázkách rozvoje města by mělo vždy proběhnout referendum.		5	
10		Podklady pro jednání rady města by měly být zveřejněny na internetu už před jednáním.			
11		Všechny smlouvy města by měly být zveřejněny na internetu.			
12	Participativní rozpočet	Město by mělo uvolnit část prostředků rozpočtu na participativní rozpočtování (při něm o výdajích hlasují občané).		6	
13	Spolupráce s neziskovkami	Vedení města by mělo rozhodovat ve spolupráci s neziskovými organizacemi.		7	
14		Na veřejné stavby by měly být vypisovány architektonické soutěže.			
15		Město by mělo mít transparentní účty, do kterých může veřejnost nahlížet.			
16	Zákaz hracích automatů	Na území města by měl být zakázán provoz hracích automatů.		8	
17	Více kamer	Počet kamerových systémů na veřejných místech ve městě by se měl zvýšit.		9	
18	Zákaz heren	Provoz heren na území města by měl být zakázán.			
19	Zákaz nočního prodeje alkoholu	Noční prodej alkoholu v pouličních prodejnách by měl být zakázán.		11	
20		Zákaz pití alkoholu na veřejnosti by měl být zrušen.			
21		Pořádání vánočních trhů by mělo být přísněji regulováno.			
22	Omezení reklamy	Reklama na veřejných prostranstvích by měla být omezena.		12	
23		Jednou z priorit města by mělo být oživení historického centra.			
24		Chátrající areál měststkých jatek by měl být zachráněn jako historická památka.			
25	Ostravica-Textilia	Budova Ostravica-Textilia by měla být zachráněna jako historická památka.		13	
26		Město by mělo investovat do obnovy alejí na okraji města a výsadby vzrostlých stromů v centru.			
27		Město by mělo přísněji kontrolovat nedovolené spalování odpadů.			
28	Spalovna odpadu	Město potřebuje spalovnu komunálního odpadu.		14	
29		V Ostravě by měly vzniknout bioplynové stanice pro zpracování biologického odpadu.			
30	Kontrola lokálních topenišť	Lokální topeniště by měla být kontrolována.		10	
31	Nízkoemisní zóna	V Ostravě by měla vzniknout nízkoemisní zóna.		15	
32		Po městě by mělo jezdit více prachožroutů (stroje na čistění vozovek od drobného prachu).			
33	Monitorovací stanice	Město by mělo zřídit další monitorovací stanice kvality ovzduší.		16	
34		Znečišťovatelé by měli přispět dalšími prostředky do Fondu pro děti ohrožené znečištěním ovzduší.			
35	Pouliční umělci	Město by mělo podporovat pouliční umělce.		17	
36		Město by formou grantů mělo podporovat kulturní akce.			
37		Měla by být vybudována nová, moderní Vědecká knihovna.			
38		Město by mělo nadále finančně podporovat festival Colours of Ostrava.			
39		Počet pracovníků, vykonávajících veřejně prospěšné práce, by se měl zvýšit.			
40		Na frekventovaných veřejných prostranstvích by měly být zavededeny přístupové body k bezdrátovému internetu.			
41	Odkup ubytoven	Město by mělo odkoupit ubytovny pro sociálně znevýhodněné.		18	
42	Zrušení poplatku za odpad	Poplatek za odvoz komunálního odpadu by měl být zrušen.		19	
43	Omezení podpory velkoklubům	Město by mělo omezit podporu velkých sportovních klubů (FC Baník, HC Vítkovice).		2	
44		Jste spokojeni s celkovým směřováním města za posledních 5 let?			
