id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce  (určí se až při finálním výběru otázek) 
1	Městské obvody	Mělo by město snížit počet městských obvodů?		1
2	Automatické mlýny	Mělo by město odkoupit budovu Automatických mlýnů?		2
3	Letní kino	Mělo by město finančně přispívat na letní kino?		3
4	Sociální bydlení	Mělo by město umožnit získání bytů i pro dlužníky?		4
5	Tesla	Mělo by město zbourat areál bývalé Tesly?		5
6	Poplatky za odpad	Mělo by město zrušit poplatky za komunální odpad?		6
7	Smlouvy na internetu	Mělo by město zveřejňovat smlouvy na internetu?		7
8	Ulice 17. listopadu	Mělo by město vybudovat cyklopruh na ulici 17. listopadu?		8
9	Herny	Mělo by město zakázat provoz heren?		9
10	Záchytná parkoviště	Mělo by město vybudovat záchytná parkoviště na příjezdových trasách do města?		10
11	Wi-fi na veřejných prostranstvích	Mělo by dojít k zřízení bezplatného připojení k internetu na frekventovaných veřejných prostranstvích?		11
12	Participativní rozpočet	Mělo by město uvolnil část prostředků na participativní rozpočtování?		12
13	Letiště	Mělo by město podporovat vybudování nového terminálu na pardubickém letišti?		13
14	Zápisy ze zastupitelstva	Mělo by zastupitelstvo zveřejňovat zápisy z jednání ve strojově čitelné podobě?		14
15	Pomník J. Kašpara	Mělo by město postavit pomník J. Kašpara podle výsledku architektonické soutěže?		15
16	Sportovní akciovky	Mělo by město prodat své podíly ve sportovních a.s. (HC ČSOB Pardubice a BK Pardubice)?		16
17	Kamery	Mělo by město zvýšit počet bezpečnostních kamer?		17
18	Pěší zóna na Třídě míru	Měla by se z Třídy míru stát pěší zóna (bez trolejbusů)?		18
19	Parkování v centru	Měl by být omezen počet parkovacích míst v centru?		19
20	Zeleň kolem Labe	Měla by být rozšířena zastavitelná území v zeleném pásu kolem Labe?		20
