id	jméno	zkratka	kód	link na logo u stran, které nekandidovali do posledních voleb (hlavně místní sdružení nebo koalice, ostatní máme)	poznámky, kontaky, atd.	
1	ANO 2011	ANO	867955			pardubice@anobudelip.cz, rehounek@anobudelip.cz
2	Česká strana sociálně demokratická	ČSSD	626237			ovv.pardubice@cssd.cz, vladimir.ninger@cssdpardubice.cz
3	DOMOV	DOMOV	483946	http://pardubicenasdomov.cz/wp-content/uploads/2014/01/WEB.jpg		sekretariat@pardubicenasdomov.cz
4	Koalice pro Pardubice (KDU-ČSL a nestraníci)	KPP	674021	http://www.koalicepropardubice.cz/wp-content/themes/kpp/images/logo-header.png		michalchlumsky@seznam.cz, standa@signovano.cz
5	Komunistická strana Čech a Moravy	KSČM	631943			ov.pardubice@kscm.cz
6	Naše Pardubice - "Nechceme Vám vládnout, chceme s Vámi spolupracovat"	NP	132537		http://www.nasepardubice.cz/	sedlak@nasepardubice.cz
7	Nezávislí	N	159775			
8	Občanská demokratická strana	ODS	919664			os.pardubice@ods.cz, janku@ebrana.cz
9	Pardubáci	P	614120	http://www.pardubaci.cz/images/logo.png		http://www.pardubaci.cz/kontakt
10	Pardubice pro lidi a Soukromníci	PpL	261666	http://www.pardubiceprolidi.cz/images2/logo.png		info@pardubiceprolidi.cz
11	Patrioti Pardubic	PP	536838	https://scontent-a-ams.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/996156_672494649513526_3239952779380206285_n.jpg?oh=a453b03e586303bc20e89f8748d160e8&oe=5463748D		patriotipardubic@email.cz
12	Sdružení pro Pardubice	SPP	536469	http://www.sdruzenipropardubice.cz/index.php/fotogalerie/image?view=image&format=raw&type=img&id=14		info@sdruzenipropardubice.eu
13	Strana zelených	Zelení	342500			plechackova.zdenka@seznam.cz
14	Svobodní	Svobodní	190587			bartos@svobodni.cz
15	TOP09 a nezávislí	TOP 09	519532			ondrej.muller@top09.cz
16	Úsvit přímé demokracie	ÚSVIT	693007			pardubicky@hnutiusvit.cz
17	Zemanovci	SPO	970414			romandolezalspoz@email.cz
