Timestamp	Strana	Vyplňuje (jméno osoby)	Bezpečnostní kód	1. Město by mělo zveřejňovat všechny své smlouvy na internetu.	Případný komentář k otázce 1	2. Je v pořádku, že město skrze své firmy, bez kontroly zastupitelstva, investuje do velkých projektů jako například spalovna v Chotíkově.	Případný komentář k otázce 2	3. Na sídlištích by měla mít přednost zeleń před další výstavbou.	Případný komentář k otázce 3	4. Na Borská Pole by měla jezdit tramvaj.	Případný komentář k otázce 4	5. Plzeň by měla finančně podporovat hokejový klub HC Plzeň 1929, s.r.o. 	Případný komentář k otázce 5	6. Plzeň by měla finančně podporovat fotbalový klub Viktoria Plzeň.	Případný komentář k otázce 6	7. Město má podporovat vznik dalších cyklostezek.	Případný komentář k otázce 7	8. Městem by měl vést další (severo-jižní) silniční průtah.	Případný komentář k otázce 8	9. Počet strážníků městské policie by měl narůst.	Případný komentář k otázce 9	10. Ve městě by mělo být více parkovacích míst placených.	Případný komentář k otázce 10	11. Rozsah rezidenčních zón parkování by se měl zvětšit.	Případný komentář k otázce 11	12. Jízdné v MHD by mělo zlevnit.	Případný komentář k otázce 12	13. Americká třída by se měla uzavřít pro osobní automobilovou dopravu.	Případný komentář k otázce 13	14. Měl by se provéste audit hospodaření všech městských firem.	Případný komentář k otázce 14	15. Kapacita městských jeslí by se měla rozšířit.	Případný komentář k otázce 15	16. Plzeň by měla mít svého městského architekta.	Případný komentář k otázce 16	17. Plzeň by měla prodat městskou teplárnu.	Případný komentář k otázce 17	18. "Historické centrum by mělo být uzavřeno pro automobily (s výjimkou zásobování a rezidentů). "	Případný komentář k otázce 18	19. Ve městě by měly být instalovány další kamery městské policie.	Případný komentář k otázce 19	20. Město by mělo mít transparentní účty, do kterých lze veřejně nahlížet.	Případný komentář k otázce 20	21. Město by mělo zákazat pití alkoholu na veřejnosti.	Případný komentář k otázce 21	22. "Město by mělo vykoupit pozemek po DK Inwest za částku navrženou Amádeem."	Případný komentář k otázce 22	23. Kašny z náměstí by se měly prodat a odstěhovat.	Případný komentář k otázce 23	24. Pěší zóny v centru by se měly rozšířit.	Případný komentář k otázce 24	25. V Plzni by měly být zakázány všechny herny.	Případný komentář k otázce 25	26. Město by mělo aktivně vytlačovat bezdomovce z centra.	Případný komentář k otázce 26	27. Má magistrát města zveřejňovat rozklikávací rozpočet?	Případný komentář k otázce 27	28. Má mít magistrát transparentní účty, do kterých lze veřejně nahlížet?	Případný komentář k otázce 28	29. Musí být všechny informace (včetně odkazů, zadávací dokumentace apod.) týkající se veřejných zakázek zveřejňovány na webovém portálu EZAK a to i pro organizace s majetkovou účastí města?	Případný komentář k otázce 29	30. Měl by být vytvořen speciální web, kde budou na mapě zobrazeny odkazy k projednávaným změnám územního plánu?	Případný komentář k otázce 30	31. Ve městě by mělo být zavedeno participativní rozpočtování?	Případný komentář k otázce 31	32. Měl by městský Zpravodaj rezervovat místo pro opozici?	Případný komentář k otázce 32	33. Statutární město Děčín by se mělo rozčlenit na městské části.	Případný komentář k otázce 33
9/22/2014 5:13:54	Test	Test Test	123456	Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne															
9/22/2014 11:41:56	KSČM	Hrubeš	267917	Ano		Ne		Ano		Ano		Ne		Ne		Ano		Ano		Ano		Ano		Ne		Ano		Ne		Ano		Ano		Ano		Ne		Ano		Ano		Ano		Ano		Ano		Nevíme / nemáme jednotný názor		Ano		Ano		Ano															
9/22/2014 17:57:25	Pravá volba pro Plzeň	Vladimír Duchek	188772	Ne	to není technicky realizovatelný požadavek vzhledem k počtu smluv uzavíraných městem. Město by mělo zveřejňovat kompletní podklady pro jednání zastupitelstva.	Ano	Není možné tvrdit, že město nekontroluje své vlastní firmy zastupitelstvem.	Ano		Ano		Ne		Ne		Ano		Ne		Ne		Ne		Ano		Ne		Ne		Ano		Ne		Ano		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ano		Ano		Ne	Strážníci musejí bezdomovce kontrolovat, svoboda pohybu osob ale nemůže být narušena.														
9/23/2014 11:36:57	Křesťanská a demokratická unie - Československá strana lidová	Ing. Petr Náhlík	252088	Ano	  Veřejná kontrola zakázek a zveřejňování smluv na webu města jsou v našem programu, stejně jako zveřejňování informací o vypsání veřejných zakázek jak v Obchodním věstníku, tak na portálu města a v radničních zpravodajích. 	Ano	Plzeňská teplárenská je ve 100% vlastnictví města, valnou hromadou je rada města a scénář schvaluje zastupitelstvo. Před zásadními investicemi se připravované záměry projednávají vzastupitelstvu či v odborných grémiícjh zaúčasti všech stran v zastupitelstvu. V jejích orgánech jsou zastoupeni jak koaliční tak opoziční politici a také odborný management. Stejný způsobem byl bez problémů postaven před několika lety nový kotel. Paradoxem současné doby je to, že Plzeňská teplárenská získává od bank výhodnější úvěry než město jako její vlastník.	Ano	Současná zástavba už je dost zahuštěná.	Ano	Nová tramvajová trať je v našem programu včetně přestupního uzlu Kaplířova, který umožní přímý přestup mezi MHDa spoji příměstských i dálkových autobusových linek.	Ne	Pokud ano, tak pouze žáky a mládež do 18 let.	Ne	Pokud ano, tak pouze žáky a mládež do 18 let.	Ano	Jako zástupce KDU-ČSL jsem začal budovat první cyklostezky již v letech 1991-1994.Díky tomu se v Plzni za 20 let postavila řada cyklostezek i lávek pro pěší a cyklisty přes  všechny čtyři plzeňské řeky...	Ne	V této době jej město nepotřebuje, důležitější je dostavba tzv. západního okruhu a Silnice I/20 spojující ulici Studentská a Jateční podél železniřní trati pod vrchem Mikulka s využitím nového mostu přes Berounku.	Ne		Ano	Ovšem pouze v širším centru zhruba vymezeném železniční tratí na Domažlice, hradbou areálu ŠKODA a řekou Mží, areálem pivovaru a Šumavskou ulicí.	Ano	Ovšem pouze v širším centru zhruba vymezeném železniční tratí na Domažlice, hradbou areálu ŠKODA a řekou Mží, areálem pivovaru a Šumavskou ulicí.	Ano	V našem ptrogramu je zacedení předplatného rodinného jízdného ve výši 50% stávajícáí ceny jízdného. 	Ano	Tento návrh - podpořený stanovisky odborníků jako první předložila KDU-ČSL již před více než  deseti lety	Ano		Ne	Má smysl rozšiřovat kapacity mateřský škol, nejmenší děti mají trávit čas se svými matkami.	Ano	řada architeklů již v městkžých službách pracuje.	Ne	Ne, je to klasická městská firma, i v našich partnerských městech v Německu a Švýcarsku se o  teplo, odpady a veřejnou dopravu starají městské firmy. 	Ano		Ne		Ano		Ne	Ne, zmizely by všechny "předzahrádky" v historickém centru.	Ne	To si město nemůže dovolit je příliš zadlužené. Město má umět řádně využívat zákonem daný nástroj – územní plán.	Ne	Je třeba říct, že v soutěži lepší návrh prostě nebyl. Jako porotce bych nevybral žádný návrh, jako zastupitel jsem hlasoval PROTI.	Ano	V ulicích v centru vymezeném sadovým okruhem by měla zůstat pouze MHD a zásobování v úzce vymezených termínech. Parkování by mělo zůstat zachováno pouze pro rezidenty. Politici mají parkovat na dvoře radnice, kde je dost místa.  	Ano	Většinu “proherních“ automatů povolilo Ministerstvo financí  proti vůli obcí. Ústavní soud - na základě žaloby města Klatovy - umožnil obcím nápravu - je škoda tétomožnosti nevyužít. Je přes 6000 jiných měst a obcí, kde mohou majitelé heren podnikat - proč zrovna v Plzni.	Ne	Město má poskytnout prostředky charitě a jiným sociálním organizacím, které na rozdíl od zaměstnanců Úřadu práce umí s bezdomovci pracovat.														
9/24/2014 21:29:49	DSZ SNK	Bc. Zdeněk Kylián	299575	Ano		Ne	Veřejné zakázky by měly být transparentní.	Ano		Ano		Nevíme / nemáme jednotný názor		Ano		Ano		Ne	Lepší je obchvat kolem celé Plzně.	Nevíme / nemáme jednotný názor		Ne	Spíše by mělo město vybudovat odstavné parkovací domy.	Ano		Nevíme / nemáme jednotný názor		Ano		Ano		Ano		Ne		Ne		Ano		Ano		Ano		Ano		Nevíme / nemáme jednotný názor	Nevíme o jakou částku se jedná.	Ano	Do historického středu města patří historické kašny.	Ano		Ano		Ne	Nelze vytlačovat lidi z nějakého prostranství, je zaručená svoboda pohybu. Lze jen více bezdomovce kontrolovat a a v případě porušení zákona je postihovat(ale co si vzít na bezdomovcích, když nemají žádné příjmy ani majetek).														
9/25/2014 10:04:41	Republika	Jana Procházková	193798	Ano	Transparentnost smluv v Plzni chybí.	Ne	Z těchto důvodů máme ve volebním programu zpětný investigativní audit.	Ano		Ano		Ne	Proč by mělo město podporovat bohatý soukromý klub, pokud je to na úkor jiného sportu či kultury ?     	Ne	Proč by mělo město podporovat bohatý soukromý klub, pokud je to na úkor jiného sportu či kultury ? 	Ano		Nevíme / nemáme jednotný názor		Ano		Ne	Placených parkovacích míst je dostatek. Nevyužitý je Parkovací dům Na Rychtářce.   	Ano		Ano	Máme jedno z nejdražších MHD v ČR. Ve volebním programu máme ZDARMA pro důchodce a invalidy ode dne nástupu do důchodu a od 18 hod.ve společnosti jednoho cestujícího s měsíčním předplatným ZDARMA jeden doprovod. Zvýší se tím větší pohyb za kulturou a zábavou ve městě. Běžná praxe např. v Regensburgu.  	Ano	Americká třída by měla být pěší zónou.	Ano	Je to nezbytné. Zastupitelstvo v roce 2013 odsouhlasilo neprůhlednost výběrových řízení městské organizace Plzeň 2015 o.p.s., přes kterou proteklo od roku 2011 stovky miliónů Kč. Smlouvy nejsou transparentní. Město je zadlužené. Z tohoto důvodu máme ve volebním programu zpětný investigativní audit hospodaření a personalistiky úřadu, městských a "spřátelených" organizací a další penězovody. V případě pochybení vyvodíme trestně právní odpovědnost.  	Ano	Určitě. Chybí jesle a mateřské školy. 	Ano	Samozřejmě. Jakákoliv výstavba  je poslední léta nekoncepční, nepromyšlená a poškozuje vzhled města a jeho funkčnost. 	Ne	V žádném případě !! Přirozené monopoly jako je teplárna, vodárna, mhd, odpadové hospodářství musí být ve vlastnictví města za účelem zlevnění služeb pro občana - i to je náš bod volebního programu. 	Ano	Z historického centra by mělo zmizet i parkoviště před radnicí.  	Nevíme / nemáme jednotný názor		Ano	Samozřejmé a nezbytné !!	Ano	Zakázat pití alkoholu na veřejnosti se mělo dávno městskou vyhláškou. 	Ne	Vykoupit ano, ale ne za přemrštěnou částku požadovanou Amádeem. Na základě městské vyhlášky o vyšších daních z nevyužitých a zchátralých nemovitostí se může docílit jejich prodej za adekvátní cenu.  	Ano	Kdo by chtěl tyto hrůzostrašné kašny koupit?? Ve volebním programu máme návrh na jejich odstranění a vypsání nové umělecké soutěže na nové kašny, které by vhodně korespondovaly s historickým jádrem města.	Ano	Samozřejmě. 	Ano	Ano. Škody způsobené činností heren převyšují částku, která se z nich odvede do městské pokladny. 	Ano	Policie není důsledná a bezdomovce, kteří opakovaně páchají trestnou činnost nedokáže vykázat z centra města.														
9/25/2014 16:31:27	Veřejné zájmy Plzně	Alice Randáková	109627	Ano		Ne		Ano		Ano		Ano	Jsme pro podporu žákovské a mládežnické úrovně.	Ano	Jsme pro podporu žákovské a mládežnické úrovně.	Ano	Ano, ale v rámci vypracované koncepce.	Ne		Ano	Ano, ale jsme zásadně pro to, aby byli strážníci v ulicích, a to i v noci.	Ne		Ano		Ano	Chceme MHD za korunu pro řádné občany.	Ne		Ano	Toto je jeden z našich zásadních programových bodů.	Ano		Ano	Architekt, který nebude ovlivňován politickými stranami.	Ne		Ano		Ano	Jsme pro mobilní policejní služebny a mobilní kamerový systém.	Ano		Ne		Ne	O vykoupení pozemku by se měly postarat ty osoby, které zapříčinily jeho prodej.	Ano	Ať si je odkoupí na svou zahradu ti, kteří je za naše peníze pořídili.	Ano		Ano		Ano	Dlouhodobě prosazujeme užívání zákonných prostředků k eliminaci nežádoucích jevů způsobených těmito osobami.														
9/27/2014 7:22:05	Dělnická strana sociální spravedlnosti	Jiří Štěpánek	283746	Ano		Ne		Ano		Ano		Ano		Ano		Ano		Ne		Ano		Ne		Ne		Ano		Ano		Ano		Ano		Ano		Ne		Ano		Ano		Ano		Ano		Ne		Ano		Ano		Ano		Ano															
9/28/2014 13:21:16	Strana svobodných občanů	Jan Jakub Ptáček	141285	Ano	Včetně všech příloh a dodatků. Součástí výběrového řízení by měla být klauzule, že celá smlouva bude zveřejněna a že s tím všechny zúčastněné strany souhlasí. Totéž by mělo platit i pro firmy vlastněné městem.	Ne	Město by takovýto megalomanský projekt nemělo vůbec stavět z peněz daňových poplatníků. Měl by se najít soukromý investor. Nenašel se zřejmě ze dvou důvodů - nikdo ho nehledal nebo je projekt ekonomicky nevýhodný (nebo obojí najednou). Navíc kontrolní mechanismy v podobě dozorčích rad nejsou funkční.	Ne	Toto je nutno řešit vždy individuálně, ne paušálním soudem. Obecně město je charakterizováno zástavbou, nikoli lesem či parky.	Ano	Už dávno měla, ale město raději peníze na hotový projekt nesmyslně investovalo do nového betonového divadla.	Ne	Město by nemělo podporovat žádné komerční subjekty vč. sportovních klubů. Klub má získávat peníze z prodeje vstupenek, členských příspěvků sportovců, reklamy nebo od sponzorů ze soukromého sektoru.V případě sportujících dětí a mládeže je však podpora na místě.	Ne	Město by nemělo podporovat žádné komerční subjekty vč. sportovních klubů. Klub má získávat peníze z prodeje vstupenek, členských příspěvků sportovců, reklamy nebo od sponzorů ze soukromého sektoru.V případě sportujících dětí a mládeže je však podpora na místě.	Ano	Ale pouze v rámci rekonstrukcí komunikací z jiného důvodu (např.  obnovy inženýrských sítí). 	Ano	Nejdříve by se ale měly veškeré prostředky a síly soustředit na dokončení západního okruhu. 	Ne	Postačí stávající strážníky lépe využívat po celém městě, nikoli jen v centru. Pokud navíc budou místo jízd autem chodit pěšky, aby byli více vidět a blíže občanům, tak to může jen prospět.	Ne	Město by mělo regulovat parkování i jiným způsobem než zpoplatněním (např. omezením doby parkování, tato doba by však byla zdarma) 	Ne	Rezidenční zóny by se měly zrušit, vč. poplatků, které s nimi souvisí.	Ne	Jízdné by mělo být nicméně nastavené efektivně.	Ne	Není k tomu žádný rozumný důvod. Zhoršila by se dostupnost centra autem a dopravní prostředky MHD by stejně ulicí projížděly, čili by k žádnému zklidnění nedošlo.	Ano	Okamžitě. A ještě důležitější by byl audit z hlediska potřebnosti všech městských firem. Činnosti, které jsou zbytné nebo které by mohla vykonávat soukromá firma, by měly být městem ukončeny. Takové firmy by měly být zrušeny nebo prodány.	Ne	Není důvod, aby se město finančně podílelo na jeslích. Vzhledem k rodičovské dovolené, která je dostatečně dlouhá, není takové služby zapotřebí z veřejných prostředků. A pokud ji někdo potřebuje, tak stačí odstranit překážky pro vznik soukromých jeslí.	Ano	Velmi ale záleží na rozsahu pravomocí a osobě takového architekta.	Ne	Jde o technologický monopol. Zcela určitě by ale město mělo firmě Plzeňská teplárenská a.s. zakázat vlastní propagaci, kterou jako monopol nepotřebují, a i veškerý sponzoring kulturních a sportovních akcí.	Ne	Centrum není ani park ani amfiteátr. Město by však mohlo omezit dopravu v centru prodejem historických budov, ve kterých sídlí úřady města a tyto úřady přestěhovat mimo historické centrum. Agendu, která se neobejde bez účasti občanů, by město mohlo přesunout např. do nákupních center.	Ne	Lepší než kamery jsou policisté v ulicích.	Ano	Město i veškeré městem zřizované firmy a příspěvkové organizace.	Ne	Pokud nikdo nedělá nepořádek nebo nikoho neobtěžuje, pak do toho, co kde který občan pije, městu nic není.	Ne	Pouze za předpokladu, že by si na to aktivisté, kteří vyvolali referendum, vybrali peníze ve veřejné sbírce nebo od sponzorů ze soukromého sektoru, což je samozřejmě vzhledem k předpokládané ceně zahrnující náklady obětované příležitosti nereálné.	Ne	Nikdo by je za pořizovací náklady nekoupil a za pár let by opět nějakou chytrou hlavu na radnici napadlo vyplnit prázdné místo po nich něčím podobným a zřejmě ještě dražším.	Ne	Je jich dostatek.	Ne	Herny přináší práci mnoha lidem, kteří by jinak odešli na úřad práce a stali se závislí na státu. Stát toto podnikání nezakazuje a město se v tomto nemá stavět nad stát. Navíc by to problémy závislých na automatech vůbec neřešilo, ti by se jen přesunuli jinam.	Ne	Město by mělo sankcionovat ty, kteří dělají nepořádek v ulicích nebo obtěžují či omezují někoho jiného. Zda těmito osobami budou bezdomovci nebo kdokoli jiný, je irelevantní.														
9/28/2014 22:03:16	Plzeň pro sport	Ing. Naděžda Mauleová, MBA	204601	Ne	Zveřejňovat jen smlouvy, za kterými stojí veřejné zakázky, popř. klíčové smlouvy.	Ne	Není to v pořádku, město by mělo přes zastupitelstvo každý velký projekt řešit, i když je objednatelem městská společnost.	Ano	Na sídlištích by měla mít přednost hlavně výstavba dětských hřišť, parků a v nich fitness prvků.	Ano	Na Borská pole by určitě měla jezdit tramvaj, zvláště po rozšíření areálů ZČU, Techmanie, atd. Je ekologičtější a provozuschopnější než autobusy. Je ale nutné zohlednit náklady na vybudování kolejí, nákup tramvají,...	Ano	Plzeň by měla podporovat HC Plzeň, ale ne na úkor podpory malých sportovních klubů	Ano	 Finanční podpora je už nyní, kdy byl zrenovován stadion, finančně by měla podpořit mládež a kempy pro děti, hlavně pak ze sídlišť.	Ano	Rozhodně, dále doporučujeme zaměřit se také na singletrack a vytvořit pro tento druh cyklistiky nové tratě. 	Ne	Dopravu je ale nutno řešit, souhlasili bychom i s průtahem, ale lepší je obchvat a využití dálnice kolem Plzně bez poplatku.	Ne	Počet strážníků by měl zůstat stejný a měla by být městská policie efektivnější. Např. botičky by měly být ve správě SVS Plzeň.	Ne	Ve městě by měli rezidenti mít možnost přednostně zaparkovat. A návštěvníci za úměrnou cenu též nebo využít parkovací dům Rychtářka.	Ano	Musí být splněna podmínka, že když si rezident zaplatí za parkovací místo, tak ho má mít. 	Ne	Ale ani zdražovat, je vypočteno zodpovědnými manažery, kteří jistě budou umět hledat úspory uvnitř společnosti a když by byl do budoucna prostor pro snížení jízdného, tak ho snížit.	Ne	Doprava k Americké třídě patří. Není důvod zde dopravu omezovat.	Ano	Audit hospodaření by se měl provádět pravidelně. 	Ne	Kapacitu jeslí nedoporučujeme rozšiřovat, děti by měly být do 3 let v rodinné péči, stát toto bude i nadále podporovat.	Ano	Byl by v pozici koordinátora všech projektů, dohlížel by na  architektonické soutěže, atd.	Ne	Teplárna musí zůstat města. Nedoporučujeme prodat ani jakýkoliv podíl společnosti. Je to strategická společnost, která slouží celé Plzni.	Ne	Vážíme si všech turistů, zákazníků a podnikatelů, kteří jsou v centru města. Doprava též k náměstí patří. Nejsme tak velké město, které by potřebovalo náměstí bez dopravy. 	Ano	Každé zvýšení bezpečnosti je důležité. 	Ano		Ne	 Město by mělo zakázat pít alkohol na zastávkách MHD, na dětských hřištích a v bezprostřední blízkosti školek a škol. Udělat si piknik v parku např. s pohárkem vína není pití alkoholu na veřejnosti.	Ne	Město si nemůže dovolit další zadlužení formou odkupu pozemku pod DK. Město mělo v minulosti více spolupracovat se společností Amedeus a mělo více usilovat o nalezení kompromisu a realizace projektu, který by byl pro obě strany vyhovující. 	Ano	I přesto, že nechceme ničit něco, co někdo v minulosti stvořil, jsme toho názoru, že náklady spojené s provozem kašen jsou poměrně vysoké. Uspořené prostředky by se pak daly použít na investice do sportovišť malých sportovních klubů. 	Ne	V současné době je v centru dostatečný počet pěších zón.	Ne	Všechny herny by se měly vytlačit na okraj města, hlavně z blízkosti školek a škol, na jedno místo, kde by mohla probíhat snazší kontrola ze strany PČR a jiných institucí. Úplný zákaz není řešením pro hazard. Stejně tak by stát měl více zpřísnit sázení pomocí internetu.	Ano	Zároveň by město mělo najít způsob, jak se tyto osoby pokusit vrátit do plnohodnotného života. Nabídnout jim bydlení, práci a zajistit u nich návyky společenského chování. Pouhé vytlačení není řešení, problematika by se přesunula na jednotlivé obvody. 														
