id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce  (určí se až při finálním výběru otázek) 	Další poznámky, atd.
1	Smlouvy na internetu	Město by mělo zveřejňovat všechny své smlouvy na internetu.		4	
2	Investice městských firem	Je v pořádku, že město skrze své firmy, bez kontroly zastupitelstva, investuje do velkých projektů jako například spalovna v Chotíkově.			
3	Zeleň na sídlištích	Na sídlištích by měla mít přednost zeleň před další výstavbou. 		3	
4	Tramvaj na Borská Pole	Na Borská Pole by měla jezdit tramvaj. 			jednoznačné
5	Podpora HC Plzeň 1929	Plzeň by měla finančně podporovat hokejový klub HC Plzeň 1929, s.r.o. 		5	
6	Podpora Viktorie Plzeň	Plzeň by měla finančně podporovat fotbalový klub Viktoria Plzeň.		6	
7	Další cyklostezky 	Město má podporovat vznik dalších cyklostezek.			jednoznačné
8	Silniční průtah	Městem by měl vést další (severo-jižní) silniční průtah.		8	
9	Více strážníků	Počet strážníků městské policie by měl narůst.		9	
10	Placené parkovací místa	Ve městě by mělo být více parkovacích míst placených.		10	
11	Více rezidenčních zón	Rozsah rezidenčních zón parkování by se měl zvětšit.		11	
12	Levnější MHD	Jízdné v MHD by mělo zlevnit.		2	
13	Uzavření Americké	Americká třída by se měla uzavřít pro osobní automobilovou dopravu.		13	
14	Audit městských firem	Měl by se provéste audit hospodaření všech městských firem. 		14	
15	Jesle	Kapacita městských jeslí by se měla rozšířit.		15	
16	Městský architekt.	Plzeň by měla mít svého městského architekta.			jednoznačné
17	Prodej teplárny	Plzeň by měla prodat městskou teplárnu.			jednoznačné
18	Centrum bez aut	Historické centrum by mělo být uzavřeno pro automobily (s výjimkou zásobování a rezidentů). 		1	
19	Více kamer	Ve městě by měly být instalovány další kamery městské policie.		19	
20	Transparentní účty	Město by mělo mít transparentní účty, do kterých lze veřejně nahlížet.		20	
21	Zákaz pití alkoholu 	Město by mělo zákazat pití alkoholu na veřejnosti.		21	
22	Pozemek po DK Inwest	Město by mělo vykoupit pozemek po DK Inwest za částku navrženou Amádeem.		22	
23	Prodej kašen	Kašny z náměstí by se měly prodat a odstěhovat.		26	
24	Pěší zóny	Pěší zóny v centru by se měly rozšířit.		24	
25	Zákaz heren	V Plzni by měly být zakázány všechny herny.		25	
26	Bezdomovci pryč z centra	Město by mělo aktivně vytlačovat bezdomovce z centra.		23	
