id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce  (určí se až při finálním výběru otázek) 	Další poznámky, atd.		
1	Metro D	Jako největší dopravní investici v následujícím volebním období by Praha měla stavět metro D, které by mělo dostat přednost před jinými dopravními stavbami.	Metro D bylo dlouhodobě upozaděno na úkor prodloužení linky A. Náklady na novou linku metra jsou nicméně vysoké: je nepravděpodobné, že by bylo finančně možné stavět současně metro a severovýchodní sekci městského okruhu nebo Radlickou radiálu, město se proto nejspíše bude muset rozhodnout, které ze staveb dá přednost.	3			
2	Přechody	V Praze by se měly vyznačit přechody pro chodce tam, kde byly zrušeny při výstavbě metra či magistrály.	Podchody či nadchody komplikují překonávání komunikací vozíčkářům a lidem s omezenou možností pohybu a často nepůsobí přívětivě. Přechody naopak mohou snížit plynulost silniční dopravy a kapacitu komunikace.		x		
3	Zastávky bez bariér	Praha by měla do r. 2025 mít bezbariérové všechny povrchové zastávky hromadné dopravy. 	Přijatá koncepce bezbariérovosti předpokládá plnou bezbariérovost veřejné dopravy v roce 2025. Naplnění koncepce by si vyžádalo vynaložit zhruba 4,5 mld. Kč a vyřazení všech bariérových vozidel.		jednostranné		
4	Cyklistické obousměrky	Praha by měla iniciovat legální jízdu cyklistů v protisměru jednosměrných klidných ulic.	Příznivci tzv. "cykloobousměrek" argumentují vysokou bezpečností a tím, že jde o levné a v zahraničí běžné opatření. Odpůrci se obávají, že zřízení cykloobousměrky na řadě míst sníží počet parkovacích míst nebo povede k omezení rychlosti na 30 km/h.		0		
5	Bikesharing	V Praze by měl od roku 2015 fungovat městský systém veřejného půjčování jízdních kol (bikesharing).	Veřejné půjčovny kol fungují například v Paříži, Londýně, New Yorku, Budapešti. Po zaplacení mírného předplatného je možné vypůjčit si kolo zhruba na půl hodiny zdarma a vrátit na jiném místě. Současné vedení Prahy připravuje spuštění bikesharingu na sezónu 2015.	10			
6	Železnice na letiště	Železniční trať z Masarykova nádraží na Kladno by měla být doplněna odbočkou na letiště.		15			
7	Turnikety v metru	V metru by se měly zavést turnikety.	Zavedení turniketů sníží počet černých pasažérů v metru. Turnikety mohou naopak způsobit problémy při cestování se zavazadly nebo prodloužit čas strávený nástupem a výstupem z metra.	20			
8	Tramvaj na Václacáku	Praha by měla obnovit tramvajovou trať na Václavském náměstí, přinejmenším v úseku od Muzea k Vodičkově ulici.	Obnova tramvajové trati na Václavském náměstí by zlepšila spojení dolních Vinohrad s centrem města a možnost vedení tramvají v době výluk. Proti zavedení trati hovoří nutnost křížit úrovňově Severojižní magistrálu a instalace trolejového vedení v horní polovině Václavského náměstí.	23			
9	Konec Opencard	Praha by měla přestat používat systém Opencard.		1			
10	Vyšší předplatné na MHD	Cena předplatného jízdného na městskou veřejnou dopravu by se měla zvýšit.	Cena předplatného pro veřejnou dopravu se nezvýšila už řadu let. V současnosti tvoří vybrané jízdné méně než třetinu částky, která je ročně na veřejnou dopravu v Praze vynaložena, zbytek je kompenzován z rozpočtu Prahy.		jednostranné		
11	Levnější MHD	Jízdné v MHD by se mělo snížit.	Cena předplatného pro veřejnou dopravu může být stále odrazující a je nevýhodná zvlášť pro lidi, kteří nejezdí každý den. Využití veřejné dopravy by nejspíš zvýšilo zavedení dopravy zdarma. Nižší nebo nulové jízdné ale dále sníží příjmy DPP a bude si vyžadovat vyšší kompenzaci z městského rozpočtu.	6	0		
12	Autobus Blankou	Praha by měla zavést autobusovou linku tunelem Blanka.	Vedení autobusové linky tunelem Blanka by zkrátilo jízdu veřejnou dopravou mezi Hradčanskou a Kobylisy nebo Střížkovem asi o 10 minut. Zavedení atraktivní autobusové linky s nízkým intervalem by nicméně znamenalo poměrně značné zvýšení nákladů na veřejnou dopravu.	27			
13	Zvýšení kapacity P+R	Praha by měla zvýšit kapacitu svých záchytných parkovišť (P+R) do roku 2018 nejméně na trojnásobek.	Parkoviště P+R (Park and ride) umožňují zanechat auto na okraji města a pokračovat do centra veřejnou dopravou. Současných 3000 míst je většinou od rána zaplněno. Zvýšení kapacity bude nicméně vyžadovat výstavbu nadzemních garáží, někde navíc nejsou k dispozici vhodné pozemky.		jednostranné		
14	Společný investor pro rek. ulic	Praha by měla mít společného investora pro rekonstrukce ulic včetně investic do veřejné dopravy.	Koordinace investic do rekonstrukcí tramvajových tratí, povrchů nebo úprav veřejných prostranství je v současnosti velmi náročná. Společný investor by mohl tuto praxi zlepšit. Podle jiných názorů by ale stačilo, kdyby všechny zúčastněné instituce spolupracovaly, jak mají.		x		
15	Neomezený provoz přes Malou Stranu	Praha by po zprovoznění tunelu Blanka měla ponechat neomezený průjezd aut přes Malou Stranu a Smetanovo nábřeží.	Přes Malou Stranu a Staré Město v dnes projíždí kolem 40 000 aut denně. Podle některých názorů by mohla většina z nich jezdit Blankou, s tím, že centrem by i nadále mohli projíždět rezidenti Prahy 1 a vyjmenovaná vozidla. Podle jiných názorů jsou komunikace v historickém centru nezastupitelné.		0		
16	Nízkoemisní zóna	Praha by měla od 1.1.2016 zřídit nízkoemisní zónu podle aktuálního záměru.	Zóna by znemožňovala vjezd starších vozidel do oblasti ohraničené zhruba Městským okruhem a neměla by se vztahovat na rezidenty. Kritici nízkoemisních zón argumentují, že zóny nedosahují očekávaného přínosu ke kvalitě ovzduší a tudíž je jejich zřizování zbytečné.	5			
17	50 km/h	Praha by měla zachovat ve vedlejších ulicích rychlost 50 km/h (s výjimkou vybraných lokalit jako je okolí škol).	V Praze ve vedlejších ulicích postupně vznikají zóny 30 km/h a obytné zóny. Pro zřizování zón 30 km/h se argumentuje zvýšením bezpečnosti a snížením hluku. Odpůrci zón 30 argumentují, že v Praze nejsou tyto přínosy prokázány a že dodržování 30km rychlosti je pro řidiče obtížné.	19			
18	Velkoplošné billboardy	V Praze by mělo být možné i nadále instalovat velkoplošné billboardy.	Jedná se velkoplošné reklamy nad 6 m2, jejichž zřizování od 1.10 zakazují nové pražské stavební předpisy. Reklamy tvoří tzv. "vizuální smog" a v určitých místech odvádí pozornost řidičů od sledování provozu. Omezení velkoplošné reklamy může být nicméně považováno za zbytečnou regulaci.	12			
19	Stop dalším parkovacím místům v centru	Mělo by se zastavit zvyšování celkového počtu parkovacích míst v historickém centru.	Pokud by vznikala nová parkovací místa, muselo by být odstraněno stání na ulici. Přineslo by postupné uvolnění úzkých uliček od aut, patrně by ale došlo ke zvýšení ceny parkování i pro rezidenty. Alternativou je budování podzemních garáží na okraji historického centra nebo na jiných vhodných místech.		0		
20	Nekomerční akce bez poplatků 	Nekomerční akce konající se na ulici by měly být osvobozeny od místních poplatků.	Pro uspořádání sousedské slavnosti nebo jiné nekomerční akce musíte dnes platit místní poplatky (některé městské části je odpouštějí). Poplatek a proces spojený s jeho odpuštěním komplikuje realizaci malých nebo neformálních akcí. Na druhou stranu, místní poplatek je jedním z příjmů jdoucích přímo městské části.		x		
