id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce  (určí se až při finálním výběru otázek) 	Další poznámky, atd.
1	Omezení hazardu	Na území města by měly být zakázány hrací automaty.	Obce mohou přijmout vyhlášku, ve které by zakázaly hrací automaty na svém území. Příznivci zákazu argumentují sociálními problémy plynoucími z hazardu, odpůrci zmiňují finance, které město na daních obdrží.	1	
2	Jezdecká kasárna	Jezdecká kasárna by měla být zbourána.	Rada města z let 2010-2014 plánuje zbourání jezdeckých kasáren, zmiňuje špatný stav budov. Opozice tvrdí, že stavba má historickou hodnotu a dá se ještě zachránit.	2	
3	Nová spalovna	Prostějov by měl usilovat o stavbu nové spalovny ve městě.	Podle příznivců by spalovna přinesla nová pracovní místa, odpůrci argumentují zhoršeným stavem ovzduší.	3	
4	MHD zdarma	Městská hromadná doprava by měla být zdarma.	Zastánci zrušení jízdného argumentují zlepšením životního prostředí, odpůrci tvrdí, že se jedná o populismus a nehospodárné nakládání s veřejnými prostředky.	4	
5	Referenda v době voleb	O závažných problémech města by mělo proběhnout referendum vždy v souběhu s konáním jiných voleb.	K platnosti referenda je potřeba účast 35 procent oprávněných voličů. Zastánci argumentují vyšší participací občanů na dění ve městě a podporou prvků přímé demokracie, odpůrci referend obecně zmiňují finanční náklady, nezájem občanů a jejich schopnost rozhodovat se.	5	
6	Nakládání s odpady	Měl by se v případě odvozu komunálního odpadu domácností zavést tzv. inteligentní systém nakládání s odpady.	Město by se mělo snažit uzavřít výhodnější smlouvu s příslušnou společností, zavést motivace pro třídění odpadu a investovat do prevence vzniku odpadů jako například v Mikulově. Tím by se podle zastánců snížily náklady. Odpůrci upozorňují na celou řadu technických problémů, jakožto i na efektivitu takto komplexního postupu.	6	
7	Poplatek za odpad	Měl by být zrušen poplatek za odvoz komunálního odpadu.	Zastánci se domnívají, že tento poplatek je zbytečný, jedná se o jakousi „skrytou“ daň, která by měla být zrušena. Město si může dovolit ulehčit domácnostem. Podle odpůrců by to znamenalo velký zásah do rozpočtu města na úkor jiných důležitějších položek. Zrušení poplatků je pouze přenesením zátěže na město, což složitou situaci nijak neřeší.	7	
8	Otevřený software	Na počítačích magistrátu by měl být tzv. otevřený software.	Otevřeným softwarem se rozumí programy a systémy, které by byly používány legální cestou bezplatně. Dle zastánců by to znamenalo snížení nákladů pro správu magistrátu, podle odpůrců snížení nákladů není automatické, hrozí nekompatibilita se systémy jiných úřadů.	8	
9	Podklady pro jednání rady	Podklady pro jednání rady města by měly být zveřejněny na internetu už před jednáním.	Zastánci zmiňují transparentnost, podle odpůrců je to administrativně a technicky náročné.	9	
10	Prostor pro občany v periodiku	V Radničních listech by měli mít prostor i občané.	Podle zastánců by se tím zvýšila názorová pluralita v tomto médiu, podle odpůrců by bylo složité nastavit pravidla výběru příspěvků.	10	
11	Investice do cestovního ruchu	Prostějov by měl více investovat do cestovního ruchu.	Podle zastánců by to znamenalo více peněz pro místní podnikatele, podle odpůrců negativa v podobě většího počtu lidí, a tím narušení klidného života ve městě.	11	
12	Participativní rozpočtování	Ve městě by mělo být zavedeno tzv. participativní rozpočtování.	Participativní rozpočtování je proces, ve kterém se občané rozhodují o jednotlivých složkách veřejných výdajů. Zastánci tvrdí, že by projekt zvýšil zájem občanů o dění ve městě, podle odpůrců je to administrativně náročné.	12	
13	Fond sociálního bydlení	Měl by být vybudován fond sociálního bydlení.	Podle zastánců by to pomohlo sociální situaci, odpůrci argumentují vysokými finančními náklady.	13	
