id	jméno otázky	otázka (max. 20 slov)	popis (nepovinný, max. 50 slov)	pořadí v kalkulačce  (určí se až při finálním výběru otázek) 	Další poznámky, atd.
1	Celostátní referendum	Měla by se uzákonit možnost celostátního referenda vypisovaného na základě petice.	V ČR je možné vyhlásit celostátní referendum pouze tehdy, pokud o něm rozhodne Parlament. Např. na Slovensku je to možné po shromáždění 350 000 podpisů, v „referendovém“ Švýcarsku je třeba 50 000 podpisů. 	1	
2	Smlouvy na internetu	Smlouvy uzavírané státem nebo obcemi by měly platit až po zveřejnění na internetu. 	Je připravován zákon, který přikazuje zveřejnit na internetu všechny smlouvy mezi veřejnými institucemi a firmami. Dle podporovatelů je to obrana proti předraženým zakázkám nebo nevýhodným prodejům majetku. Odpůrci ukazují na zvýšení byrokracii např. pro malé obce.		
3	Rozšíření pravomocí NKÚ	Nejvyšší kontrolní úřad by měl mít možnost kontrolovat i veřejně vlastněné podniky.	NKÚ v současnosti nemůže kontrolovat hospodaření státem či obcemi vlastněných podniků jako jsou např. České dráhy nebo městské dopravní podniky.	3	
4	Daňová progrese DPFO	Měla by se zvýšit daňová progrese daně z příjmů u lidí (tj. vyšší sazba daně pro vyšší příjmy)	V ČR existuje „jednotná daň z příjmu 15 %“. Díky slevě na poplatníka ovšem jde ve skutečnosti o daň mírně progresivní. Podle zastánců je tato "rovná daň" spravedlivější, odpůrci naopak považují za spravedlivější progresivnější zdanění. V Německu je zdanění progresivnější než v ČR, na Slovensku je progrese podobná jako v ČR.	4	
5	Zákaz kouření v restauracích	Mělo by být zakázáno kouřit v restauracích.	V mnoha zemích se v poslední době rozšířily zákony zakazující kouření v restauracích. Např. v mnoha německých spolkových zemích je to zakázáno, na Slovensku je nutno vyhradit stavebně oddělený nekuřácký prostor.	5	
6	Euro v ČR	ČR by měla usilovat o zavedení společné evropské měny (euro).	Eurem se platí ve 3 sousedních zemích - v Německu, na Slovensku a v Rakousku. Nepoužívá se v Polsku. ČR se při přijetí do EU zavázalo k přijetí Eura v budoucnosti.	6	
7	Školné na VŠ	Mělo by se začít platit školné na veřejných vysokých školách.	Na veřejných vysokých školách v ČR se neplatí školné. Studenti si ovšem platí ubytování, stravu, pomůcky i některé povinné školní poplatky.Podle zastánců školené umožní rozvoj vysokých škol, podle odpůrců omezí přístup ke vzdělání zejména sociálně slabším studentům.	7	
8	Insituce po celé ČR	Mělo by se zavést pravidlo, že státní instituce by měly být rozmísťovány rovnoměrně po celém území ČR.	V ČR je velké množství státních a státem placených institucí v Praze. Naproti tomu v Německu existuje pravidlo, že takové instituce musejí být rozmísťovány rovnoměrně po celé zemi. Podle zastánců to např. podporuje chudší regiony a posiluje nezávislost kontrolních institucí, podle odpůrců to snižuje efektivitu státní správy.	8	
9	Eutanazie	Měla by být zavedena možnost eutanazie.	Eutanazie není povolená v ČR ani v žádné z okolních zemí. Podle zastánců je ukončení života základním právem člověka, podle odpůrců je nemorální a hrozí jeho zneužití. Eutanazie je legální např. v Nizozemí nebo v Belgii.	9	
10	Lehčí místní referendum	Měla by se snížit hranice pro platnost místního referenda alespoň pro velká města.	V ČR je pro platnost místního referenda nutná účast alespoň 35 % obyvatel obce a alespoň 25 % obyvatel musí hlasovat pro vítěznou variantu. V praxi se ukázalo, že zvláště ve velkých městech taková účast je dosažitelná jen v souběhu s volbami.	10	
11	Výstup z NATO	ČR by měla vystoupit z NATO.	ČR je od roku 1999 součástí NATO. Podle zastánců členství jde o záruku bezpečnosti země, odpůrci naopak poukazují na účast ČR v problematických vojenských konfliktech. Členem NATO jsou všechny sousední státy ČR kromě Rakouska.	11	
12	Výstup z EU	ČR by měla vystoupit z EU.	ČR je od roku 2004 členem EU. Zastánci argumentují, že členství dává ČR možnost ovlivňovat budoucnost EU a je ekonomicky výhodné, odpůrci upozorňují na ztrátu suverenity ČR. Členem EU jsou všechny sousední státy ČR, mimo EU naopak stojí např. Švýcarsko či Norsko.	12	
13	Prokázání majetku	Měl by existovat zákon o prokázání nabytí majetku s možností zabavení neprokázaného majetku.	Na Slovensku platí zákon o prokazování nabytí majetku (nad přibližně 10 miliónů Kč). Pokud majitel nebude moci prokázat legální nabytí majetku, může o něj přijít. Podle zastánců je to důležité opatření v boji proti systémové korupci, podle oponentů má zákon zpětnou účinnost a zavádí situaci, kdy obviněný musí dokazovat svoji nevinu.	13	
