id,jmeno,prijmeni,obvod,,,obvod,cislo,,prijmeni,jmeno,foto,cro_n
1,Jan,Horník,1,,TRUE,1,5,,Horník,Jan,https://samizdat.blob.core.windows.net/vizitky16/senat-1-stan-jan-hornik.jpg,
2,Věra,Bartůňková,1,,TRUE,1,2,,Bartůňková,Věra,https://samizdat.blob.core.windows.net/vizitky16/senat-1-kscm-vera-bartunkova.jpg,
3,Pavel,Čekan,1,,TRUE,1,1,,Čekan,Pavel,https://samizdat.blob.core.windows.net/vizitky16/senat-1-cssd-pavel-cekan.jpg,
4,Jiří,Brdlík,1,,TRUE,1,4,,Brdlík,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-1-ods-jiri-brdlik.jpg,
5,Jiří,Kotek,1,,TRUE,1,8,,Kotek,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-1-alternativa-jiri-kotek.jpg,
6,Věra,Ježková,1,,TRUE,1,6,,Ježková,Věra,https://samizdat.blob.core.windows.net/vizitky16/senat-1-zeleni-vera-jezkova.jpg,
7,Josef,Váňa,1,,TRUE,1,3,,Váňa,Josef,https://samizdat.blob.core.windows.net/vizitky16/senat-1-ano-josef-vana.jpg,
8,Eduard,Frisch,1,,TRUE,1,7,,Frisch,Eduard,https://samizdat.blob.core.windows.net/vizitky16/senat-1-snk-eduard-frisch.jpg,
9,Jana,Bačíková,79,,TRUE,79,5,,Bačíková,Jana,https://samizdat.blob.core.windows.net/vizitky16/senat-79-ods-jana-bacikova.jpg,
10,Anna,Hubáčková,79,,TRUE,79,2,,Hubáčková,Anna,https://samizdat.blob.core.windows.net/vizitky16/senat-79-kdu-csl-anna-hubackova.jpg,
11,Jan ,Lahvička,79,,TRUE,79,7,,Lahvička,Ján,https://samizdat.blob.core.windows.net/vizitky16/senat-79-kscm-jan-lahvicka.jpg,
12,Zdeněk,Škromach,79,,TRUE,79,4,,Škromach,Zdeněk,https://samizdat.blob.core.windows.net/vizitky16/senat-79-cssd-zdenek-skromach.jpg,
13,Josef,Zimovčák,79,,TRUE,79,3,,Zimovčák,Josef,https://samizdat.blob.core.windows.net/vizitky16/senat-79-ano2011-josef-zimovcak.jpg,
14,Vítězslav,Krabička,79,,TRUE,79,6,,Krabička,Vítězslav,https://samizdat.blob.core.windows.net/vizitky16/senat-79-moravane-vitezslav-krabicka.jpg,
15,Květoslav,Přibil,79,,TRUE,79,1,,Přibil,Květoslav,https://samizdat.blob.core.windows.net/vizitky16/senat-79-spr-kvetoslav-pribil.jpg,
16,Eva,Badinková,76,,TRUE,76,7,,Badinková,Eva,https://samizdat.blob.core.windows.net/vizitky16/senat-76-kscm-eva-badinkova.jpg,
17,Jan,Hašek,76,,TRUE,76,6,,Hašek,Jan,https://samizdat.blob.core.windows.net/vizitky16/senat-76-ano-jan-hasek.jpg,
18,Daniela,Hebnarová,76,,TRUE,76,8,,Hebnarová,Daniela,https://samizdat.blob.core.windows.net/vizitky16/senat-76-ods-daniela-hebnarova.jpg,
19,Jaroslav,Chmelař,76,,TRUE,76,1,,Chmelař,Jaroslav,https://samizdat.blob.core.windows.net/vizitky16/senat-76-cssd-jaroslav-chmelar.jpg,
