id	Jméno otázky ENG	Otázka ENG	-	order	jméno otázky	otázka (max. 20 slov)	
1	A national referendum	There should be possibility of a referendum on national level called by citizens		1	Celostátní referendum	Měla by se uzákonit možnost celostátního referenda vypisovaného na základě petice.	
2	Contracts on the Internet	Contracts closed by government or municipalities should be valid only after their publication on the Internet.		2	Smlouvy na internetu	Smlouvy uzavírané státem nebo obcemi by měly platit až po zveřejnění na internetu. 	
3	Extansion of SAO's jurisdiction	Supreme Audit Office should have the possibility to control also all publicly owned enterprises		3	Rozšíření pravomocí NKÚ	Nejvyšší kontrolní úřad by měl mít možnost kontrolovat i veřejně vlastněné podniky.	
4	Income tax progression of natural persons	The income tax progression for people should increase (i.e., higher tax rate for higher incomes)		4	Daňová progrese DPFO	Měla by se zvýšit daňová progrese daně z příjmů u lidí (tj. vyšší sazba daně pro vyšší příjmy)	
5	Smoking ban in restaurants	Smoking in restaurants should be banned		5	Zákaz kouření v restauracích	Mělo by být zakázáno kouřit v restauracích.	
6	Euro in Czech Republic	Czech Republic should seek to establish common European currency (Euro)		6	Euro v ČR	ČR by měla usilovat o zavedení společné evropské měny (euro).	
7	Tuition fees at universities	Tuition fees at public universities should be introduced.		7	Školné na VŠ	Mělo by se začít platit školné na veřejných vysokých školách.	
8	Institutions throughout the Czech Republic	National institutions should be placed evenly throughout the Czech Republic.		8	Insituce po celé ČR	Mělo by se zavést pravidlo, že státní instituce by měly být rozmísťovány rovnoměrně po celém území ČR.	
9	Euthanasia	Euthanasia should be legal		9	Eutanazie	Měla by být zavedena možnost eutanazie.	
10	Easier local referendum	The threshold for local referendum validity should be lowered at least for larger cities.		10	Lehčí místní referendum	Měla by se snížit hranice pro platnost místního referenda alespoň pro velká města.	Should the limit for the validity of local referendum be lowered at least for big towns?
11	Leaving NATO	Czech Republic should leave NATO.		11	Výstup z NATO	ČR by měla vystoupit z NATO.	Should Czech Republic come out of NATO?
12	Leaving EU	Czech Republic should leave the EU.		12	Výstup z EU	ČR by měla vystoupit z EU.	Should Czech Republic come out of EU?
13	Proof of property acquisition	There should be a law on proof of an acquisition of a property with a possibility of confiscation of an unproven property?		13	Prokázání majetku	Měl by existovat zákon o prokázání nabytí majetku s možností zabavení neprokázaného majetku.	Should there be a law on proof of the acquisition of the property with a possibility of confiscation of an unproven property?
14	Romani language teaching	The possibility to teach Romani language should be encouraged (if there is an interest among the pupils)		14	Výuka romštiny	Měla by se podporovat možnost výuky romštiny jako volitelného předmětu, pokud o ni bude mezi žáky zájem.	Should the possibility of Romani language teaching as an optional subject be promoted, if there would be an interest among the pupils?
15	Immunity restrictions	Immunity of MPs and Senators should be limited to speeches in the Parliament only.			Omezení imunity	Imunita poslanců a senátorů by měla být omezena tak, že by se vztahovala jen na proslovy v Parlamentu.	Immunity of Members and Senators should be limited so that it would apply only on the speeches in the Parliament
16	The abolition of regulatory fees	The "regulatory medical fees" should be abolished.			Zrušení regulačních poplatků	Regulační zdravotnické poplatky by měly být zrušeny.	Regulatory medical fees should be abolished.
17	The induced abortion ban	The induced abortion should be banned except in exceptional cases as rape or endangering of mother's life			Zákaz interupce	Interrupce by měla být zakázána až na výjimečné případy, jako je znásilnění či ohrožení života matky.	The abortion should be banned except in exceptional cases, such as rape or endangering of mother's life
18	Senate abolition	Senate should be abolished		18	Zrušení Senátu	Senát by měl být zrušen.	Senate should be repealed
19	Annulment of a second pillar	So called second pillar of the pension reform should be abolished			Zrušení 2. důchodového pilíře	Tzv. druhý pilíř důchodové reformy by měl být zrušen.	So called second pillar of the pension reform should be abolished
20	The blank media fee (cancelation)	The blank media fee should be abolished			Poplatek za prázdná média (zrušení)	Měl by být zrušen poplatek za prázdná média.	The blank media fee should be canceled
21	Gay adoption	Gay couples should have the possibility to adopt children		21	Adopce homosexuály	Homosexuální páry by měly mít možnost adoptovat děti.	Homosexual couples should have the possibility of adopting children
22	Sliding mandate	A "sliding mandate" should be implemented in the Parliament			Klouzavý mandát	Měl by být zaveden tzv. klouzavý mandát.	Sliding mandate should be established
23	The Institute for the Study of Totalitarian Regimes	The Institute for the Study of Totalitarian Regimes should continue to exist.		23	Ústav pro studium totalitních režimů	Měl by být zachován Ústav pro studium totalitních režimů.	The Institute for totalitarian regimes study should be preserved
24	Truck driving ban	Truck driving ban should be expanded		24	Zákaz jízdy kamionů	Zákaz jízdy kamionů by měl být oproti současnému stavu rozšířen.	Truck driving ban should be extended from the status quo
25	Draft law - petition	Citizens should have the possibility to suggest a law through petition.		25	Návrh zákona - petice	Občané by měli mít možnost předložit návrh zákona pomocí petice.	Citizens should have the possibility to submit a bill through petition.
26	Electronic voting	Possibility of electronic voting in elections should be implemented		26	Volby po internetu	Měla by být zavedena možnost volit po internetu.	The possibility of internet elections should be implemented
27	Mosque ban	Construction of mosques should be banned in the Czech Republic.		27	Zákaz mešit	V ČR by měla být zakázána stavba mešit.	Mosque building should be banned in Czech Republic.
28	Death penalty	Death penalty should be introduced in the Czech Republic			Trest smrti	V ČR by měl být zaveden trest smrti.	Death penalty should be established in Czech Republic
29		Government should regularly publish salaries and bonuses of senior politicians and officials			Veřejné platy státních úředníků	Stát by měl platy a odměny vrcholných politiků a vysokých státních úředníků pravidelně zveřejňovat.	State should regularly publish salaries and bonuses of leading politicians and Senior Officials
30	EU - USA agreement	The contract on Transatlantic Trade and Investment Partnership between EU and USA should be approved by the Czech Republic			Dohoda EU-USA	Smlouva o "Transatlantickém partnerství pro obchod a investice" (TTIP) mezi EU a USA by měla být v ČR schválena.	The contract on Transatlantic Trade and Investment Partnership between EU and USA should be approved by Czech Republic
31	Gender quotas	Gender quotas should be introduced for senion positions in public offices 		31	Kvóty pro ženy	Pro obsazování vysokých funkcí veřejných úřadů by měly být zavedeny kvóty pro ženy.	There should be implemented quotas for women for the purpose of filling high offices of public authorities.
32	Direct election of the President	President should be elected directly by citizens.		32	Přímá volba prezidenta	Prezident by měl být i nadále volen přímo občany.	President should continue to be elected by citizens.
33	Declaration of assets of politicians	MPs and Senators should be required to declare their assets on the date of taking office		33	Majetková přiznání politiků	Poslanci a senátoři by měli mít povinnost vyplňovat majetková přiznání ke dni nástupu do funkce. 	Members and Senators should be ogbliged to fill propersty statements on the date of taking office
34	Transparent accounting of political parties	Political parties should have the duty to keep transparent accounting			Transparentní účetnictví stran	Politické strany by měly vést povinně transparentní účetnictví. 	Political parties should be obliged to keep transparent accounting
35	Biofuel	Compulsory addition of bio components into fuel should continue.		35	Bionafta	Povinné přidávání biosložek do paliv by mělo být i nadále zachováno.	Compulsory addition of bio components into fuel should continue to be maintained.
36	Lower VAT on food	VAT rate on basic food should be no more than 10%		36	Snížení DPH na potraviny	Sazba DPH na základní potraviny by měla být nejvýše 10 %.	
37					Provatizace Budvaru	Národní podnik Budějovický Budvar by měl být privatizován.	
38	Fiscal sach registers	Fiscal cash registers should be compulsory		38	Registrační pokladny	Měly by být zavedeny tzv. registrační pokladny.	
39	Judges for life	Judges should continue to be appointed for life		39	Soudci doživotně	Soudci by nadále měli být jmenováni do funkce doživotně.	
40	Financial support instead of kindergarten	All children above 3 should be entitled to attend a public kindergarten or their parents should receive financial assistance to care about them in another wya		40	Finanční podpora místo školek	Všechny děti od 3 let by měly mít místo ve veřejné školce nebo jejich rodiče dostat příspěvek na zajištění péče jiným způsobem.	
41	Czech food mandatory	Retail chains should offer a mandatory share of food from Czech producers		41	České výrobky povinně	Obchodní řetězce by měly nabízet povinně předepsaný podíl potravin od českých výrobců.	
42	Excise tax on fuel	Excise tax on fuel should be reduced by at least 1 CZK/liter		42	Snížení daně na benzin	Spotřební daň z pohoných hmot by se měla snížit alespoň o 1 Kč/litr.	
43	Non-banking companies regulation	Loans and credits should provide only entities licensed by the Czech National Bank		43	Regulace ČNB nebankovních společností	Půjčky a úvěry by měly poskytovat výhradně subjekty s licencí od České národní banky.	
44	Tax advantages for older people	Eployees approaching close to retirement age should be tax-advantaged		44	Daňové zvýhodnění pro starší lidi	Zaměstnaní lidé v předdůchodovém věku by měly být daňově zvýhodněni.	
45	Excise tax on alcohol	Excise tax on alcohol beverages should be higher		45	Zvýšení daně na alkohol 	Spotřební daň na alkohol by se měla zvýšit.	
46	Reconstruction of the State	All laws proposed by Reconstruction of the State should be approved within next three years		46	Rekonstrukce státu	Nejpozději do 3 let by měly být schváleny všechny zákony Rekonstrukce státu	
