Timestamp	Strana	Vyplňuje (jméno osoby)	Bezpečnostní kód	1. Měla by být regulována reklama v centru města?	Případný komentář k otázce 1	2. Mělo by být parkování na celém území města zdrama?	Případný komentář k otázce 2	3. Jste spokojeni s celkovým směřováním města za posledních 5 let?	Případný komentář k otázce 3	4. MHD v Trutnově by měla být pro cestující zdarma.	Případný komentář k otázce 4	5. Mělo by město Trutnov zveřejňovat všechny uzavřené smlouvy s firmami na internetu?	Případný komentář k otázce 5	6. Měl by být na Trutnovsku povolen výzkum těžby břidlicového plynu?	Případný komentář k otázce 6	7. Souhlasíte se stavbou parkovacího domu v centru Trutnova?	Případný komentář k otázce 7	8. Mělo by město postavit odbavovací halu na autobusovém nádraží?	Případný komentář k otázce 8	9. Podporujete aktuálně probíhající přestavbu Krakonošova náměstí?	Případný komentář k otázce 9	10. Mělo by město Trutnov více dotovat kulturní dění ve městě?	Případný komentář k otázce 10	11. Jste pro rozšíření sítě cyklostezek ve městě?	Případný komentář k otázce 11	12. Mělo by město věnovat zvýšenou pozornost technickému stavu komunikací v okrajových částech města?	Případný komentář k otázce 12	13. Mělo by město finančně podporovat provoz škol více než doposud?	Případný komentář k otázce 13	14. Mělo by město finančně podporovat Trutnov Open Air Festival?	Případný komentář k otázce 14	15. Mělo by být na některých veřejných místech v Trutnově (nádraží, park atd.) zakázáno pít alkohol?	Případný komentář k otázce 15	16. Jste pro zrušení Městské policie v Trutnově?	Případný komentář k otázce 16	17. Může se město kvůli důležité investici výrazněji zadlužit?	Případný komentář k otázce 17	18. Podporujete rozrůstání města do nově vzniklých okrajových částí?	Případný komentář k otázce 18	19. Měla by být v areálu Na Nivách postavena kuželna?	Případný komentář k otázce 19	20. Mělo by město podpořit vznik dalších supermarketů přicházejících do Trutnova?	Případný komentář k otázce 20	21. Město by mělo stavět další dětská hřiště?	Případný komentář k otázce 21	22. Byli byste pro uspořádání závazného městského referenda v klíčových otázkách?	Případný komentář k otázce 22	23. Měl by Trutnov rozšiřovat městský kamerový systém?	Případný komentář k otázce 23	24. Mělo by město pokračovat v podpoře umisťování uměleckých děl ve veřejných prostorech jako doposud?	Případný komentář k otázce 24	25. Měly by být všechny herny v Trutnově zakázány?	Případný komentář k otázce 25	26. Mělo by město více finančně podporovat trutnovské sportovní a tělovýchovné organizace?	Případný komentář k otázce 26	27. Mělo by město zařídit zvýšení počtu míst ve veřejných mateřských školách?	Případný komentář k otázce 27	28. Souhlasíte s tím, že správa sportovišť byla převedena z TJ Lokomotiva na Městský bytový podnik (nyní Městské byty a sportoviště)?	Případný komentář k otázce 28	29. Mělo by město více investovat na rozšíření počtu míst v domovech pro seniory i za cenu zvýšení výdajů městského rozpočtu?	Případný komentář k otázce 29	30. Měl by být krytý bazén rekonstruován a rozšířen o aquapark?	Případný komentář k otázce 30	31. Přáli byste si zřízení dalších jeslí v Trutnově?	Případný komentář k otázce 31	32. Mělo by v Radničních listech být více prostoru pro názory občanů a opozičních stran?	Případný komentář k otázce 32	33. Měl by Trutnov podporovat vytvoření pobočky další vysoké školy?	Případný komentář k otázce 33	34. Mělo by město zavést automatizovaný systém půjčování kol?	Případný komentář k otázce 34	22. Byli byste pro uspořádání závazného městského referenda v klíčových otázkách?
9/22/2014 4:23:45	Test	Test	123456	Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		Ne		
9/25/2014 21:39:50	Žít v Trutnově - Zelení, LES a Piráti	Martin Jiránek	334056	Ano		Ne		Ne	Tato otázka je z našeho pohledu mimo. Je to nespecifické. Směřování města v průhledností financí? Směřování města z pohledu opravování a renovací?	Ano		Ano		Ne		Ne		Ano		Ano		Ano	Na tuto otázku musí takřka každý člověk říci ano. Co třeba se zeptat, zda by se mělo více dotovat za cenu zadlužování města. Nebo zda by se měla podporovat více alternativní kultura? Nebo zda by měli lidé sami více rozhodovat o tom, na jakou kulturu půjdou jejich peníze?  	Ano		Ano	Opět každý řekne ano. Co třeba se zeptat tak, že ... Máte pocit, že okrajové obce jsou podporovány dostatečně? 	Ano	Opět otázka, na kterou jen absolutní negativista z pohledu vzdělání napíše ne. Co třeba tak, že mělo by město podporovat provoz škol podle toho, který ředitel školy je ve které straně? Nebo co třeba, zda by město mělo podporovat školy nebo alternativní studium (Montessori a Waldorfská škola)?	Ano		Ano		Ne		Ano	Vše je s ohledem na to, zda je město v ekonomické kondici. Nyní jsme kvůli Uffu zadluženi opravdu dost. A co kdyby to nejdřív lidé odsouhlasili v referendu?	Ne	Jakých částí? Nové Dvory nebo průmyslová zóna? Přidat několik domů tam, kde jich již několik je, nebo stavět na zelené louce?	Ne		Ne		Ano		Ano	Jednoznačně.	Ne		Ano		Ano	Poker není hazard.	Ano	Mělo by město více finančně podporovat sport v Trutnově, pokud to budou odsouhlasovat obyvatelé v referendech?	Ano		Nevíme / nemáme jednotný názor	Pro běžného voliče je to nejasná otázka. Nevidíme výhody ani nevýhody.	Ano		Ne	Napište zde, kolik by to stálo. Žít v Trutnově přitáhnout turisty do aquaparku podporuje, ale ne za cenu 2 miliard. Navíc ten popisek velmi silně ovlivňuje čtenáře pro stavbu. Atraktivní pro občany, úspěšný oddíl... Žít v Trutnově říká ne, protože na to nyní nemáme.	Ano		Ano		Ano		Ano		
9/26/2014 14:23:26	Test	Test	222222222	Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Ano		
9/26/2014 21:15:13	ODS 	Ivan Adamec 	763215	Ne	Naopak. V centru města mají živnostníci ztížené podnikání (kvůli parkování apod.). Nevidím důvod, proč reklamu omezovat. 	Ne	Parkovné se neplatí pro zisk do městské pokladny, ale z důvodů regulace.	Ano	Jsem spokojen s vývojem města za posledních 24 let. Samozřejmě je stále co zlepšovat 	Ne	V životě není nic zadarmo. 	Ano	Ano, argumenty odpůrců mi nevadí. Spíše mi vadí administrativní náročnost malých zakázek. 	Ne	V dnešní době je tento problém již irelevantní. 	Nevíme / nemáme jednotný názor	Nevím, jaké místo máte na mysli. Ale pokud se jedná o parkovací dům v souladu s územním plánem, tak ano. 	Ano	Ano, ale nemělo by ji financovat. Tato aktivita je již dávno připravena. Chybí pouze investor. 	Ano		Ne	Podpory není nikdy dost, ale záleží na aktuálním stavu rozpočtu. 	Ano	Také jsem pro rozšíření drah pro in-line brusle a lyže. 	Ano	Ano, již se tak děje – pokud jsou komunikace městské. 	Ne	Díky dobrému hospodaření jednotlivých škol zbylo na investice dost peněz. Školským pracovníkům bych přidal více peněz, ale bohužel je platí stát. 	Ne		Ne		Ne		Ano	Výjimečně ano a nesouhlasím s tím, že se město výrazně zadlužilo. 	Nevíme / nemáme jednotný názor	Nerozumím otázce. 	Ano		Ne	Město toto nikdy aktivně nepodporovalo. 	Ano		Ne	V zastupitelských otázkách mám vážné pochybnosti o účelnosti referenda. Nežijeme ve Švýcarsku, kde je referendum základem demokracie. 	Ano	Spíše ano, v lokalitách se zvýšeným potenciálem kriminality. 	Ano		Ne	Zkušenosti s prohibicí či s úplným zákazem čehokoliv jsou alarmující. 	Ne	Opět záleží na výši rozpočtu.	Ne	Trutnov je jedno z mála měst, které má převis v počtu mateřských škol. 	Ano		Ne	Máme dostatek zařízení DPS i vlastní domov důchodců. 	Ne	Typický aquapark tu nebude nikdy. Dokážu si představit rekonstrukci krytého bazénu, přidání toboganu a vířivky. 	Ne		Ne	V našem městě jsou Radniční listy pouze informačním zpravodajem, a ne prostorem pro výměnu názorů. 	Ano		Ano	Proč ne? 	
9/26/2014 21:39:41	Úsvit přímé demokracie	Václav Török	604508	Ano	Ano, historické centrum města s pěší zónou by měli být regulovány.	Ne	Ne, již v dnešní době je parkování regulováno poplatkem. V případě zrušení poplatku by bylo centrum plné aut. Zhoršila by se celková dopravní situace v centru města.	Ne	Nejsme spokojeni. Město je zadlužené a chybí peníze na větší investice do infrastruktury v okrajových částech města.	Ano	Děti do 15 let ZDARMA a důchodci nad 65 let ZDARMA.	Ano	Ano, všechny smlouvy a výběrová řízení by měla být jednoduše dostupná na internetu. Jedná se o jeden z klíčových bodů našeho volebního programu.	Ne	Rozhodně jsme proti jakékoliv těžbě břidlicového plynu na Trutnovsku.	Ano		Ano	Ano, prosazujeme výstavbu odbavovacího terminálu autobusového nádraží v Trutnově. jedná se o jeden z klíčových bodů našeho programu.	Ne		Ne	Stávající dotace jsou plně dostačující.	Ano	Ano jsme pro rozšíření cyklostezek a stezek pro in-line bruslaře a jsme pro zkvalitnění povrchu na této stezce co vede ze Zelené louky až ke psímu útulku.	Ano	Komunikace v okrajových částech města jsou hodně zanedbané a podfinancované.	Ano		Ne		Ano		Ne	Městská policie plní svoji úlohu výborně a skvěle sekunduje státní policii.	Ne	V současné době splácí město cca 250 mil. Kč dluhů, další dluhy již nebudeme tolerovat.	Ano	Jedná se o jeden z klíčových bodů našeho programu, rozvoj města a podpora zvyšování počtu obyvatel.	Ano		Ne	V současné době je v Trutnově dostatečné množství supermarketů a hypermarketů. Pro další již vzhledem ke kupní síle obyvatel Trutnova není prostor.	Ano	Ano, současné vedení nepodporovalo výstavbu dětských hřišť, jediné hřiště vysoutěžili obyvatelé Trutnova v soutěži řetězce Lidl.	Ano	Pro Hnutí Úsvit přímé demokracie se jedná o klíčové téma. O důležitých věcech by měli rozhodovat sami občané v referendu a ne politici.	Ano		Ano		Ne		Ano		Ano		Ano		Ano		Ano		Ano		Ano	Ano v současné době nemají opoziční strany žádný prostor a jakýkoliv projev, který není v souladu se současnou vládnoucí garniturou je těžce potlačován. k tomu potlačování je používáno i soukromé médium financované z městských peněz.	Ano		Ne		
9/28/2014 20:37:34	ČSSD	Roman Hásek	360251	Ano		Ne		Ano	S výhradami k některým finančním záležitostem - např. podfinancování provozních rozpočtů škol, financování sportu, prodej pozemků. Některé kauzy jsou nejasné a neprůhledné.	Ano		Ano		Ne		Ne	Město by spíše mělo motivovat občany k nepoužívání osobních automobilů. Snížit počet aut ve městě může MHD pro občany Trutnova zdarma a podpora cyklistů.	Nevíme / nemáme jednotný názor		Ano		Ne	Částka je dostatečná.	Ano		Ano	Především by město mělo věnovat pozornost těm komunikacím, které jsou nejvíce využívány.	Ano	A motivovat ředitele škol k řádné a důsledné údržbě budov.	Ne		Ano		Ne		Ne		Ano		Nevíme / nemáme jednotný názor		Ne	Město by mělo nyní podpořit místní podnikatele, kteří mohou poskytnout stejnou službu, vytváří rovněž pracovní místa a zisky zůstávají v Trutnově.	Ano		Ano		Ne		Ano		Ano	Zákazu musí předcházet řešení výpadku 18 miliónů pro město.	Ano	Spravedlivě, podle jasných pravidel a ty sportovní kluby, které pečují o děti a mládež.	Ano	Ale pouze v případě, že bude předem jasný převis poptávky. Počet dětí bude demograficky klesat, spíše jsme pro prodloužení provozní doby ve vybraných odděleních.	Ano		Ano	Počet seniorů bude narůstat a město má povinnost vytvářet jim důstojné podmínky.	Ano	Může k tomu město využít i jiné prostředky než jenom městské.	Ano		Ano	Jednoznačně.	Ano		Ano		
9/30/2014 14:51:02	ANO 2011	Roman Chromý	323027	Ano		Ne		Ne		Ne		Ano		Ne		Ano		Ano		Ne		Ano		Ano		Ano		Ano		Ano		Ano		Ne		Ne		Ano		Ano		Ne		Ano		Ne	Je třeba najít jiný systém než referendum. Názor občanů je v každém případě potřebný.	Ano		Ne		Ano	Je nutná regulace heren a provést všechna dostupná možná opatření jejich kontroly.	Ano		Ano		Ne		Ano		Ne	V současné době jsou jiné důležitější investice, do budoucna je možné realizovat.	Ano		Ano		Ano		Ano		
9/30/2014 16:42:51	Úsvit přímé demokracie s podporou politické strany Domov	Václav Török	604508	Ne	Regulace reklamy ve městech, je jako regulace svobodného podnikání. Jsme pro citlivou kompozici reklamních ploch v centrech měst. 	Ne	Trutnov by se neměl stát odstavným parkovištěm pro celý region. Chce to však zvážit, kde jsou placené zóny nutné a kde se jedná o šikanu rezidentů. 	Ne	Město se hodně posunulo, netroufli bychom si tvrdit, že k posunu nedochází, přesto se domníváme, že přirozeným vývojem by k posunu docházelo za jakékoliv vlády na radnici. Kontroverzní otázky však řešeny nebyly, nebo byly řešeny v tichosti. 	Ano	MHD zdarma je názorový proud, který se postupně šíří Evropou a setkává se s větším pochopením. Jde o službu občanům která sice zatíží více městský rozpočet, ale pozitivně se podepíše na uvolnění zatížených komunikací ve městě a především na životním prostředí. Vždyť Trutnov je podhorské město ve 3. zóně národního parku. MHD zdarma by však měli mít především rezidenti a hlavně občané bez jakéhokoliv dluhu vůči městu. 	Ano	Transparentnost radnice by měla být samozřejmostí. Firmy, které obchodují s radnicí by měly podepisovat souhlas se zveřejňováním informací ohledně městských zakázek. 	Ne	Bohatství v našem regionu nespočívá v těžbě, ať už břidlicového plynu, či uhlí. V moderní době by se trutnovsko mělo zaměřit na nabídku služeb a elektrotechnickou výrobu, než na těžbu. 	Ano		Ano	Odbavovací hala by určitě měla být přínosem pro autobusové nádraží hlavně v zimních měsících, ale nemělo by to být prioritou v tomto volebním období. 	Ano		Ano	Trutnov jako spádová oblast v okruhu 30 km by měla být jakousi kulturní ikonou regionu. Město bez kulturního dění je mrtvé město. Sice v Trutnově živíme z peněz radnice novou divadelní budovu, ale bez stálého divadelního ansámblu. 	Ano	Neměli bychom se obávat investic do rozvoje města a volnočasových aktivit. Díky právě takto nedotaženým projektům ztrácíme především mladší generaci, která odchází jak za výdělkem, studiem, nebo lepším žiotem do větších měst. Pokud budou v Trutnově spokojeni, pak se nám alespoň podaří tento odliv zbrzdit. 	Ano	Určitě, není to jen otázka pohodlí, ale také otázka bezpečnosti. Nejen klíčové tahy je třeba udržovat. Např. silinice z Volanova na Staré Buky je jedna z nejnebezpečnějších silnic v našem regionu a její technický stav neodpovídá vytíženosti této komunikace. 	Ano	Podpora školství je základní programovou tezí našeho hnutí. 	Ne	Vzhledem k tomu, že se jedná o ryze komerční akci s dlouholetou tradicí, není nutné ji ještě finančně podporovat. Stačí, že díky OAF je nutné vynakládat finanční prostředky pro zvýšení bezpečnosti ve městě, úklid, atp...	Nevíme / nemáme jednotný názor	Pokud není ohrožena bezpečnost lidí v těchto lokalitách, pak ne. Jednalo by se o zasahování do osobních svobod těchto lidí. V případě překročení zákona by však měla zasáhnout především Policie ČR. Tyto lokality by však měly být monitorovány. 	Ne	Městská policie je nezbytností u tak velkého města, jako je Trutnov. Policie ČR by rozhodně nedokázala převzít povinnosti Městské policie v takovém rozsahu, v jakém na území města působí. 	Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Ne	Měli bychom především podpořit rozvoj malého a středního podnikání na území města. Obchodní centra jako všude v Evropě patří na periferii města a jsme rádi, že současná radnice se této myšlenky drží. 	Ano		Ano	Jedná se o klíčovou programovou prioritu našeho hnutí. Referendum je možnost, kterou nabízíte občanům města, podílet se na klíčových rozhodnutích. Prozatím je tato výsada přiřknuta pouze politickým stranám a jejich aparátům. 	Ano	Bezpečnost obyvatel je důležitá a kamerový systém  by měl napomáhat při odhalování trestné činnosti. Neocenitelný by tento systém byl při festivalech,  které na území města probíhají. 	Ano		Nevíme / nemáme jednotný názor	tato zařízení by měla být vytlačována z centra města a především by neměla být vydána povolení pro provoz těchto podniků v blízkosti škol a zdravotnických zařízení. 	Ano		Nevíme / nemáme jednotný názor	Současný stav by mohl být vyhovující a měl by odolávat kolísání demografické křivky. Důležitý by měl být návrat k pravidlům, která již dříve fungovala a to umístit do mateřských škol především děti ze spádové oblasti (obvodu) a v případě potřeby zamezit možnost výběru lokality mateřské školy. 	Ne	Centralizací těchto organizací pod jeden mocenský vliv nahráváme korupčnímu prostředí. 	Ano	Díky stárnutí populace je nezbytné mít sociální instituce, které se o seniory postarají. 	Ne	Krytý bazén i přes své stáří patří k nejlépe vybavenému sportovnímu zařízení v kraji. Vzhledem k tomu, že bazén prošel rekonstrukcí letos v létě (oprava oken), není nutné přestavovat bazén do jiné podoby. Jedinou investici, kterou by bazén zvládl by bylo do strojové části krytého bazénu. A potřebu aquaparku v Trutnově nevidíme. Na třicetitisícové město tuto úlohu plní městské koupaliště. 	Nevíme / nemáme jednotný názor		Nevíme / nemáme jednotný názor		Ano	Jedná se o nástroj, který by mohl do Trutnova přinést nejen evropské dotace, ale především investory, kteří shánějí kvalifikovanou pracovní sílu. Díky těmto pobočkám vytváříme potenciální prostředí pro nábor těchto investorů. 	Nevíme / nemáme jednotný názor	není to pro nás prioritou v tomto volebním období. 	
10/2/2014 15:45:15	Žít v Trutnově - Zelení, LES a Piráti	Martin Jiránek	334056	Ano	Do centra města billboardy a další obří reklamy podle nás nepatří. Ničí to ducha místa - genius loci. Stejně tak jsme pro omezení billboardů podél silnic.	Ne	Na vybraných místech má svůj smyl.	Ne	Za posledních 16 let se systém vládnutí ve městě nezměnil. Společnost se ohromným způsobem posunula, přišel například internet, ale v Trutnově se stále vládne jako v devadesátých letech. Žádná transparentnost rozpočtu, žádné průhledné veřejné zakázky, žádná referenda a aktivní účast občanů na rozdělování společných peněz. To chceme přinést.	Ano	Prosazovali jsme to již v minulých volbách. V městech, kde to zavedli, převažují výrazně pozitiva nad negativy. 	Ano	Samozřejmě. Je to stěžejní bod našeho programu. V jiných městech díky tomu ušetřili 10-25%, ale u nás v Trutnově se to neřeší. Pro současné vedení města je lepší rozdělovat smlouvy spřáteleným firmám než průhledné a transparentní hospodaření.	Ne	Samozřejmě, že ne. Devastovat Podkrkonoší kvůli plynu je nesmysl. Navíc je podle našich studií těžba ekonomicky nerentabilní.	Ne	Myslíme si, že bezplatné MHD sníží počet aut ve městě, takže nebude třeba parkovací dům vůbec stavět. Navíc jeho cena by určitě nebyla malá.	Ano	Město mělo nasměrovat pana architekta Vokatého k tomu, aby místo kovových konstrukcí všude kolem, raději věnoval pozornost tomu ,aby si lidé mohli někam odskočit a v zimě si někam sednout.	Ano		Ano	O kulturním dění by především měli více rozhodovat sami Trutnováci a ne několik lidí na městě. Proto chceme prosadit participativní rozpočet tak, aby o části peněz na kulturu a sport rozhodovali sami Trutnováci.	Ano	Jsme pro. Podle nás cyklostezka podporuje sportovní aktivity a umožňuje Trutnovákům nepoužívat auto.	Ano	Záleží však vždy na to, jak je to ekonomické a jak moc je daná komunikace využívána. 	Ano	Z našeho pohledu je třeba využít městských financí na vzdělání v jiných oblastech než jen těch, které jsou předepsány osnovami. Proto chceme v Nároďáku vytvořit Inovační centrum podnikání, které budou moci využívat i studenti a školy a kde se budou studentům představovat informace z různých podnikatelských oborů.	Ne	Mělo by ho podporovat marketingově, informačně, ale ne finančně. 	Ne	To, že se to zakáže neznamená, že se tam nebudou shromažďovat podnapilí z okolí. Zákaz v tomto případě prostě nic moc neřeší.	Ne	Nejsme, ale jsme pro její zefektivnění ve prospěch občanů. Určitě nám nepřijde vhodné, aby policisté strašili babičky s dvoukilovými pejsky, že jim dají pokutu, pokud si ho na trávníku před panelákem nepřivážou na vodítko. Určitě však chceme odstranit propojení platů městských strážníků s vybranými pokutami. 	Ano	Ale tato investice musí zcela jasně generovat zisk nebo jasný přínos pro město. 	Ne	Určitě ne do volné přírody, která je navíc v zorném poli při výhledu na Krkonoše, jak se to stalo v případě hypermarketu Tesco.	Ne	Ne. Nemusíme kvůli tomu kácet desítky stromů, když máme jiné prostory, kam ji umístit. Například celý sportovní areál. 	Ne	Ani náhodou. Supermarkety oslabují místní firmy, zvyšují nezaměstnanost a odvádějí peníze z města. Město by mělo naopak podporovat naše místní trutnovské firmy.	Ano	Ano, ale mělo by se zaměřit i na hřiště a malá sportoviště v okrajových částech města pro sportovně založené dospělé. 	Ano	Ano, jednoznačně. Nyní se člověk může vyjádřit k důležitým otázkám pouze jednou za 4 roky u voleb. Chceme, aby lidé mohli častěji rozhodovat o tom, kam jdou jejich peníze a kam bude směřovat město Trutnov.	Ne	Současný systém je dostačující a navíc se neefektivně využívá. Když byla zničena socha Krakonoše na náměstí, kamera ho sice zaznamenala, ale žádný strážník nebyl na služebně, takže pachatele se nepovedlo dopadnout. 	Ano		Ano	Máme na mysli výherní automaty a videoterminály. 	Ano	O sportu by především měli více rozhodovat sami Trutnováci a ne několik lidí na městě. Proto chceme prosadit participativní rozpočet tak, aby o části peněz na sport rozhodovali sami Trutnováci. Jen sami Trutnováci vědí, které sporty je baví. Úředník na městě to vědět nemůže a tak rozhoduje často podle kontaktů a známostí.	Ano		Nevíme / nemáme jednotný názor	Jelikož se ještě neukázala ani pozitiva ani negativa, tak nemůžeme rozhodnout.	Ano	Ano. Je třeba se o seniory důstojně postarat.	Ano	Ale nesmí to město zadlužit víc, než je nyní a navíc to musí být marketingově zaměřeno tak, aby aquapark přitáhl i turisty z hor a podpořil tak místní podnikatele.	Ano		Ano	Ano, protože nyní tam nejsou žádné. Platí se z daní všech, ale jsou zde jen komentáře pana starosty a místostarostů.	Ano	Určitě. Vzdělání Trutnováků je pro budoucnost města velmi důležité. 	Ano	Podpořit vše, co podpoří Trutnováky v tom, nejezdit po městě autem, se určitě dlouhodobě vyplatí. 	
10/4/2014 15:30:35	TOP09 Trutnov	Silvie Šidáková	802814	Ano	Rozhodně o tématu diskutovat, velké billboardy bychom omezili, u reklam bychom rádi hodnotili konkrétní projekty, neradi bychom ale bránili podnikatelům v sebeprezentaci,.	Ne	Domníváme se, že by parkování zdarma být nemělo, ale obyvatelé města by měli mít možnost nějakých rezidenčních karet za určitou částku, o které lze diskutovat.	Nevíme / nemáme jednotný názor	Celkově posledních let vidíme spíše jako odklon od naší představy prosperity města založené zejména na místním podnikání, zvýšení turistické atraktivnosti a podpory zajímavých alternativních projektů např. v kultuře a příklon k megalomanským projektům typu průmyslová zona..ve kterém nevidíme růst prosperity obecně. 	Ne	Nedomníváme se, že by lidé jezdili méně automobily proto, že je MHD příliš drahá.	Ano	Určitě ano, je to základ normální funkčnosti každého úřadu	Ne	Přírodní podmínky nejsou k tomuto typu těžby vhodné. 	Ano	Parkování v Trutnově je nutno řešit.	Ne	Vzhledem k současné finanční situaci města bychom to nepodporovali, ale do budoucna bychom zvažovali vybudování veřejného WC, které by na nádraží být mělo. 	Ano		Ne	Částka je to vysoká, ale domníváme se, že by bylo dobré ji trochu jinak strukturovat.	Ano	Bezpochyby je to trend, který podporujeme. 	Ano	Město by mělo věnovat pozornost stavu komunikací, za které je zodpovědné.	Ne	Finanční podpora se nám zdá dostatečná. Město by především mělo využívat tvůrčí potenciál učitelů. Zdaleka ne na vše jsou třeba peníze, některé věci potřebují jen dobrý nápad a podporu z města.	Nevíme / nemáme jednotný názor	Každou akci, která do Trutnova přivádí návštěvníky z jiných regionů by mělo město podporovat, pokud to není pro obyvatele města příliš diskomfortní.	Ne	Takový zákaz by musel vycházet z přání  většiny obyvatel města	Ne		Ne	Nezdá se nám to vhodné. Zadlužovat by se mělo město stejně jako jednotlivec či rodina v případě investic u nichž lze očekávat návratnost, nebo tam kde nesnese situace odklad.	Ne	Raději  bychom investovali do existující rozlohy města, zejm zlepšováním infrastruktury	Ne	Rozhodně ne za peníze města	Ne		Ano	Bezpochyby, ty ve městě hodně chybějí	Ano		Ano	není třeba se s ničím skrývat	Ano	po velice podrobné diskusi s odborníky 	Ano	Určitě by měla být možnost, aby se občané vyjádřili k tomu, zda hazard ve městě chtějí nebo ne. Vše se penězi zaplatit nedá	Ne	Měla by se především podporovat sportovní aktivita obyčejných občanů. Sportovci ke svému vyžití mají dostatek možností. Naproti tomu občané nemají takřka žádné. Je třeba podporovat chůzi a vybudovat cvičební a relaxační zóny, to je hlavní přínos sportu pro člověka. 	Ano	v době , kdy bude méně dětí se dá prostor využít opět pro aktivity dětí. 	Ne		Ano	Obyvatelstvo stárne a s tím se vynořují nová témata 	Ne		Ano		Ano	Obyvatelé v by měli být informování o všech tématech, i těch pro vedení města negativních 	Ne		Ano	Záleželo by na nákladech , ale jinak hezký nápad, který se prověřil v jiných městech. 	
