ID	jméno otázky	otázka (max 20 slov)	popis (nepovinný, max 50 slov)	pořadí
1	Regulace reklamy	Měla by být regulována reklama v centru města?	Podlě některých názorů nezapadá reklama (např. obří LCD obrazovka v pěší zóně) do charakteru historického centra města. Regulací reklamy by ale město zasáhlo podnikatelům do možnosti svobodné inzerce.	1
2	Parkování zdarma	Mělo by být parkování na celém území města zdrama?	Zavedení parkování zdarma by pravděpodobně vedlo k nadužívání parkovacích míst a připravilo by město o část finančních zdrojů (cca 5 milionů Kč z celkových zhruba 535 milionů Kč příjmů rozpočtu)	2
3	Poslední vývoj města	Jste spokojeni s celkovým směřováním města za posledních 5 let?		3
4	MHD Zdarma	MHD v Trutnově by měla být pro cestující zdarma.	Město nyní přispívá společnosti OSNADO 8,5 milionu Kč ročně, MHD zdarma by vyšla zhruba na jeden a půl- až dvojnásobek.	4
5	Transparentnost smluv	Mělo by město Trutnov zveřejňovat všechny uzavřené smlouvy s firmami na internetu?	Zastánci argumentují zvýšením transparentnosti a s tím spojenými úsporami. Odpůrci naopak upozorňují na citlivost některých zveřejňovaných informací o společnostech, které mají s městem uzavřené smlouvy. Zdali by např. nájemní smlouvy s jednotlivci měly výjimku, by bylo věcí konkrétního návrhu.	5
6	Břidlicový plyn	Měl by být na Trutnovsku povolen výzkum těžby břidlicového plynu?	Podporovatelé argumentují především zvýšením bohatství regionu, odpůrci ekologickými důsledky těžby. Tato otázka se týká povolení geologického výzkumu, nikoli těžby samé, a to v širším okolí regionu.	6
7	Velkokapacitní parkoviště	Souhlasíte se stavbou parkovacího domu v centru Trutnova?		7
8	Odbavovací hala	Mělo by město postavit odbavovací halu na autobusovém nádraží?		8
9	Přestavba náměstí	Podporujete aktuálně probíhající přestavbu Krakonošova náměstí?	Krakonošovo náměstí prochází dlouhodobou rekonstrukcí. Podporujete současnou rekonstrukci a vzhled Krokonošova náměstí v zamýšleném historickém rázu?	9
10	Financování kultury	Mělo by město Trutnov více dotovat kulturní dění ve městě?	Z prostředků města se nyní dotuje například provoz a akce Společenského centra Uffo, trutnovská Galeria draka či muzeum (celkem cca 50 milionů Kč ročně z celkových zhruba 540 milionů výdajů rozpočtu).	10
11	Rozšíření sítě cyklostezek	Jste pro rozšíření sítě cyklostezek ve městě?	Cyklostezka spojující Poříčí s HSM je poměrně hojně využívána. Její další rozšíření by ovšem zatížilo městský rozpočet.	11
