id	short_sk	short_en	question_sk	question_en	descr_sk	descr_en	vote_id	bill_id	polarity	source	
1	Ochrana rodiny a manželstva	Protection of the family and marriage	Hlasoval/a by som za ústavný zákon, ktorým sa zakotvuje, že manželstvo je jedinečným zväzkom jedného muža a jednej ženy.	Would you vote for a constitutional law declaring that marriage is a unique relationship between one man and one woman?	Návrh ústavného zákona zakotvuje výlučnosť manželstva ako zväzku medzi jedným mužom a jednou ženou. Podľa zástancov zákona hrozí v súčasnosti oslabovanie inštitútu rodiny v jej tradičnej podobe, a preto je potrebná jej zvýšená právna ochrana. Kritici tvrdia, že zákon je v skutočnosti namierený proti sexuálnym menšinám a ich právam.	The bill defines marriage as a union of one man and one woman. Proponents say that the traditional institution of marriage is in danger now and therefore its legal protection is necessary. Opponents say that the bill is aimed against sexual minorities.	34039	921	1		
2	Štátny rozpočet na rok 2015	2015 state budget	Hlasoval/a by som za štátny rozpočet na rok 2015.	Would you vote for the 2015 state budget?	Schodok štátneho rozpočtu na rok 2015 predstavuje sumu 2 milióny eur. Podľa zástancov schválený rozpočet podporuje plán dosiahnuť v roku 2017 vyrovnaný rozpočet a zohľadňuje financovanie v oblastiach ako je zamestnanosť a školstvo. Podľa kritikov návrh štátneho rozpočtu predpokladá zvyšovanie daní a odvodov, zadlžovanie a zhoršenie podnikateľského prostredia.	The proposal of the state budget includes a debt of 2 million EUR. Proponents say that the proposal aims at a balanced budget in 2017 and includes fiscal incentives for employment and education. Opponents say that the budget is based on an increase of taxation and will therefore lead to economic stagnation.	34971	1170	1		
3	Vyslovenie nedôvery premiérovi SR	Vote of no confidence	Hlasoval/a by som sa vyslovenie nedôvery premiérovi Robertovi Ficovi.	Would you vote no confidence to the Prime Minister Robert Fico?	Podľa zástancov návrhu nie je premiér Robert Fico schopný, ani ochotný riešiť systémové problémy súvisiace s korupciou a vplyvom klientelistických skupín na hospodárenie štátu. 	Proponents of the vote say that the Prime Minister is not willing and able to deal with systemic corruption and clientelism and their impacts on the economy.	34825	1303	-1		
4	Výsluhové dôchodky príslušníkov ŠTB	Pensions of former State Security members	Hlasoval/a by som sa plošné zdanenie výsluhových dôchodkov bývalých príslušníkov štátnej bezpečnosti vo výške 50 %.	Would you vote for 50 % taxation of pensions of communist State Security's former members?	Zástancovia považujú za nespravodlivý stav, kedy aj po 25 rokoch od Nežnej revolúcie tieto osoby poberajú vysoké výsluhové dôchodky. Podľa kritikov by implementácia zákona v praxi bola zložitá z právneho hľadiska.	Proponents say that it is immoral that members of the State Service still collect large retirement pensions. Opponents say that the implementation of the law would be difficult.	35072	1291	1		
5	Prekvalifikovanie štatútu zvierat	Reclassification of the animal status	Hlasoval/a by som za to, aby zviera nebolo chápané podľa zákona ako vec, ale ako bytosť obdarená zmyslami.	Would you vote for a proposal that animals would not be seen as a thing but as a living being endowed with senses?	Návrh zákona upravuje postavenie akéhokoľvek živého zvieraťa ako živej bytosti, ktorá má práva. Podľa kritikov by zviera malo zostať z právneho hľadiska vecou, pretože v opačnom prípade by už nemohlo byť predmetom právnych vzťahov.	The bill stipulates that all animals are living beings with certain rights. Opponents of the bill say that animals should not be legally defined as such because they could then not be subjected to legal transaction.	35075	1247	1		
6	Rozvod prostredníctvom notára	Divorce via a notarial decree	Hlasoval/a by som za uzákonenie rozvodov prostredníctvom notárskej zápisnice v prípade dohody oboch manželov.	Would you vote for a bill permitting divorce via a notarial decree in case of agreement of both spouses?	Návrh zákona má za cieľ zjednodušiť možnosť rozvodu prostredníctvm notárskej zápisnice za predpokladu, že sa obaja manželia dohodnú a pod podmienkou, že manželstvo trvalo minimálne rok a manželia nemajú deti, alebo sú tieto deti plnoleté.	The bill introduces an option of an easier divorce via a notarial decree, assuming both spouses agree, the marriage lasted for over one year and there are no adult children.	35083	1232	1		
7	Zmena štátnych sviatkov	National holidays	Hlasoval/a by som za zaradenie 28. októbra (Dňa vzniku samostatného československého štátu) medzi štátne sviatky.	Would you vote for an inclusion of October 28th (Independent Czechoslovak State Day) into the public holiday list?	Účelom návrhu zákona je zaradenie 28. októbra (Dňa vzniku nezávislého československého štátu) medzi štátne sviatky pod názvom Deň úcty k dielu M.R. Štefánika – vznik samostatného česko-slovenského štátu. Zástancovia argumentujú, že bez vzniku spoločného štátu Čechov a Slovákov by nebol možný neskorší vznik samostatnej SR. Podľa kritikov návrhu je dôležitejším dňom 30. október, keď sa Slováci prihlásili k idee spoločného štátu prostredníctvom Martinskej deklarácie.	The bill includes October 28th (Independent Czechoslovak State Day) into the list of state holidays as the Day of M. R. Stefanik Remembrance. Proponents say that without the existence of Czechoslovakia, consequent creation of the independent Slovakia would not be possible. Opponents say that October 30th when the Slovaks subscribed to the idea of the Czechoslovak state should be celebrated instead.	34796	1235	1		
8	Zákon o dani z príjmu	Income tax laws	Hlasova/a by som za novelu zákona o dani z príjmu.	Would you vote for changes in the income tax laws?	Novela zákona o dani z príjmov zavádza zmeny v odpisoch pre podnikateľov. Podľa zástancov je jej účelom konsolidácia verejných financií a zvýšenie daňovej spravodlivosti. Podľa kritikov novely ide iba o skryté zvyšovanie daní. Novela je navyše nekoncepčná a zhoršuje podnikateľské prostredie.	The bill includes decreases the extent of tax breaks for small businesses. Proponents say that it will increase income of the state budget. Opponents say that higher taxes for businesses will negatively impact the economy.	34795	1123	1		
9	Ochrana vodných zdrojov	Water resources protection	Hlasoval/a by som za ústavný zákon, ktorým sa zakazuje preprava vody do zahraničia.	Would you vote for a constitutional bill prohibiting transport of water abroad?	Návrh ústavného zákona zakazuje prepravu vody z vodných zdrojov nachádzajúcich sa na území SR. Zákaz sa nevzťahuje na balenú pitnú a minerálnu vodu a na humanitárnu pomoc. Podľa zástancov je účelom zákona ochrana vody pre ďalšie generácie. Kritici tvrdia, že zákon umožňuje ľahšiu privatizáciu vody a jej predaj bez súhlasu občanov.	The bill bans transportation of water from water sources located in Slovakia. The ban does not apply to packaged water and to humanitarian aid. Proponents say it will help to protect water sources for future generations. Opponents say that it in fact simplifies privatization of water sources.	34685	1110	-1		
10	Zákaz nedeľného predaja	Closed shops on Sunday	Suhlasil/a by som, aby bol počas sviatkov a nedieľ zakázaný maloobchodný predaj.	Would you agree to prohibit shops from being open on Sunday?	Zástancovia návrhu argumentujú, že súčasťou európskej kultúry je voľná nedeľa, ktorá má služiť na oddych a trávenie času s rodinou, pričom vo viacerých európdkych štátoch je nedeľné voľno chránené zákonom, resp. ústavou (Švajčiarsko, Nemecko). Podľa kritikov tento návrh obmedzuje ekonomickú i osobnú slobodu a mal by negatívny dopad na ekonomiku a zamestnanosť.	Proponents say that free Sunday is a part of European culture and that it is legally protected in many countries (e.g. Switzerland, Germany). Opponents say that the bill restricts the freedom of economic activity and will have negative impacts on the economy and employment.	34806	1187	-1		
