id otázky (už neměnit!)	Znění otázky pro kandidáta	Znění otázky pro uživatele	Doprovodný text	Pořadí (dlouhá)	Pořadí (krátká)	Název otázky	2. kolo - liší se	2.kolo pořadí
1	Plynně hovořím alespoň dvěma cizími jazyky.	Hlava státu by měla hovořit plynně alespoň dvěma cizími jazyky.		8	6	Dva cizí jazyky		
2	Armáda ČR by se měla účastnit zahraničních vojenských misí.	Armáda ČR by se měla účastnit zahraničních vojenských misí.	Armáda ČR se může účastnit zahraničních vojenských misí, a to zejména na základě členství ČR v NATO. Podle zastánců je podpora spojenců důležitá pro zajištění obrany ČR, podle odpůrců mohou být zahraniční mise nelegitimní.	38	23	Armáda v zahraničí		
3	Měla by se zvýšit daňová progrese daně z příjmů u lidí (tj. vyšší sazba daně pro vyšší příjmy).	Měla by se zvýšit daňová progrese daně z příjmů u lidí (tj. vyšší sazba daně pro vyšší příjmy).	"V ČR existuje „jednotná daň z příjmu 15 %“. Díky slevě na poplatníka ovšem jde ve skutečnosti o daň mírně progresivní. Podle zastánců je tato ""rovná daň"" spravedlivější, odpůrci naopak považují za spravedlivější progresivnější zdanění. Názor hlavy státu je důležitý, protože může vetovat související zákony."	4		Daňová progrese	1	5
4	Jako hlava státu budu pořádat veřejná výběrová řízení na členy Bankovní rady České národní banky.	Hlava státu by měla pořádat veřejná výběrová řízení na členy Bankovní rady České národní banky.	Prezident může jmenovat členy Bankovní rady České národní banky podle svého rozhodnutí. V některých zemích se na členy vedení centrálních bank pohlíží jako na nepolitické odborníky, a proto jsou vybíráni pomocí výběrového řízení.	36	4	Bankovní rada ČNB - Výběrová řízení	1	24
5	ČR by se měla připojit k Evropskému stabilizačnímu mechanismu.	ČR by se měla připojit k Evropskému stabilizačnímu mechanismu.	Evropský stabilizační mechanismus je fond finanční asistence pro země platící eurem. Podle zastánců jde o nástroj boje proti přílišnému zadlužení evropských zemí, podle odpůrců je neúměrně nákladný a zvyšuje politický vliv orgánů EU na členské státy.	5	22	Evropský stabilizační pakt	1	23
6	Mělo by se začít platit školné na veřejných vysokých školách.	Mělo by se začít platit školné na veřejných vysokých školách.	Na veřejných vysokých školách v ČR se neplatí školné. Studenti si ovšem platí ubytování, stravu, pomůcky i některé povinné školní poplatky. Podle zastánců školné umožní rozvoj vysokých škol, podle odpůrců omezí přístup ke vzdělání zejména sociálně slabším studentům. Názor hlavy státu je důležitý, protože může vetovat související zákony. 	6		Školné na VŠ	1	7
7	Jako hlava státu bych ocenil(a) bratry Mašíny státním vyznamenáním.	Jako hlava státu bych ocenil(a) bratry Mašíny státním vyznamenáním.	Bratři Mašínové se po roce 1948 zapojili do ozbrojeného boje proti komunistickému režimu. Podle jejich zastánců jde o hrdiny odboje, podle odpůrců jsou jejich násilné činy nemorální.	7	5	Bratři Mašínové	1	4
8	Odmítl(a) bych jmenovat vládu, v níž by byli ministři nominovaní KSČM.	Jako hlava státu bych odmítl(a) jmenovat vládu, v níž by byli ministři nominovaní KSČM.		1	1	Ne vládě s ministry z KSČM		
9	Regulační zdravotnické poplatky by měly být zrušeny.	Regulační zdravotnické poplatky by měly být zrušeny.	V ČR byly zavedeny regulační poplatky za zdravotní úkony a za pobyt v nemocnicích. Podle zastánců zabraňují plýtvání zdravotní péčí, podle odpůrců vedou ke zhoršení dostupnosti zdravnotní péče zejména pro sociálně slabé pacienty. Názor hlavy státu je důležitý, protože může vetovat související zákony.	9		Zrušení zdravotnických poplatků	1	29
10	ČR by měla vystoupit z NATO.	ČR by měla vystoupit z NATO.	ČR je od roku 1999 součástí NATO. Podle zastánců členství jde o záruku bezpečnosti země, odpůrci naopak poukazují účast ČR v problematických vojenských konfliktech. Členem NATO je jsou všechny sousední státy ČR kromě Rakouska.	10	7	Vystoupení z NATO		
