id	jméno otázky	otázka (max. 20 slov)	popis	pořadí
1	Vyrovnaný rozpočet	Město by mělo schvalovat pouze vyrovnané rozpočty (tedy s příjmy převyšujícími výdaje).		1
2	Parkovací místa	Počet parkovacích míst ve městě by měl narůst.		2
3	Smlouvy na Internetu	Město by mělo dobrovolně zveřejňovat všechny své smlouvy v registru smluv.		3
4	Rozklikávací rozpočet	Město by mělo na svých webových stránkách prezentovat tzv. rozklikávací rozpočet (podobně jako např. Nového Městi na Moravě).		4
5	Podpora sportu	Město by mělo finančně podporovat sportovní kluby.		5
6	Transparentní účty	Město by mělo mít transparentní účty, do kterých lze nahlížet online.		6
7	Hlasování v zastupitelstvu	Město by mělo zveřejňovat výsledky hlasování po jménech jednotlivých zastupitelů.		7
8	Participativní rozpočet	Město by mělo vyčlenit část svého rozpočtu na jeho rozdělení přímo občany pomocí tzv. “participativního rozpočtu”.		8
9	1. ZŠ	Město by mělo finančně podpořit záchranu budovy bývalé 1. základní školy.		9
10	Jeden místostarosta	Město by mělo mít jen jednoho místostarostu oproti současným dvěma.		10
11	Kamerové systémy	Počet kamerových systémů na veřejných místech ve městě by se měl zvýšit.		11
12	Městský podnikatelský inkubátor	Město by mělo finančně podpořit vznik městského podnikatelského inkubátoru.		12
13	Komunální odpad	Poplatek za svoz komunálního odpadu by měl být zrušen.		13
14	Alternativní školy	Město by mělo podporovat vznik alternativních školek a škol (např. waldorfské, montessori, církevní).		14
15	Prodej pozemků	Město by mělo prodávat občanům stavební pozemky pouze za nákladovou cenu.		15
16	Turismus na Zámku	Město by mělo podporovat přechod turistické infrastruktury na Zámku do rukou rodiny Kinských.		16
17	Kumulace funkcí	Je problematické, pokud starosta současně vykonává funkci zákonodárce.		17
18	MHD zdarma	Uživání městské hromadné dopravy by mělo být zdarma.		18
19	Herní automaty	V Praze by měly být zakázány všechny herní automaty.		19
