id	Kandidátka	zkratka	Kód	Odpověděli		E-maily
1	ANO 2011	ANO	ifpfnmgn			zdar.nad.sazavou@anobudelip.cz
2	Česká strana sociálně demokratická	ČSSD	ofgahimy			ovv.zdarnadsazavou@cssd.cz
3	Komunistická strana Čech a Moravy	KsČM	1Fx-QEHJACJoD-bSYN0mGjEjVqaz5imu_zZyE68yGPZw/viewform	OK	bfumfrwo	ov.zdar@kscm.cz 
4	Křesťanská a demokratická unie - Československá strana lidová	KDU-ČSL	herwpvse			dvorak.rostislav@centrum.cz, havlito@centrum.cz, jaroslav.hulak@gmail.com, ChroustA@seznam.cz
5	Občanská demokratická strana	ODS	xanujbdg	OK		os.zdar@ods.cz, region.vysocina@ods.cz
6	Sdružení politické strany Republika a nezávislých kandidátů	Republika	wysycsra	OK		republikaprozdar@gmail.com, dostal@stranarepublika.cz
7	Strana Práv Občanů	SPO	zmngdeyn			vysocina@spoz2013.cz
8	Strana svobodných občanů	Svobodní	yfgukzep			josef.fendrych@seznam.cz, predsednictvo@vysocina.svobodni.cz
9	TOP 09	TOP 09	nbedjwqt			jirman@ajk.cz, reda.i@centrum.cz, Michael.Kubik@top09.cz
10	Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET	PB	paxczzkn			
11	ŽĎÁR - ŽIVÉ MĚSTO	ŽŽM	cienkgkv			stan@zdar-zivemesto.cz, info@starostove-nezavisli.cz
